subject_a,subject_b,topology_a,topology_b,gt_distance,latent_distance,raw_chamfer,n_mesh_pairs,mesh_pair_index
id0001,id0431,up60k,original,0.344573,0.443622,0.004151,1,
id0001,id0437,up60k,original,0.401537,0.501047,0.003885,1,
id0001,id0441,up60k,original,0.291814,0.304901,0.002063,1,
id0001,id0447,up60k,original,0.306172,0.454610,0.008071,1,
id0001,id0460,up60k,original,0.293119,0.401892,0.001644,1,
id0001,id0462,up60k,original,0.310316,0.390727,0.003682,1,
id0001,id0465,up60k,original,0.345278,0.340514,0.002484,1,
id0001,id0466,up60k,original,0.330986,0.431102,0.006724,1,
id0001,id0468,up60k,original,0.465759,0.576497,0.003935,1,
id0001,id0470,up60k,original,0.426994,0.436782,0.003655,1,
id0001,id0476,up60k,original,0.308868,0.383148,0.004458,1,
id0001,id0486,up60k,original,0.323589,0.444937,0.003155,1,
id0001,id0491,up60k,original,0.320884,0.389549,0.002984,1,
id0001,id0498,up60k,original,0.339398,0.432952,0.001780,1,
id0004,id0018,up60k,original,0.299500,0.367843,0.002956,1,
id0004,id0020,up60k,original,0.366351,0.438072,0.004369,1,
id0004,id0026,up60k,original,0.416234,0.514631,0.003564,1,
id0004,id0027,up60k,original,0.248048,0.321147,0.002162,1,
id0004,id0041,up60k,original,0.345277,0.396775,0.003295,1,
id0004,id0042,up60k,original,0.487255,0.616958,0.005719,1,
id0004,id0045,up60k,original,0.324312,0.357172,0.001642,1,
id0004,id0048,up60k,original,0.238472,0.231012,0.002394,1,
id0004,id0056,up60k,original,0.478388,0.474584,0.003379,1,
id0004,id0062,up60k,original,0.511633,0.605771,0.004357,1,
id0004,id0069,up60k,original,0.343675,0.412962,0.003126,1,
id0004,id0071,up60k,original,0.480545,0.559948,0.006108,1,
id0004,id0072,up60k,original,0.344321,0.356112,0.002645,1,
id0004,id0075,up60k,original,0.372617,0.445900,0.002959,1,
id0004,id0080,up60k,original,0.425929,0.534052,0.003607,1,
id0004,id0081,up60k,original,0.350165,0.434536,0.001563,1,
id0004,id0086,up60k,original,0.333849,0.440285,0.003569,1,
id0004,id0088,up60k,original,0.324047,0.352217,0.002887,1,
id0004,id0097,up60k,original,0.372316,0.410794,0.003133,1,
id0004,id0100,up60k,original,0.327457,0.431171,0.003321,1,
id0004,id0106,up60k,original,0.425352,0.509230,0.003790,1,
id0004,id0107,up60k,original,0.404081,0.389521,0.002829,1,
id0004,id0110,up60k,original,0.288532,0.302802,0.002921,1,
id0004,id0113,up60k,original,0.402826,0.459267,0.004045,1,
id0004,id0115,up60k,original,0.299737,0.375749,0.001996,1,
id0004,id0130,up60k,original,0.373116,0.402561,0.001214,1,
id0004,id0132,up60k,original,0.372023,0.398842,0.002064,1,
id0004,id0136,up60k,original,0.391691,0.425086,0.002533,1,
id0004,id0153,up60k,original,0.307025,0.257387,0.001874,1,
id0004,id0161,up60k,original,0.277533,0.310447,0.001989,1,
id0004,id0169,up60k,original,0.369937,0.405195,0.003609,1,
id0004,id0182,up60k,original,0.281358,0.283726,0.001976,1,
id0004,id0183,up60k,original,0.405535,0.480336,0.004431,1,
id0004,id0186,up60k,original,0.294698,0.311998,0.002485,1,
id0004,id0197,up60k,original,0.295977,0.366989,0.002509,1,
id0004,id0199,up60k,original,0.301516,0.401760,0.002880,1,
id0004,id0206,up60k,original,0.534421,0.707491,0.006679,1,
id0004,id0207,up60k,original,0.328717,0.371796,0.002178,1,
id0004,id0208,up60k,original,0.252515,0.242324,0.001044,1,
id0004,id0212,up60k,original,0.449904,0.431967,0.003702,1,
id0004,id0220,up60k,original,0.382646,0.317558,0.002257,1,
id0004,id0222,up60k,original,0.308054,0.337254,0.002649,1,
id0004,id0224,up60k,original,0.323367,0.388239,0.002487,1,
id0004,id0233,up60k,original,0.398470,0.272741,0.001980,1,
id0004,id0239,up60k,original,0.464611,0.585551,0.005668,1,
id0004,id0242,up60k,original,0.282912,0.268089,0.001664,1,
id0004,id0246,up60k,original,0.388364,0.455625,0.003361,1,
id0004,id0258,up60k,original,0.347289,0.363601,0.002390,1,
id0004,id0273,up60k,original,0.353197,0.332862,0.002072,1,
id0004,id0275,up60k,original,0.342961,0.277041,0.001074,1,
id0004,id0285,up60k,original,0.300694,0.379608,0.002498,1,
id0004,id0290,up60k,original,0.376412,0.382004,0.003000,1,
id0004,id0296,up60k,original,0.377190,0.372738,0.001939,1,
id0004,id0299,up60k,original,0.274334,0.281079,0.002040,1,
id0004,id0303,up60k,original,0.376417,0.419113,0.003997,1,
id0004,id0319,up60k,original,0.399626,0.436897,0.003067,1,
id0004,id0321,up60k,original,0.359361,0.419038,0.004059,1,
id0004,id0326,up60k,original,0.333240,0.478772,0.003307,1,
id0004,id0328,up60k,original,0.303851,0.294477,0.002002,1,
id0004,id0330,up60k,original,0.378090,0.401050,0.003190,1,
id0004,id0342,up60k,original,0.350086,0.384089,0.003463,1,
id0004,id0346,up60k,original,0.331411,0.409820,0.003060,1,
id0004,id0363,up60k,original,0.357624,0.426003,0.002349,1,
id0004,id0367,up60k,original,0.332776,0.374050,0.003159,1,
id0004,id0368,up60k,original,0.268145,0.263971,0.001390,1,
id0004,id0369,up60k,original,0.306576,0.398029,0.003049,1,
id0004,id0372,up60k,original,0.348164,0.328843,0.002058,1,
id0004,id0373,up60k,original,0.253746,0.270110,0.001640,1,
id0004,id0374,up60k,original,0.488771,0.464875,0.001500,1,
id0004,id0378,up60k,original,0.257372,0.300566,0.001858,1,
id0004,id0381,up60k,original,0.262163,0.274073,0.001300,1,
id0004,id0382,up60k,original,0.443676,0.494949,0.003901,1,
id0004,id0392,up60k,original,0.334855,0.371036,0.002666,1,
id0004,id0396,up60k,original,0.329644,0.420389,0.002795,1,
id0004,id0398,up60k,original,0.455912,0.615034,0.006682,1,
id0004,id0399,up60k,original,0.341713,0.314329,0.002016,1,
id0004,id0401,up60k,original,0.404764,0.443666,0.003764,1,
id0004,id0402,up60k,original,0.287139,0.326401,0.001852,1,
id0004,id0404,up60k,original,0.385459,0.436034,0.003222,1,
id0004,id0411,up60k,original,0.444882,0.537793,0.004153,1,
id0004,id0412,up60k,original,0.346228,0.394594,0.002906,1,
id0004,id0418,up60k,original,0.352156,0.486786,0.003390,1,
id0004,id0421,up60k,original,0.283581,0.321866,0.001292,1,
id0004,id0422,up60k,original,0.295274,0.316939,0.002221,1,
id0004,id0431,up60k,original,0.344802,0.521079,0.004260,1,
id0004,id0437,up60k,original,0.335827,0.425956,0.002983,1,
id0004,id0441,up60k,original,0.345794,0.363927,0.002813,1,
id0004,id0447,up60k,original,0.379462,0.451333,0.004954,1,
id0004,id0460,up60k,original,0.277219,0.347343,0.001125,1,
id0004,id0462,up60k,original,0.359342,0.386195,0.002529,1,
id0004,id0465,up60k,original,0.413186,0.436171,0.003076,1,
id0004,id0466,up60k,original,0.322157,0.346905,0.003362,1,
