F,wbse,within_mean,between_mean,n_subjects,type,compare,F1,F2
1.0,1.2629553700788372,0.09116872019188993,0.1423487846535104,99,inter,F,,
3.0,1.6308132528448658,0.054584724614962096,0.11759978906741946,99,inter,F,,
5.0,1.8068661407220428,0.04189398555287767,0.11107059139306644,99,inter,F,,
10.0,2.043863948697707,0.02961707001117747,0.10783305426910764,99,inter,F,,
15.0,2.1422239010156474,0.02437769458521052,0.10591001059997963,99,inter,F,,
,1.9070986716448879,0.04300278582410181,0.11355774837823453,99,intra,F1_vs_F2,1.0,3.0
,1.9008232681288244,0.04161245501225457,0.11196884462804631,99,intra,F1_vs_F2,1.0,5.0
,1.964623756414189,0.039025839502771734,0.11194830539800497,99,intra,F1_vs_F2,1.0,10.0
,1.9633508872826417,0.038896460053142394,0.11152340960828631,99,intra,F1_vs_F2,1.0,15.0
,2.1436674937955846,0.02566256308084077,0.10633295126685756,99,intra,F1_vs_F2,3.0,5.0
,2.2087711191563444,0.02286862848996078,0.10630906716205156,99,intra,F1_vs_F2,3.0,10.0
,2.23853126701012,0.02146023467806562,0.10588833921183746,99,intra,F1_vs_F2,3.0,15.0
,2.354357471209124,0.016409121870336062,0.10507757376930325,99,intra,F1_vs_F2,5.0,10.0
,2.3869041035851297,0.014836471245646365,0.10464226118575146,99,intra,F1_vs_F2,5.0,15.0
,2.518871669794118,0.009067358636253572,0.10437868853516641,99,intra,F1_vs_F2,10.0,15.0
