method,disp_mean,disp_median,disp_p90,fit_p2p,orig_p2p
direct,0.032974,0.032574,0.046293,0.011152,0.035742
bbox,0.031358,0.030962,0.044176,0.011135,0.034205
rigid,0.012451,0.012340,0.018063,0.009290,0.016649
