scenario,metric,same_mean,same_median,different_mean,different_median,gap_diff_minus_same,same_vs_diff_auc,different_only_spearman_vs_gt,different_only_pearson_vs_gt
clean,latent_distance,0.1659919040898482,0.14908016473054886,0.5127561709284782,0.4958103150129318,0.34676426683863004,0.9977407407407407,0.7613966066436104,0.7703091544909056
clean,raw_chamfer,0.0032151349531583644,0.0010625279392115772,0.006793070090158532,0.004838539287447929,0.0035779351370001673,0.7720370370370371,0.3680143018684024,0.36600261258820066
clean,rigid_registered_chamfer,0.002916970837921124,0.0007639605610165745,0.00956245523741624,0.004308034898713231,0.006645484399495116,0.7820555555555555,0.38529793753616604,-0.02383809924998301
clean,nicp_correspondence,0.09253676745172197,0.08770158619395149,0.10400076666193546,0.09839787760162656,0.011463999210213488,0.6970185185185185,0.32035716592708885,0.0881475144495385
clean,cpd_registered_chamfer,nan,nan,nan,nan,nan,nan,nan,nan
translation,latent_distance,0.17123484027882416,0.1544279232621193,0.51602674305439,0.4977070689201355,0.3447919027755658,0.9972222222222222,0.7567065089555254,0.7668757265230579
translation,raw_chamfer,0.0031933895732638323,0.0011566616012714803,0.006785342455841601,0.004987326450645924,0.003591952882577769,0.7741481481481481,0.36680360274954554,0.36908337208261155
translation,rigid_registered_chamfer,0.0027795903640152474,0.0007671829662285745,0.0080393084018336,0.00443284772336483,0.005259718037818353,0.7848888888888889,0.3833313016258218,0.1689731973994937
translation,nicp_correspondence,0.09229228770886339,0.0876066452332561,0.10377745562783741,0.09873268812352559,0.011485167918974026,0.7032407407407407,0.3255982684096746,0.27492253142103834
translation,cpd_registered_chamfer,nan,nan,nan,nan,nan,nan,nan,nan
