method,scenario,topology_a,topology_b,ordered_pair_label,latent_spearman,metric_spearman,delta_spearman,metric_spearman_column,n_observations,source_csv,ordered_topology_pairs,mesh_pair_level,chamfer_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,n_subjects,n_subject_pairs,n_mesh_pairs,chamfer_seconds_mean,chamfer_seconds_median,total_pair_seconds_mean,total_pair_seconds_median,output_dir,output_json,output_csv,output_md,registered_chamfer_spearman,registered_chamfer_pearson,model_beats_registered_chamfer,rigid_icp_seconds_mean,rigid_icp_seconds_median,nonrigid_cpd_seconds_mean,nonrigid_cpd_seconds_median,warp_seconds_mean,warp_seconds_median,registration_seconds_mean,registration_seconds_median,nicp_correspondence_spearman,nicp_correspondence_pearson,model_beats_nicp_correspondence,nonrigid_nicp_seconds_mean,nonrigid_nicp_seconds_median,metric_seconds_mean,metric_seconds_median
raw_chamfer,,crop,down8k,crop__to__down8k,0.667637,-0.093080,0.760717,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/crop__to__down8k/ranking_summary.csv,1,0,-0.093080,0.692858,-0.026261,0.719118,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,crop,noisy,crop__to__noisy,0.736932,-0.047672,0.784604,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/crop__to__noisy/ranking_summary.csv,1,0,-0.047672,0.764510,0.043456,0.721054,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,crop,original,crop__to__original,0.759814,-0.034682,0.794496,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/crop__to__original/ranking_summary.csv,1,0,-0.034682,0.787829,0.056981,0.730848,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,crop,remesh,crop__to__remesh,0.658349,-0.008462,0.666811,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/crop__to__remesh/ranking_summary.csv,1,0,-0.008462,0.681207,0.084325,0.596882,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,crop,up60k,crop__to__up60k,0.686665,-0.074077,0.760743,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/crop__to__up60k/ranking_summary.csv,1,0,-0.074077,0.712348,0.003216,0.709133,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,down8k,crop,down8k__to__crop,0.692248,0.036874,0.655374,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/down8k__to__crop/ranking_summary.csv,1,0,0.036874,0.735631,0.152620,0.583011,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,down8k,noisy,down8k__to__noisy,0.793218,0.471887,0.321331,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/down8k__to__noisy/ranking_summary.csv,1,0,0.471887,0.826279,0.545617,0.280662,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,down8k,original,down8k__to__original,0.780879,0.406846,0.374034,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/down8k__to__original/ranking_summary.csv,1,0,0.406846,0.816663,0.500649,0.316013,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,down8k,remesh,down8k__to__remesh,0.795255,0.436450,0.358806,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/down8k__to__remesh/ranking_summary.csv,1,0,0.436450,0.824884,0.519262,0.305622,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,down8k,up60k,down8k__to__up60k,0.803707,0.611294,0.192413,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/down8k__to__up60k/ranking_summary.csv,1,0,0.611294,0.833792,0.658791,0.175000,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,noisy,crop,noisy__to__crop,0.747472,0.083388,0.664084,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/noisy__to__crop/ranking_summary.csv,1,0,0.083388,0.780813,0.208485,0.572328,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,noisy,down8k,noisy__to__down8k,0.779347,0.313111,0.466236,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/noisy__to__down8k/ranking_summary.csv,1,0,0.313111,0.803800,0.364727,0.439073,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,noisy,original,noisy__to__original,0.820523,0.658937,0.161587,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/noisy__to__original/ranking_summary.csv,1,0,0.658937,0.847855,0.678496,0.169358,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,noisy,remesh,noisy__to__remesh,0.770576,0.578866,0.191710,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/noisy__to__remesh/ranking_summary.csv,1,0,0.578866,0.793942,0.616524,0.177418,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_chamfer,,noisy,up60k,noisy__to__up60k,0.790981,0.489375,0.301605,chamfer_spearman,4950,face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_level-subject_pair_mean/noisy__to__up60k/ranking_summary.csv,1,0,0.489375,0.816460,0.516335,0.300125,1,100,4950,4950,,,,,,,,,,,,,,,,,,,,,,,,,,
