method,scenario,n_rows,metric_spearman_mean,metric_spearman_median,latent_spearman_mean,delta_spearman_mean,model_beats_metric_rate
nicp_correspondence,clean,30,0.21458536666666667,0.29573550000000004,0.7643279333333334,0.5497426333333333,1.0
nicp_correspondence,jitter,30,0.14906450000000002,0.1936855,0.6887173333333333,0.5396527666666666,1.0
nicp_correspondence,mixed,30,0.14224876666666667,0.1825615,0.6765698666666666,0.5343209333333333,1.0
nicp_correspondence,rotation,30,0.21255646666666667,0.29161499999999996,0.7571768333333334,0.5446203000000001,1.0
nicp_correspondence,translation,30,0.2134817,0.291027,0.7615656333333334,0.5480839,1.0
raw_chamfer,,30,0.34333803333333335,0.4252075,0.7643279333333334,0.42098996666666666,1.0
raw_chamfer,clean,60,0.37779118333333334,0.450092,0.7630369,0.38524575,0.9333333333333333
raw_chamfer,jitter,30,0.3477618,0.45732,0.6887172666666667,0.34095546666666665,1.0
raw_chamfer,mixed,30,0.32551936666666664,0.4351825,0.6460982000000001,0.3205787666666666,1.0
raw_chamfer,rotation,30,0.33170153333333335,0.41545750000000004,0.7343147666666667,0.4026132333333334,1.0
raw_chamfer,translation,60,0.37001385000000003,0.44120349999999997,0.7495031333333333,0.3794893166666667,0.9666666666666667
rigid_chamfer,clean,60,0.3369051833333333,0.44760849999999996,0.7630368833333333,0.4261317833333333,1.0
rigid_chamfer,jitter,30,0.27798913333333336,0.38456599999999996,0.6887172666666667,0.41072806666666667,1.0
rigid_chamfer,mixed,30,0.26755086666666666,0.3763705,0.6765699000000001,0.4090188666666667,1.0
rigid_chamfer,rotation,30,0.3050409666666667,0.412459,0.7571768333333334,0.4521358,1.0
rigid_chamfer,translation,60,0.3356041,0.449246,0.7587207833333333,0.4231166666666667,1.0
rigid_cpd_chamfer,clean,30,0.011017266666666666,0.009563,0.7643279333333334,0.7533105666666666,1.0
rigid_cpd_chamfer,jitter,30,0.0107686,0.0094215,0.6887173,0.6779486,1.0
rigid_cpd_chamfer,mixed,30,0.013254433333333334,0.013867,0.6765699000000001,0.6633155,1.0
rigid_cpd_chamfer,rotation,30,0.0103376,0.0080705,0.7571768333333334,0.7468393,1.0
rigid_cpd_chamfer,translation,30,0.010130333333333333,0.0089785,0.7615656333333334,0.7514352333333334,1.0
