F_real,n_methods,pearson_r,spearman_r
1,4,-0.9361342539073148,-0.7999999999999999
3,4,-0.9121782969515009,-0.6000000000000001
5,5,-0.857684153599812,-0.49999999999999994
10,6,-0.854327220640905,-0.6
15,5,-0.8535038286221371,-0.49999999999999994
