F,wbse,within_mean,within_std,within_cv,between_mean,n_subjects
1,1.6877790465725058,89329.37446740129,22125.24751370234,4.037440684542801,174305.58449027248,99
2,1.8919743007718341,63362.72239955748,14750.992018683753,4.295488894530051,162918.627361539,99
3,2.020005596200308,52296.15843141039,14260.274698616957,3.6672616437383474,158437.56238209442,99
