method,F,subject,error
INORig,1,id0000,0.0033211013853504307
INORig,1,id0001,0.0024495070559772195
INORig,1,id0002,0.0027066365963045926
INORig,1,id0003,0.0028074172060361265
INORig,1,id0004,0.002842805133943564
INORig,1,id0005,0.0033131641109253804
INORig,1,id0006,0.004213781326405325
INORig,1,id0007,0.0031890168439530453
INORig,1,id0008,0.0027822692224193477
INORig,1,id0009,0.0029521016516354417
INORig,1,id0010,0.0028459084375842673
INORig,1,id0011,0.0021705832361419144
INORig,1,id0012,0.0030210927073548196
INORig,1,id0013,0.0030136427981408485
INORig,1,id0014,0.003619286817079667
INORig,1,id0015,0.002836100734747575
INORig,1,id0016,0.004649637231468467
INORig,1,id0017,0.002646321107101973
INORig,1,id0018,0.002597989864456294
INORig,1,id0019,0.002640931636638488
INORig,1,id0020,0.003959323913348011
INORig,1,id0021,0.002422018705970061
INORig,1,id0022,0.002750017552383365
INORig,1,id0023,0.003548304421197965
INORig,1,id0024,0.0034811709536988877
INORig,1,id0025,0.0028153317259346907
INORig,1,id0026,0.004079261519724274
INORig,1,id0027,0.003914034579057752
INORig,1,id0028,0.0028084843740335337
INORig,1,id0029,0.0027643261232859918
INORig,1,id0030,0.0035600466681457213
INORig,1,id0031,0.002871156818273765
INORig,1,id0032,0.0036161737814154648
INORig,1,id0033,0.002973898142600051
INORig,1,id0034,0.0033010075097013054
INORig,1,id0035,0.0026793460008751233
INORig,1,id0036,0.003045352031465175
INORig,1,id0037,0.00271426767953161
INORig,1,id0038,0.003235700432965437
INORig,1,id0039,0.002052004228597784
INORig,1,id0040,0.003020669621055149
INORig,1,id0041,0.0030952687234022253
INORig,1,id0042,0.003408078050038283
INORig,1,id0043,0.0023477551248175556
INORig,1,id0044,0.004743929153513162
INORig,1,id0045,0.003941020196155504
INORig,1,id0046,0.0030866397674246065
INORig,1,id0047,0.0030582750105785203
INORig,1,id0048,0.004350336731350715
INORig,1,id0049,0.00247774704080844
INORig,1,id0050,0.002429001301521882
INORig,1,id0051,0.0031226472502983147
INORig,1,id0052,0.002806134349046488
INORig,1,id0053,0.0031802759317088353
INORig,1,id0054,0.002819790361926174
INORig,1,id0055,0.0037887325989597546
INORig,1,id0056,0.002599951836614933
INORig,1,id0057,0.0023667750383340445
INORig,1,id0058,0.0024139850256204008
INORig,1,id0059,0.002549557788816702
INORig,1,id0060,0.0027045797747328117
INORig,1,id0061,0.002364201760835881
INORig,1,id0062,0.003832044006237812
INORig,1,id0063,0.002486727894071151
INORig,1,id0064,0.003652102189492656
INORig,1,id0065,0.0026125368639515045
INORig,1,id0066,0.0023275260675942096
INORig,1,id0067,0.0024004920300043967
INORig,1,id0068,0.002247529903325484
INORig,1,id0069,0.002580433353780956
INORig,1,id0070,0.0034773214245990025
INORig,1,id0071,0.003734980157598551
INORig,1,id0072,0.0030606158354774997
INORig,1,id0073,0.0030110551293211275
INORig,1,id0074,0.0030059572113834755
INORig,1,id0075,0.0027387968225289975
INORig,1,id0076,0.0027216044140784368
INORig,1,id0077,0.0038616289503963647
INORig,1,id0078,0.00292585645331407
INORig,1,id0079,0.003293108482125655
INORig,1,id0080,0.0025052122666678928
INORig,1,id0081,0.0030204011919576705
INORig,1,id0082,0.0027499416272156038
INORig,1,id0083,0.0027482340197085638
INORig,1,id0084,0.002934363327486291
INORig,1,id0085,0.002310457611162307
INORig,1,id0086,0.0038595954028128416
INORig,1,id0087,0.0024076179804174143
INORig,1,id0088,0.0038657245763757263
INORig,1,id0089,0.002916754273951397
INORig,1,id0090,0.0031178237316266243
INORig,1,id0091,0.0034670234316433106
INORig,1,id0092,0.0030395743656880894
INORig,1,id0093,0.0029936852033905755
INORig,1,id0094,0.0035528709511994036
INORig,1,id0095,0.0027004066082918117
INORig,1,id0096,0.004643857491258724
INORig,1,id0097,0.0026379589589842797
INORig,1,id0098,0.0024013469841634725
INORig,2,id0000,0.0033029352781363624
INORig,2,id0001,0.0024272961836659607
INORig,2,id0002,0.002757873343966923
INORig,2,id0003,0.002824116475104075
INORig,2,id0004,0.002829431722943606
INORig,2,id0005,0.0033369220670376983
INORig,2,id0006,0.004167921836169843
INORig,2,id0007,0.003201709908436806
INORig,2,id0008,0.002777364344293594
INORig,2,id0009,0.002965679033984155
INORig,2,id0010,0.00288436963983181
INORig,2,id0011,0.00220334012803386
INORig,2,id0012,0.0030161865215671806
INORig,2,id0013,0.003017367779598787
INORig,2,id0014,0.0036197563839695146
INORig,2,id0015,0.002773351461704438
INORig,2,id0016,0.0046730886595446886
INORig,2,id0017,0.0026491645938944023
INORig,2,id0018,0.0025050534412058454
INORig,2,id0019,0.0025852281364079615
INORig,2,id0020,0.003938069431013862
INORig,2,id0021,0.002412629694227014
INORig,2,id0022,0.0027677503635237183
INORig,2,id0023,0.0035550746719959173
INORig,2,id0024,0.003432998322603069
INORig,2,id0025,0.0027792008538376186
INORig,2,id0026,0.0041317052453045235
INORig,2,id0027,0.003945091189987992
INORig,2,id0028,0.0027675601470862265
INORig,2,id0029,0.0027317846788927013
INORig,2,id0030,0.003632193920698308
INORig,2,id0031,0.0028862144583989345
INORig,2,id0032,0.003665293012128798
INORig,2,id0033,0.002963279072991064
INORig,2,id0034,0.0033414943666455446
INORig,2,id0035,0.0027338779994754018
INORig,2,id0036,0.002941373566185494
INORig,2,id0037,0.0027010366850204587
INORig,2,id0038,0.0032582463205535414
INORig,2,id0039,0.001988993590052522
INORig,2,id0040,0.002993811273480813
INORig,2,id0041,0.003080607531635231
INORig,2,id0042,0.0032848413301360137
INORig,2,id0043,0.0023121466623288833
INORig,2,id0044,0.004649078112534266
INORig,2,id0045,0.003997347102039756
INORig,2,id0046,0.003167564531354623
INORig,2,id0047,0.0030355092854078706
INORig,2,id0048,0.00434017718822657
INORig,2,id0049,0.0024903399702915405
INORig,2,id0050,0.0024283963806241145
INORig,2,id0051,0.00318981546618153
INORig,2,id0052,0.002868095081906024
INORig,2,id0053,0.0031546789962584474
INORig,2,id0054,0.0028275613339781773
INORig,2,id0055,0.003962462830194206
INORig,2,id0056,0.002572409202762176
INORig,2,id0057,0.0023661599004774613
INORig,2,id0058,0.002392922572535174
INORig,2,id0059,0.0025887580926548053
INORig,2,id0060,0.002704942440826915
INORig,2,id0061,0.002310835966368324
INORig,2,id0062,0.003779451424168758
INORig,2,id0063,0.002539313282048916
INORig,2,id0064,0.003589879748569958
INORig,2,id0065,0.002597823222130049
INORig,2,id0066,0.0023659059696611922
INORig,2,id0067,0.0024105993518922244
INORig,2,id0068,0.0022285038541369176
INORig,2,id0069,0.0025831847970116894
INORig,2,id0070,0.003390365443902839
INORig,2,id0071,0.0037258666156035924
INORig,2,id0072,0.003118612853561388
INORig,2,id0073,0.003006231793429331
INORig,2,id0074,0.0028926786118541143
INORig,2,id0075,0.002684635842916499
INORig,2,id0076,0.0027199501098130567
INORig,2,id0077,0.0038397119509340247
INORig,2,id0078,0.002922658593655816
INORig,2,id0079,0.003301531649075319
INORig,2,id0080,0.002576862639449702
INORig,2,id0081,0.0030697318508509683
INORig,2,id0082,0.002661687583619511
INORig,2,id0083,0.002706200604527683
INORig,2,id0084,0.00294768332474487
INORig,2,id0085,0.0023405737238574114
INORig,2,id0086,0.003855581926501845
INORig,2,id0087,0.0024358534755891752
INORig,2,id0088,0.003897381261723608
INORig,2,id0089,0.0029609245356890905
INORig,2,id0090,0.003106976085685238
INORig,2,id0091,0.003430672550984907
INORig,2,id0092,0.0030678828880151532
INORig,2,id0093,0.003022767384019513
INORig,2,id0094,0.0035551257872654847
INORig,2,id0095,0.002700533017504459
INORig,2,id0096,0.004705008961793647
INORig,2,id0097,0.0026415145813223125
INORig,2,id0098,0.002342078157960463
INORig,3,id0000,0.0032826967683966092
INORig,3,id0001,0.0024222627886300425
INORig,3,id0002,0.0027347912769130744
INORig,3,id0003,0.0028154640983797797
INORig,3,id0004,0.0028323188283190994
INORig,3,id0005,0.003329368034066429
INORig,3,id0006,0.004162423065651865
INORig,3,id0007,0.0032113079276073733
INORig,3,id0008,0.002775731830726242
INORig,3,id0009,0.0029700816809140472
INORig,3,id0010,0.002870780008103483
INORig,3,id0011,0.0021733907026448345
INORig,3,id0012,0.00298001381763374
INORig,3,id0013,0.0030124677150140554
INORig,3,id0014,0.0036281664530214727
INORig,3,id0015,0.0027746443795004542
INORig,3,id0016,0.004647299395161274
INORig,3,id0017,0.0026439573919797943
INORig,3,id0018,0.002499141012052925
INORig,3,id0019,0.0026154697258404
INORig,3,id0020,0.00396343305255741
INORig,3,id0021,0.0024140538250000346
INORig,3,id0022,0.0027353345033346204
INORig,3,id0023,0.003544934320669919
INORig,3,id0024,0.003419637662667319
INORig,3,id0025,0.0027860554473016423
INORig,3,id0026,0.004151118024263619
INORig,3,id0027,0.0039301436564622575
INORig,3,id0028,0.0027559266310054537
INORig,3,id0029,0.0027325552656965683
INORig,3,id0030,0.0035855532130278805
INORig,3,id0031,0.002908600822344594
INORig,3,id0032,0.0036566695647619585
INORig,3,id0033,0.0030177962535922038
INORig,3,id0034,0.0033552753500890047
INORig,3,id0035,0.00271670524720862
INORig,3,id0036,0.0029670755293610693
INORig,3,id0037,0.002696123865091099
INORig,3,id0038,0.003263456265845347
INORig,3,id0039,0.0019314681346975335
INORig,3,id0040,0.003039238190780939
INORig,3,id0041,0.003150916117931983
INORig,3,id0042,0.0032527340092798054
INORig,3,id0043,0.0023191591952169367
INORig,3,id0044,0.004664489251386432
INORig,3,id0045,0.004007997848845308
INORig,3,id0046,0.00315502181570854
