F1,F2,wbse,within_mean,between_mean,n_subjects
1,2,2.328523457059752,35070.073889908905,155648.89552353363,99
1,3,2.3681358765394602,32047.929784184576,154854.26388281328,99
2,3,2.5474738880138155,17631.482013501136,152905.44556296812,99
