epoch,loss,stress,id,smooth,teacher,lr,spearman_clean,pearson_clean,auc_r,gate_mean_clean,gate_mean_noisy_max,spearman_noisy_max,ratio_noisy_max,intra_clean,n_eval
1,0.006589,0.004716,0.000000,0.000000,0.018725,3.00e-05,nan,nan,nan,nan,nan,nan,nan,nan,0
2,0.006073,0.004774,0.000000,0.000000,0.012990,3.00e-05,0.686895,0.701657,0.904912,nan,nan,0.286874,0.417639,2.153554e-07,16
3,0.005818,0.004882,0.000000,0.000000,0.009362,3.00e-05,0.686895,0.701657,0.904912,nan,nan,0.286874,0.417639,2.153554e-07,16
4,0.005188,0.004501,0.000000,0.000000,0.006862,3.00e-05,0.713744,0.719815,0.888205,nan,nan,0.294243,0.412252,1.950241e-07,16
5,0.004886,0.004375,0.000000,0.000000,0.005106,3.00e-05,0.713744,0.719815,0.888205,nan,nan,0.294243,0.412252,1.950241e-07,16
6,0.005467,0.005082,0.000000,0.000000,0.003855,3.00e-05,0.692798,0.712104,0.913552,nan,nan,0.207834,0.299992,2.173060e-07,16
7,0.005332,0.005043,0.000000,0.000000,0.002890,3.00e-05,0.692798,0.712104,0.913552,nan,nan,0.207834,0.299992,2.173060e-07,16
8,0.004606,0.004384,0.000000,0.000000,0.002229,3.00e-05,0.685034,0.700963,0.948616,nan,nan,0.435225,0.635333,2.071419e-07,16
9,0.004784,0.004616,0.000000,0.000000,0.001683,3.00e-05,0.685034,0.700963,0.948616,nan,nan,0.435225,0.635333,2.071419e-07,16
10,0.004777,0.004650,0.000000,0.000000,0.001261,3.00e-05,0.714584,0.731245,0.932964,nan,nan,0.373922,0.523272,2.045735e-07,16
11,0.004801,0.004706,0.000000,0.000000,0.000950,3.00e-05,0.714584,0.731245,0.932964,nan,nan,0.373922,0.523272,2.045735e-07,16
12,0.004609,0.004539,0.000000,0.000000,0.000704,3.00e-05,0.681895,0.701276,0.909172,nan,nan,0.226717,0.332481,2.042646e-07,16
13,0.004819,0.004763,0.000000,0.000000,0.000561,3.00e-05,0.681895,0.701276,0.909172,nan,nan,0.226717,0.332481,2.042646e-07,16
14,0.004314,0.004269,0.000000,0.000000,0.000445,3.00e-05,0.666748,0.702100,0.919898,nan,nan,0.350392,0.525525,2.089933e-07,16
15,0.005159,0.005123,0.000000,0.000000,0.000360,3.00e-05,0.666748,0.702100,0.919898,nan,nan,0.350392,0.525525,2.089933e-07,16
16,0.004447,0.004419,0.000000,0.000000,0.000282,3.00e-05,0.725293,0.734905,0.953716,nan,nan,0.434787,0.599464,2.194735e-07,16
17,0.004693,0.004670,0.000000,0.000000,0.000226,3.00e-05,0.725293,0.734905,0.953716,nan,nan,0.434787,0.599464,2.194735e-07,16
18,0.004471,0.004450,0.000000,0.000000,0.000204,3.00e-05,0.732593,0.749569,0.942202,nan,nan,0.429377,0.586106,1.992056e-07,16
19,0.004442,0.004427,0.000000,0.000000,0.000151,3.00e-05,0.732593,0.749569,0.942202,nan,nan,0.429377,0.586106,1.992056e-07,16
20,0.004595,0.004581,0.000000,0.000000,0.000139,3.00e-05,0.714029,0.729681,0.952046,nan,nan,0.491236,0.687977,2.236816e-07,16
