epoch,sigma,is_clean,spearman,pearson,ratio,gate_mean,intra_mean,n_eval
2,0.0,1,0.686895,0.701657,1.0,nan,2.153554e-07,16
2,1.00000000e-04,0,0.669915,0.674653,0.975280,nan,2.292306e-07,16
2,4.57305052e-04,0,0.672186,0.691081,0.978586,nan,2.278964e-07,16
2,2.09127911e-03,0,0.696833,0.710260,1.014468,nan,2.234908e-07,16
2,9.56352500e-03,0,0.674811,0.686593,0.982408,nan,2.379717e-07,16
2,4.37344830e-02,0,0.585673,0.593003,0.852638,nan,2.679706e-07,16
2,2.00000000e-01,0,0.286874,0.317056,0.417639,nan,7.279864e-07,16
4,0.0,1,0.713744,0.719815,1.0,nan,1.950241e-07,16
4,1.00000000e-04,0,0.673602,0.695398,0.943759,nan,2.090281e-07,16
4,4.57305052e-04,0,0.682346,0.697006,0.956009,nan,2.124982e-07,16
4,2.09127911e-03,0,0.688694,0.710629,0.964903,nan,2.022436e-07,16
4,9.56352500e-03,0,0.666491,0.689049,0.933795,nan,2.154078e-07,16
4,4.37344830e-02,0,0.648302,0.681148,0.908312,nan,2.487528e-07,16
4,2.00000000e-01,0,0.294243,0.288348,0.412252,nan,6.175359e-07,16
6,0.0,1,0.692798,0.712104,1.0,nan,2.173060e-07,16
6,1.00000000e-04,0,0.690819,0.707977,0.997143,nan,2.294085e-07,16
6,4.57305052e-04,0,0.679249,0.709422,0.980442,nan,2.314095e-07,16
6,2.09127911e-03,0,0.677144,0.699833,0.977405,nan,2.327005e-07,16
6,9.56352500e-03,0,0.674554,0.700413,0.973666,nan,2.402318e-07,16
6,4.37344830e-02,0,0.684263,0.706013,0.987680,nan,2.846617e-07,16
6,2.00000000e-01,0,0.207834,0.141408,0.299992,nan,6.449725e-07,16
8,0.0,1,0.685034,0.700963,1.0,nan,2.071419e-07,16
8,1.00000000e-04,0,0.705716,0.725765,1.030191,nan,2.209663e-07,16
8,4.57305052e-04,0,0.680415,0.702049,0.993258,nan,2.170720e-07,16
8,2.09127911e-03,0,0.690388,0.705089,1.007816,nan,2.152452e-07,16
8,9.56352500e-03,0,0.666060,0.689929,0.972303,nan,2.235848e-07,16
8,4.37344830e-02,0,0.641836,0.657951,0.936941,nan,2.581164e-07,16
8,2.00000000e-01,0,0.435225,0.433408,0.635333,nan,5.865138e-07,16
10,0.0,1,0.714584,0.731245,1.0,nan,2.045735e-07,16
10,1.00000000e-04,0,0.705841,0.723058,0.987764,nan,2.143124e-07,16
10,4.57305052e-04,0,0.701597,0.723233,0.981826,nan,2.143627e-07,16
10,2.09127911e-03,0,0.709959,0.728707,0.993527,nan,2.154897e-07,16
10,9.56352500e-03,0,0.718217,0.733789,1.005083,nan,2.189516e-07,16
10,4.37344830e-02,0,0.663754,0.680544,0.928868,nan,2.567943e-07,16
10,2.00000000e-01,0,0.373922,0.358262,0.523272,nan,6.316079e-07,16
12,0.0,1,0.681895,0.701276,1.0,nan,2.042646e-07,16
12,1.00000000e-04,0,0.684457,0.700201,1.003758,nan,2.123138e-07,16
12,4.57305052e-04,0,0.672436,0.699486,0.986128,nan,2.137842e-07,16
12,2.09127911e-03,0,0.663109,0.682077,0.972450,nan,2.151407e-07,16
12,9.56352500e-03,0,0.673679,0.684370,0.987951,nan,2.189135e-07,16
12,4.37344830e-02,0,0.634989,0.650658,0.931212,nan,2.517618e-07,16
12,2.00000000e-01,0,0.226717,0.272251,0.332481,nan,7.749239e-07,16
14,0.0,1,0.666748,0.702100,1.0,nan,2.089933e-07,16
14,1.00000000e-04,0,0.654650,0.685769,0.981855,nan,2.232343e-07,16
14,4.57305052e-04,0,0.644941,0.681834,0.967293,nan,2.265678e-07,16
