scenario,noise_mode,sigma,group_type,group,metric,n,mean,std,cv,min,p05,p25,p50,p75,p95,max,iqr,range,std_vs_raw,iqr_vs_raw,range_vs_raw,median_vs_raw
facebench_remesh_100subj_norm,facebench_remesh_100subj_norm,,overall,all,latent_distance,148500,0.4707949574,0.1289922802,0.2739882365,0.1420091093,0.2920809433,0.3769827485,0.4534820914,0.5450389832,0.7071772516,1.237697721,0.1680562347,1.095688611,7.788876119,8.32960159,9.668184232,10.18350874
facebench_remesh_100subj_norm,facebench_remesh_100subj_norm,,overall,all,raw_chamfer,148500,0.04947855509,0.01656109022,0.3347124869,0.02384786785,0.03129042365,0.03729231797,0.04453102589,0.05746810104,0.08398358119,0.1371771741,0.02017578307,0.1133293062,1,1,1,1
facebench_remesh_100subj_norm,facebench_remesh_100subj_norm,,overall,all,rigid_p2p,148500,0.03731548905,0.009224189493,0.2471946563,0.02106442147,0.02686089836,0.0306875151,0.03509704995,0.04152263002,0.05538970024,0.1000186551,0.01083511492,0.07895423365,0.5569796051,0.5370356574,0.6966797582,0.788148246
facebench_remesh_100subj_norm,facebench_remesh_100subj_norm,,overall,all,nicp_p2p,148500,0.0293868793,0.003580021881,0.1218238196,0.02058590061,0.02474357203,0.02685166376,0.02875770507,0.03126449962,0.03619586276,0.05499715427,0.004412835864,0.03441125366,0.2161706646,0.2187194346,0.3036394981,0.6457903113
facebench_remesh_100subj_norm,facebench_remesh_100subj_norm,,overall,all,nicp_p2tri,148500,0.02644642148,0.003833960639,0.1449708665,0.01724574353,0.02143787256,0.02371945226,0.02578521594,0.02849038443,0.03373405832,0.05328307633,0.004770932175,0.0360373328,0.2315041212,0.236468253,0.3179877651,0.5790393423
facebench_remesh_100subj_norm,facebench_remesh_100subj_norm,,topology_pair,crop__to__down8k,latent_distance,4950,0.4988064306,0.1274457674,0.2555014523,0.2370238751,0.3237416714,0.4060908705,0.4819045961,0.572378397,0.7345948249,1.077867031,0.1662875265,0.840843156,6.785653166,6.171607175,8.308360077,6.554377632
facebench_remesh_100subj_norm,facebench_remesh_100subj_norm,,topology_pair,crop__to__down8k,raw_chamfer,4950,0.07390807551,0.01878165069,0.2541217662,0.0308313267,0.0438266769,0.05983921184,0.07352408164,0.08678317016,0.1057668285,0.132035794,0.02694395832,0.1012044673,1,1,1,1
facebench_remesh_100subj_norm,facebench_remesh_100subj_norm,,topology_pair,crop__to__down8k,rigid_p2p,4950,0.05322683708,0.01363861159,0.2562356199,0.02569439021,0.0332253346,0.04284088687,0.05198946769,0.06194615796,0.07783582053,0.1000186551,0.01910527109,0.07432426491,0.7261668222,0.7090744005,0.7343970762,0.7071080186
facebench_remesh_100subj_norm,facebench_remesh_100subj_norm,,topology_pair,crop__to__down8k,nicp_p2p,4950,0.02979400984,0.002529064416,0.08488499635,0.02295933257,0.02593823341,0.02805239002,0.02959714186,0.03138189346,0.03411452582,0.0407668153,0.003329503449,0.01780748273,0.1346561311,0.1235714296,0.1759555008,0.4025503101
facebench_remesh_100subj_norm,facebench_remesh_100subj_norm,,topology_pair,crop__to__down8k,nicp_p2tri,4950,0.02710252337,0.002709886586,0.09998650492,0.01978162633,0.02295400654,0.02519407636,0.02689059163,0.02880926635,0.03179139486,0.0387415198,0.00361518999,0.01895989346,0.1442837284,0.1341744203,0.187342456,0.3657385585
facebench_remesh_100subj_norm,facebench_remesh_100subj_norm,,topology_pair,crop__to__noisy,latent_distance,4950,0.4881179319,0.1234754499,0.2529623312,0.2170627117,0.3176332518,0.3978731185,0.4723166823,0.5604445785,0.7149410844,1.050366759,0.16257146,0.8333040476,7.733345655,6.955966191,9.918949369,8.237330991
facebench_remesh_100subj_norm,facebench_remesh_100subj_norm,,topology_pair,crop__to__noisy,raw_chamfer,4950,0.05857962917,0.01596662757,0.2725627969,0.02841145195,0.0356718322,0.04582258534,0.05733855819,0.06919409917,0.0867426587,0.1124227738,0.02337151382,0.08401132182,1,1,1,1
