scenario,topology_a,topology_b,ordered_pair_label,ordered_topology_pairs,mesh_pair_level,latent_spearman,registered_chamfer_spearman,delta_spearman,latent_pearson,registered_chamfer_pearson,delta_pearson,model_beats_registered_chamfer,n_subjects,n_subject_pairs,n_mesh_pairs,n_observations,rigid_icp_seconds_mean,rigid_icp_seconds_median,nonrigid_cpd_seconds_mean,nonrigid_cpd_seconds_median,warp_seconds_mean,warp_seconds_median,registration_seconds_mean,registration_seconds_median,chamfer_seconds_mean,chamfer_seconds_median,total_pair_seconds_mean,total_pair_seconds_median,output_dir,output_json,output_csv,output_md
translation,crop,down8k,crop__to__down8k,1,1,0.668540,-0.084486,0.753026,0.695564,0.001159,0.694405,1,100,4950,4950,4950,0.000630,0.000607,0.000000,0.000000,0.000049,0.000043,0.000630,0.000607,0.000556,0.000445,0.001236,0.001198,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/crop__to__down8k,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/crop__to__down8k/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/crop__to__down8k/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/crop__to__down8k/ranking_summary.md
translation,crop,noisy,crop__to__noisy,1,1,0.724966,-0.058958,0.783924,0.755255,0.040284,0.714971,1,100,4950,4950,4950,0.000816,0.000805,0.000000,0.000000,0.000039,0.000037,0.000816,0.000805,0.007004,0.007088,0.007859,0.007932,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/crop__to__noisy,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/crop__to__noisy/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/crop__to__noisy/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/crop__to__noisy/ranking_summary.md
translation,crop,original,crop__to__original,1,1,0.755243,-0.047074,0.802317,0.783986,0.061775,0.722211,1,100,4950,4950,4950,0.000805,0.000796,0.000000,0.000000,0.000039,0.000037,0.000805,0.000796,0.007004,0.007088,0.007848,0.007922,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/crop__to__original,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/crop__to__original/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/crop__to__original/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/crop__to__original/ranking_summary.md
translation,crop,remesh,crop__to__remesh,1,1,0.656426,0.003943,0.652483,0.679056,0.027438,0.651618,1,100,4950,4950,4950,0.000785,0.000785,0.000000,0.000000,0.000042,0.000038,0.000785,0.000785,0.003723,0.004238,0.004550,0.005044,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/crop__to__remesh,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/crop__to__remesh/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/crop__to__remesh/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/crop__to__remesh/ranking_summary.md
translation,crop,up60k,crop__to__up60k,1,1,0.689389,-0.068484,0.757872,0.715894,-0.021638,0.737531,1,100,4950,4950,4950,0.000511,0.000501,0.000000,0.000000,0.000058,0.000052,0.000511,0.000501,0.026859,0.031664,0.027429,0.032366,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/crop__to__up60k,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/crop__to__up60k/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/crop__to__up60k/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/crop__to__up60k/ranking_summary.md
translation,down8k,crop,down8k__to__crop,1,1,0.638182,-0.022789,0.660971,0.689078,0.056776,0.632301,1,100,4950,4950,4950,0.000590,0.000576,0.000000,0.000000,0.000051,0.000045,0.000590,0.000576,0.000581,0.000450,0.001223,0.001169,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/down8k__to__crop,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/down8k__to__crop/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/down8k__to__crop/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/down8k__to__crop/ranking_summary.md
translation,down8k,noisy,down8k__to__noisy,1,1,0.778128,0.549385,0.228742,0.805543,0.273222,0.532321,1,100,4950,4950,4950,0.000917,0.000920,0.000000,0.000000,0.000040,0.000039,0.000917,0.000920,0.000445,0.000440,0.001401,0.001405,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/down8k__to__noisy,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/down8k__to__noisy/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/down8k__to__noisy/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/down8k__to__noisy/ranking_summary.md
translation,down8k,original,down8k__to__original,1,1,0.767732,0.483550,0.284181,0.798057,0.219847,0.578210,1,100,4950,4950,4950,0.000914,0.000913,0.000000,0.000000,0.000040,0.000039,0.000914,0.000913,0.000445,0.000440,0.001398,0.001399,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/down8k__to__original,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/down8k__to__original/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/down8k__to__original/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/down8k__to__original/ranking_summary.md
translation,down8k,remesh,down8k__to__remesh,1,1,0.787935,0.340260,0.447675,0.809279,0.455008,0.354271,1,100,4950,4950,4950,0.000813,0.000800,0.000000,0.000000,0.000041,0.000039,0.000813,0.000800,0.000360,0.000352,0.001214,0.001199,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/down8k__to__remesh,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/down8k__to__remesh/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/down8k__to__remesh/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/down8k__to__remesh/ranking_summary.md
translation,down8k,up60k,down8k__to__up60k,1,1,0.803784,0.600869,0.202914,0.823802,0.633124,0.190678,1,100,4950,4950,4950,0.000758,0.000754,0.000000,0.000000,0.000044,0.000040,0.000758,0.000754,0.011650,0.012419,0.012452,0.013234,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/down8k__to__up60k,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/down8k__to__up60k/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/down8k__to__up60k/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid/rigid_only_clean_translation/translation/down8k__to__up60k/ranking_summary.md
