F1,F2,wbse,within_mean,between_mean,n_subjects
1,3,1.4776691868194975,0.9821587147885145,1.7710436729771133,99
1,5,1.5601553443538547,0.9217962305223647,1.7388459713851856,99
1,10,1.6241194769166836,0.8803153731689577,1.7259546147940177,99
1,15,1.622874844060083,0.870777554367236,1.7143282149412187,99
3,5,1.9065195709103606,0.5367371983806558,1.5567565621475101,99
3,10,2.0212803058121556,0.4545041846062025,1.5401318155322623,99
3,15,2.022468838532952,0.44289420693641357,1.5271428136801874,99
5,10,2.1532376441387946,0.36392547949155185,1.4954491597632658,99
5,15,2.2205716645119122,0.3162642052553387,1.4820825161786855,99
10,15,2.365981168599531,0.19358329322552,1.4574894776690321,99
