metric,gt_quantile,count,gt_mean,metric_mean,metric_median,metric_q10,metric_q90
latent_distance,"(0.227, 0.317]",60,0.2801013042529424,0.37434390832980474,0.37024369835853577,0.31182958483695983,0.43907704651355745
latent_distance,"(0.317, 0.343]",61,0.3296404905983659,0.4392664256643076,0.440132588148117,0.3928827047348022,0.4966599643230438
latent_distance,"(0.343, 0.408]",61,0.37713601696686666,0.49429167049830075,0.507601797580719,0.3997851014137268,0.5717290639877319
latent_distance,"(0.408, 0.508]",67,0.46532668862769855,0.5973991026629263,0.6055079102516174,0.47960724234580987,0.6985872149467468
latent_distance,"(0.508, 0.631]",51,0.5495266820870194,0.6743810580057257,0.7088118195533752,0.5407514572143555,0.7850330471992493
raw_chamfer,"(0.227, 0.317]",60,0.2801013042529424,0.0055350317988388876,0.00366697367280715,0.00146187894279133,0.011288797110319071
raw_chamfer,"(0.317, 0.343]",61,0.3296404905983659,0.00607919495087112,0.003809564281255,0.0018437462858855,0.0153957586735486
raw_chamfer,"(0.343, 0.408]",61,0.37713601696686666,0.006124493549577847,0.0037340682465583,0.0018843740690499,0.0137971881777048
raw_chamfer,"(0.408, 0.508]",67,0.46532668862769855,0.007804516268504825,0.0053576445206999,0.00296631492674348,0.016901513934135397
raw_chamfer,"(0.508, 0.631]",51,0.5495266820870194,0.008597873149019636,0.006339453626424,0.0025789539795368,0.0212939605116844
rigid_registered_chamfer,"(0.227, 0.317]",60,0.2801013042529424,0.020699608821693454,0.00359480048064135,0.00110345110297203,0.011610258277505581
rigid_registered_chamfer,"(0.317, 0.343]",61,0.3296404905983659,0.005556852236145782,0.0034964885562658,0.0011996920220553,0.012354664504528
rigid_registered_chamfer,"(0.343, 0.408]",61,0.37713601696686666,0.006712021844339368,0.0032201134599745,0.0014820802025496,0.0119573995471
rigid_registered_chamfer,"(0.408, 0.508]",67,0.46532668862769855,0.007667156838144664,0.0052114743739366,0.00259816898033022,0.015060411021113336
rigid_registered_chamfer,"(0.508, 0.631]",51,0.5495266820870194,0.007150180683489475,0.0051921945996582,0.0024329444859176,0.0138791501522064
nicp_correspondence,"(0.227, 0.317]",60,0.2801013042529424,0.10842387471742858,0.09696697516324465,0.0835176354789794,0.11872298180236043
nicp_correspondence,"(0.317, 0.343]",61,0.3296404905983659,0.10128789233968682,0.0959075573707573,0.083878110598747,0.1248919515599731
nicp_correspondence,"(0.343, 0.408]",61,0.37713601696686666,0.10072241458274057,0.0943307841653361,0.0822934443096212,0.1160623207199625
nicp_correspondence,"(0.408, 0.508]",67,0.46532668862769855,0.10505050448333762,0.1008546829715568,0.08901587444672202,0.1259191300878353
nicp_correspondence,"(0.508, 0.631]",51,0.5495266820870194,0.10458401946829832,0.1030354101369567,0.0870953526353923,0.1222294742404414
