metric,count,mean_abs_rank_error,median_abs_rank_error,spearman_vs_gt,pearson_vs_gt
latent_distance,300,35.5,29.25,0.8482717699995701,0.8539384256851981
raw_chamfer,300,85.12666666666667,75.5,0.24315470392130578,0.23796358915654073
rigid_registered_chamfer,300,87.6,79.0,0.23596074620496268,-0.046298232479607695
nicp_correspondence,300,91.73666666666666,80.5,0.16118901773393607,0.01303013561455452
