subject_a,subject_b,topology_a,topology_b,gt_distance,latent_distance,raw_chamfer,n_mesh_pairs,mesh_pair_index
id0001,id0431,remesh,original,0.344573,0.464319,0.003558,1,
id0001,id0437,remesh,original,0.401537,0.523811,0.003720,1,
id0001,id0441,remesh,original,0.291814,0.312551,0.002237,1,
id0001,id0447,remesh,original,0.306172,0.476480,0.006298,1,
id0001,id0460,remesh,original,0.293119,0.392774,0.001779,1,
id0001,id0462,remesh,original,0.310316,0.402122,0.003042,1,
id0001,id0465,remesh,original,0.345278,0.349441,0.002380,1,
id0001,id0466,remesh,original,0.330986,0.451571,0.005144,1,
id0001,id0468,remesh,original,0.465759,0.567990,0.004382,1,
id0001,id0470,remesh,original,0.426994,0.448122,0.003536,1,
id0001,id0476,remesh,original,0.308868,0.399761,0.003394,1,
id0001,id0486,remesh,original,0.323589,0.444338,0.002491,1,
id0001,id0491,remesh,original,0.320884,0.398880,0.002700,1,
id0001,id0498,remesh,original,0.339398,0.426210,0.001810,1,
id0004,id0018,remesh,original,0.299500,0.363095,0.002293,1,
id0004,id0020,remesh,original,0.366351,0.441344,0.003463,1,
id0004,id0026,remesh,original,0.416234,0.512061,0.004830,1,
id0004,id0027,remesh,original,0.248048,0.330928,0.003065,1,
id0004,id0041,remesh,original,0.345277,0.418713,0.005236,1,
id0004,id0042,remesh,original,0.487255,0.619833,0.007979,1,
id0004,id0045,remesh,original,0.324312,0.350983,0.002657,1,
id0004,id0048,remesh,original,0.238472,0.228537,0.001906,1,
id0004,id0056,remesh,original,0.478388,0.479731,0.005516,1,
id0004,id0062,remesh,original,0.511633,0.600912,0.006421,1,
id0004,id0069,remesh,original,0.343675,0.419845,0.004066,1,
id0004,id0071,remesh,original,0.480545,0.571720,0.008461,1,
id0004,id0072,remesh,original,0.344321,0.369587,0.003825,1,
id0004,id0075,remesh,original,0.372617,0.444162,0.003992,1,
id0004,id0080,remesh,original,0.425929,0.528837,0.005113,1,
id0004,id0081,remesh,original,0.350165,0.423219,0.002020,1,
id0004,id0086,remesh,original,0.333849,0.445473,0.004123,1,
id0004,id0088,remesh,original,0.324047,0.359808,0.003296,1,
id0004,id0097,remesh,original,0.372316,0.405651,0.003552,1,
id0004,id0100,remesh,original,0.327457,0.434849,0.004176,1,
id0004,id0106,remesh,original,0.425352,0.503234,0.004757,1,
id0004,id0107,remesh,original,0.404081,0.397100,0.002935,1,
id0004,id0110,remesh,original,0.288532,0.299821,0.002881,1,
id0004,id0113,remesh,original,0.402826,0.461350,0.005552,1,
id0004,id0115,remesh,original,0.299737,0.387821,0.003759,1,
id0004,id0130,remesh,original,0.373116,0.390858,0.002147,1,
id0004,id0132,remesh,original,0.372023,0.402278,0.003555,1,
id0004,id0136,remesh,original,0.391691,0.408556,0.003136,1,
id0004,id0153,remesh,original,0.307025,0.268119,0.001927,1,
id0004,id0161,remesh,original,0.277533,0.329306,0.003505,1,
id0004,id0169,remesh,original,0.369937,0.419336,0.005419,1,
id0004,id0182,remesh,original,0.281358,0.277571,0.002208,1,
id0004,id0183,remesh,original,0.405535,0.495592,0.003795,1,
id0004,id0186,remesh,original,0.294698,0.338762,0.004399,1,
id0004,id0197,remesh,original,0.295977,0.378531,0.002684,1,
id0004,id0199,remesh,original,0.301516,0.420724,0.002894,1,
id0004,id0206,remesh,original,0.534421,0.702530,0.007970,1,
id0004,id0207,remesh,original,0.328717,0.378459,0.003479,1,
id0004,id0208,remesh,original,0.252515,0.242550,0.001544,1,
id0004,id0212,remesh,original,0.449904,0.432149,0.004292,1,
id0004,id0220,remesh,original,0.382646,0.317347,0.002884,1,
id0004,id0222,remesh,original,0.308054,0.338147,0.002520,1,
id0004,id0224,remesh,original,0.323367,0.398802,0.003901,1,
id0004,id0233,remesh,original,0.398470,0.282826,0.002855,1,
id0004,id0239,remesh,original,0.464611,0.601175,0.008133,1,
id0004,id0242,remesh,original,0.282912,0.293332,0.003112,1,
id0004,id0246,remesh,original,0.388364,0.466893,0.005487,1,
id0004,id0258,remesh,original,0.347289,0.371302,0.003272,1,
id0004,id0273,remesh,original,0.353197,0.341633,0.003221,1,
id0004,id0275,remesh,original,0.342961,0.281656,0.001899,1,
id0004,id0285,remesh,original,0.300694,0.378528,0.003027,1,
id0004,id0290,remesh,original,0.376412,0.385080,0.002742,1,
id0004,id0296,remesh,original,0.377190,0.371804,0.002558,1,
id0004,id0299,remesh,original,0.274334,0.277782,0.002623,1,
id0004,id0303,remesh,original,0.376417,0.415004,0.004046,1,
id0004,id0319,remesh,original,0.399626,0.428819,0.003339,1,
id0004,id0321,remesh,original,0.359361,0.420233,0.003323,1,
id0004,id0326,remesh,original,0.333240,0.481304,0.003466,1,
id0004,id0328,remesh,original,0.303851,0.325109,0.003065,1,
id0004,id0330,remesh,original,0.378090,0.405714,0.004325,1,
id0004,id0342,remesh,original,0.350086,0.401598,0.005069,1,
id0004,id0346,remesh,original,0.331411,0.420671,0.004157,1,
id0004,id0363,remesh,original,0.357624,0.427836,0.004349,1,
id0004,id0367,remesh,original,0.332776,0.400356,0.005428,1,
id0004,id0368,remesh,original,0.268145,0.261581,0.002129,1,
id0004,id0369,remesh,original,0.306576,0.406779,0.002868,1,
id0004,id0372,remesh,original,0.348164,0.359315,0.003388,1,
id0004,id0373,remesh,original,0.253746,0.288406,0.002140,1,
id0004,id0374,remesh,original,0.488771,0.460679,0.001649,1,
id0004,id0378,remesh,original,0.257372,0.314356,0.003159,1,
id0004,id0381,remesh,original,0.262163,0.280579,0.001852,1,
id0004,id0382,remesh,original,0.443676,0.491939,0.004973,1,
id0004,id0392,remesh,original,0.334855,0.382225,0.004225,1,
id0004,id0396,remesh,original,0.329644,0.443384,0.005113,1,
id0004,id0398,remesh,original,0.455912,0.613465,0.006908,1,
id0004,id0399,remesh,original,0.341713,0.313798,0.002114,1,
id0004,id0401,remesh,original,0.404764,0.460095,0.005338,1,
id0004,id0402,remesh,original,0.287139,0.325618,0.002675,1,
id0004,id0404,remesh,original,0.385459,0.434731,0.004086,1,
id0004,id0411,remesh,original,0.444882,0.529994,0.005749,1,
id0004,id0412,remesh,original,0.346228,0.407770,0.004341,1,
id0004,id0418,remesh,original,0.352156,0.496462,0.004259,1,
id0004,id0421,remesh,original,0.283581,0.321239,0.002632,1,
id0004,id0422,remesh,original,0.295274,0.320027,0.003374,1,
id0004,id0431,remesh,original,0.344802,0.528451,0.004724,1,
id0004,id0437,remesh,original,0.335827,0.450008,0.004098,1,
id0004,id0441,remesh,original,0.345794,0.376700,0.004303,1,
id0004,id0447,remesh,original,0.379462,0.449647,0.003880,1,
id0004,id0460,remesh,original,0.277219,0.352886,0.002484,1,
id0004,id0462,remesh,original,0.359342,0.385871,0.002954,1,
id0004,id0465,remesh,original,0.413186,0.442912,0.004210,1,
id0004,id0466,remesh,original,0.322157,0.343987,0.002591,1,
id0004,id0468,remesh,original,0.497404,0.625485,0.007710,1,
id0004,id0470,remesh,original,0.394680,0.479426,0.005103,1,
id0004,id0476,remesh,original,0.263739,0.231166,0.001467,1,
id0004,id0486,remesh,original,0.421167,0.409328,0.002300,1,
id0004,id0491,remesh,original,0.283154,0.249638,0.002145,1,
id0004,id0498,remesh,original,0.366030,0.400275,0.002462,1,
id0018,id0020,remesh,original,0.275566,0.371654,0.002649,1,
id0018,id0026,remesh,original,0.382527,0.516655,0.003943,1,
id0018,id0027,remesh,original,0.290609,0.378766,0.002891,1,
id0018,id0041,remesh,original,0.337230,0.412259,0.004816,1,
