scenario,reference_metric,jitter_sigma,rotation_sigma,translation_sigma,rotation_angle_max_deg,translation_axis_std,latent_spearman,chamfer_spearman,delta_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,n_subjects,n_samples,n_pairs,n_mesh_pairs,n_subject_pairs
clean,gt_vertex_mean_l2,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000,0.525033,0.570883,-0.045850,0.532839,0.543788,-0.010950,0,10,20,45,90,45
translation,gt_vertex_mean_l2,0.000000e+00,0.000000e+00,2.000000e-02,0.000000,0.001600,0.520290,0.635705,-0.115415,0.528300,0.600235,-0.071935,0,10,20,45,90,45
