scenario,sigma,noise_mode,sp_latent_distance,pr_latent_distance,sp_raw_chamfer,pr_raw_chamfer,sp_rigid_p2p,pr_rigid_p2p,sp_nicp_p2p,pr_nicp_p2p,sp_nicp_p2tri,pr_nicp_p2tri,n_pairs_total
clean,0.0,none,0.7864997804128238,0.815712703653702,0.3448880105401845,0.38819838219788255,0.3827228809837505,0.46786314139024043,0.2756960913482652,0.363961940438204,0.2763285024154589,0.3613915804481524,1350
translation_sigma0.0010,0.001,translation,0.7862231005709265,0.8142201319427208,0.3396267018006148,0.3848828853483031,0.3779446640316205,0.46584884723041675,0.2601932367149758,0.3529169072105186,0.26105841018884496,0.3503872654720095,1350
rotation_sigma0.0010,0.001,rotation,0.788642951251647,0.8170058715225107,0.3430346947738252,0.38544139395690197,0.38648660518225725,0.4739354186025858,0.27535353535353535,0.3639371901518808,0.2773605621431708,0.361122209796895,1350
jitter_sigma0.0010,0.001,jitter,0.7859683794466403,0.8150971896509138,0.3452349582784365,0.3897412217042698,0.3854501537110232,0.4725375625422327,0.2688230127360562,0.3587083500123847,0.2698331137461572,0.35694017921411997,1350
translation_sigma0.0025,0.0025118864315095794,translation,0.7860079051383398,0.8148899567932835,0.3389240228370663,0.3819864510889453,0.38299956082564773,0.4672729959556046,0.2557531840140535,0.3461549889670922,0.25340799297321037,0.34361224418633124,1350
rotation_sigma0.0025,0.0025118864315095794,rotation,0.7831137461572244,0.813697401374887,0.34465524813350895,0.3890459378064881,0.38361440491875276,0.47144560736810115,0.2712692138779095,0.3480523204741085,0.27137022397891963,0.3456917895416263,1350
jitter_sigma0.0025,0.0025118864315095794,jitter,0.7854062362758013,0.8141146481137161,0.3448001756697408,0.38999872757287185,0.3912736056214317,0.47224082417449975,0.27322353974527885,0.3566141382008278,0.2748924022837066,0.35432381448249683,1350
translation_sigma0.0063,0.006309573444801929,translation,0.78576635924462,0.8132968937450598,0.3443873517786561,0.38788308804021476,0.3833992094861659,0.46480571436315427,0.25148880105401844,0.3463191196041465,0.2568642951251647,0.34583617615987383,1350
rotation_sigma0.0063,0.006309573444801929,rotation,0.7890030742204653,0.8162730471133739,0.3442160737812911,0.3880724266426202,0.37992094861660075,0.4687693501665381,0.2554808959156786,0.3423081197059124,0.25758454106280193,0.34129738077220917,1350
jitter_sigma0.0063,0.006309573444801929,jitter,0.7816469038208169,0.8100445817800943,0.346526130873957,0.39336342421925685,0.3767457180500659,0.4645728981711196,0.2813570487483531,0.38167642189252426,0.2837022397891963,0.38115815905307326,1350
translation_sigma0.0158,0.01584893192461114,translation,0.7879183135704875,0.815964712517056,0.34012296881862103,0.38734878325029504,0.38032938076416334,0.469523819969031,0.2668467281510759,0.3534088921591762,0.26895476504172156,0.3524988184382171,1350
rotation_sigma0.0158,0.01584893192461114,rotation,0.7889767237593326,0.8176601650804591,0.342266139657444,0.3902860258494136,0.36510759771629336,0.4621052727051376,0.2536100131752306,0.33528602087785,0.2532103645147123,0.33141926501740393,1350
jitter_sigma0.0158,0.01584893192461114,jitter,0.7835529205094421,0.8159199923452334,0.3589459815546771,0.4117561902329044,0.36942468159859465,0.4577027228523817,0.32234519104084314,0.425823679850181,0.3351559068950373,0.43311653470427103,1350
translation_sigma0.0398,0.039810717055349734,translation,0.78133069828722,0.8101845443353276,0.3492270531400966,0.3942713165054435,0.389407114624506,0.47849192062058393,0.26117259552042155,0.35246397566547777,0.260764163372859,0.3493019400112162,1350
rotation_sigma0.0398,0.039810717055349734,rotation,0.7834914361001315,0.8157416846482235,0.3381335090030742,0.38721367332561224,0.3653271848924023,0.45943332485260197,0.26091348265261305,0.35253652595805984,0.258620992534036,0.34881373012972083,1350
jitter_sigma0.0398,0.039810717055349734,jitter,0.730491875274484,0.7705545256500628,0.3637593324549846,0.42734061420643266,0.24967940272288094,0.31442956708315223,0.2528107158541941,0.3311937402026247,0.3138559508124726,0.3950780579293271,1350
translation_sigma0.1000,0.1,translation,0.769780412823891,0.7948164234430032,0.3428809837505489,0.38666031897780395,0.37205094422485724,0.4652762164187816,0.24642512077294682,0.3404124075026067,0.2453008344312692,0.33703464491195034,1350
rotation_sigma0.1000,0.1,rotation,0.7654369784804567,0.801792073332928,0.3368072024593763,0.3769301002997106,0.3792490118577075,0.4642340168304935,0.25400966183574875,0.3484841239147047,0.25535353535353533,0.3455187939802553,1350
jitter_sigma0.1000,0.1,jitter,0.5618181818181818,0.5970296988067514,0.2577206851119895,0.31198261598366805,-0.02780412823891085,0.004220296458425988,-0.005191040843214759,0.026466164107289906,0.067487922705314,0.09988249928552356,1350
