n_pairs,spearman_latent_distance,pearson_latent_distance,spearman_raw_chamfer,pearson_raw_chamfer,spearman_rigid_p2p,pearson_rigid_p2p,spearman_nicp_p2p,pearson_nicp_p2p,spearman_nicp_p2tri,pearson_nicp_p2tri,scenario,sigma,noise_mode,topology_a,topology_b,pair_label
45,0.8055335968379447,0.8051458676068834,-0.10527009222661396,-0.06805555452415024,-0.019235836627140974,0.1034016753788978,0.0036890645586297754,0.1369437585674887,0.005665349143610012,0.1332942391490539,clean,0.0,none,crop,down8k,crop__to__down8k
45,0.8438735177865612,0.8499398388915074,-0.09604743083003953,-0.013707290551549841,0.06376811594202898,0.23778721977251352,0.12806324110671935,0.21777355130752973,0.1461133069828722,0.21892172626197637,clean,0.0,none,crop,noisy,crop__to__noisy
45,0.8455862977602107,0.8572226237532783,-0.07812911725955204,0.010764063859721248,0.11001317523056652,0.2686949186078489,0.26310935441370226,0.3509570928302121,0.252832674571805,0.3517529041540571,clean,0.0,none,crop,original,crop__to__original
45,0.7737812911725954,0.7768196704335982,0.0544137022397892,0.10462710689031014,0.2624505928853755,0.45749431320347295,0.27259552042160734,0.39560786465633296,0.2656126482213439,0.3932232035804694,clean,0.0,none,crop,remesh,crop__to__remesh
45,0.8304347826086955,0.8315276579974573,-0.1357048748353096,-0.09216862066478217,0.00461133069828722,0.20365462795802508,0.14848484848484847,0.2866234632726442,0.14202898550724635,0.28770231744479013,clean,0.0,none,crop,up60k,crop__to__up60k
45,0.5745718050065874,0.6232965137547194,-0.23122529644268772,-0.23021414271324897,0.10974967061923584,0.1270135669451662,0.052832674571805,0.10669477907858536,0.0681159420289855,0.11365089944027135,clean,0.0,none,down8k,crop,down8k__to__crop
45,0.79433465085639,0.8367062744215715,0.5577075098814228,0.5949159348035311,0.5225296442687747,0.5947136787292195,0.4599472990777338,0.5352884267071865,0.458498023715415,0.5291883619967198,clean,0.0,none,down8k,noisy,down8k__to__noisy
45,0.7849802371541501,0.8268964941547104,0.5214756258234519,0.5323551890155973,0.5142292490118576,0.5740471043083887,0.40013175230566533,0.469845510901313,0.4032938076416337,0.47155671849894837,clean,0.0,none,down8k,original,down8k__to__original
45,0.8343873517786561,0.8499905468062826,0.43043478260869555,0.5089804381220997,0.3782608695652173,0.4328937555555202,0.2540184453227931,0.3241219883897202,0.24519104084321472,0.31703238506663695,clean,0.0,none,down8k,remesh,down8k__to__remesh
45,0.8175230566534913,0.8574989829144538,0.6895915678524374,0.7346844868056589,0.6048748353096178,0.6356577786130689,0.36732542819499336,0.43406870139550946,0.3665349143610013,0.4308510613268756,clean,0.0,none,down8k,up60k,down8k__to__up60k
45,0.6498023715415019,0.6876945698000724,-0.1507246376811594,-0.15639179278563933,0.29341238471673253,0.32648937827580066,0.13346508563899867,0.18195431811107698,0.13965744400527005,0.18889558637378384,clean,0.0,none,noisy,crop,noisy__to__crop
45,0.8284584980237153,0.8575371479181052,0.439262187088274,0.4822016465320331,0.3840579710144927,0.47492559306579274,0.39986824769433466,0.49824113535594733,0.40579710144927533,0.498673796610857,clean,0.0,none,noisy,down8k,noisy__to__down8k
