n_pairs,spearman_latent_distance,pearson_latent_distance,spearman_raw_chamfer,pearson_raw_chamfer,spearman_rigid_p2p,pearson_rigid_p2p,spearman_nicp_p2p,pearson_nicp_p2p,spearman_nicp_p2tri,pearson_nicp_p2tri,scenario,sigma,noise_mode,topology_a,topology_b,pair_label
45,0.8334650856389986,0.8686763057577813,0.6999999999999998,0.7515570668034337,0.5235836627140974,0.581574083715359,0.40527009222661387,0.49288615589422813,0.40434782608695646,0.4905827907420883,clean,0.0,none,noisy,original,noisy__to__original
45,0.8048748353096179,0.8284289813310116,0.5262187088274045,0.581298412915182,0.5314888010540184,0.578038989242969,0.3413702239789196,0.4208687292494624,0.34835309617918314,0.4302626669040112,clean,0.0,none,noisy,remesh,noisy__to__remesh
45,0.8325428194993413,0.8638790977033247,0.5729907773386034,0.5902159881240768,0.478129117259552,0.5504117786760517,0.32424242424242417,0.43366626928826846,0.3159420289855072,0.4238088112115394,clean,0.0,none,noisy,up60k,noisy__to__up60k
45,0.6700922266139657,0.7224902652305053,-0.08432147562582346,-0.09766804001928626,0.2778656126482213,0.33450658162098884,0.08866930171277997,0.12163757207846428,0.11172595520421606,0.12767070725725008,clean,0.0,none,original,crop,original__to__crop
45,0.8358366271409748,0.8602346131708662,0.3308300395256917,0.3989266218163662,0.44202898550724634,0.5338058161073622,0.277733860342556,0.41651225349011706,0.28142292490118576,0.4007534283472105,clean,0.0,none,original,down8k,original__to__down8k
45,0.8725955204216073,0.8904823993473736,0.6869565217391302,0.7317684660403488,0.5710144927536231,0.6033393485088461,0.4275362318840579,0.5300375935126048,0.41712779973649533,0.527088374577632,clean,0.0,none,original,noisy,original__to__noisy
45,0.8250329380764162,0.838101095899142,0.5175230566534914,0.5797882054012196,0.5218708827404479,0.5804541516249498,0.29472990777338604,0.395658193085019,0.29433465085639,0.38663022482667647,clean,0.0,none,original,remesh,original__to__remesh
45,0.8425559947299076,0.8722761058134915,0.4657444005270092,0.5017343441379304,0.5440052700922265,0.6105470273483411,0.34005270092226614,0.45915750537066974,0.3341238471673254,0.4522289039523134,clean,0.0,none,original,up60k,original__to__up60k
45,0.6051383399209486,0.6598698278968229,-0.0613965744400527,-0.05896336305004897,0.422266139657444,0.5311908629769087,0.15889328063241104,0.2088896269521692,0.17404479578392618,0.22394128848265724,clean,0.0,none,remesh,crop,remesh__to__crop
45,0.8059288537549407,0.8543028743674334,0.5046113306982871,0.576803890891101,0.24743083003952565,0.3972028676020539,0.31607378129117253,0.394447481521985,0.2949934123847167,0.3819849986350027,clean,0.0,none,remesh,down8k,remesh__to__down8k
45,0.797364953886693,0.8362734459988622,0.6573122529644267,0.7259243789529576,0.4197628458498023,0.518697978687368,0.30527009222661394,0.35680149087446117,0.303030303030303,0.34666158865945873,clean,0.0,none,remesh,noisy,remesh__to__noisy
45,0.7869565217391303,0.8285163448729734,0.6461133069828721,0.7076764714367888,0.45902503293807634,0.5393428664243128,0.3573122529644268,0.4465499667983694,0.3679841897233201,0.43949803963882533,clean,0.0,none,remesh,original,remesh__to__original
45,0.8280632411067192,0.8669815033949532,0.6376811594202898,0.6922521623566775,0.4351778656126482,0.5215682289720861,0.27312252964426875,0.3747229289539937,0.26745718050065875,0.36727639669104056,clean,0.0,none,remesh,up60k,remesh__to__up60k
45,0.5972332015810277,0.6367876103894351,-0.19183135704874835,-0.19128418487749088,0.24123847167325427,0.2874822120061531,0.09025032938076416,0.165969762731517,0.11396574440052701,0.17275259255861086,clean,0.0,none,up60k,crop,up60k__to__crop
45,0.8263504611330699,0.857515595288338,0.7469038208168642,0.7817518873233633,0.5342555994729907,0.5895702877186627,0.3068511198945981,0.3919242343884544,0.29183135704874835,0.37712813232070297,clean,0.0,none,up60k,down8k,up60k__to__down8k
45,0.8036890645586295,0.8402454124243651,0.6384716732542819,0.7052852616551466,0.5488801054018445,0.6276903505025143,0.42187088274044793,0.5332864569767786,0.4184453227931489,0.5237992309597168,clean,0.0,none,up60k,noisy,up60k__to__noisy
45,0.7978919631093543,0.8310879337494235,0.6063241106719367,0.6349002071577302,0.5685111989459816,0.640924106101275,0.406455862977602,0.4901128681960448,0.40764163372859025,0.4863030437944932,clean,0.0,none,up60k,original,up60k__to__original
45,0.8461133069828722,0.8549555085223173,0.5507246376811593,0.6259922240813972,0.48642951251646893,0.5727730934572951,0.25164690382081684,0.34760853320996665,0.2437417654808959,0.34863299398090214,clean,0.0,none,up60k,remesh,up60k__to__remesh
45,0.8084321475625823,0.8035608654824202,-0.11014492753623187,-0.06743561688753492,0.03069828722002635,0.1487508868639645,0.08695652173913042,0.1949555587207288,0.07523056653491436,0.19154482946160847,translation_sigma0.0010,0.001,translation,crop,down8k,crop__to__down8k
45,0.8345191040843214,0.8363818020673117,-0.09710144927536231,-0.015934181865632654,0.05520421607378129,0.23294736910918243,0.1494071146245059,0.3035646346654245,0.16719367588932801,0.3042712771472762,translation_sigma0.0010,0.001,translation,crop,noisy,crop__to__noisy
45,0.8405797101449274,0.8502877422754649,-0.08708827404479579,0.00725909376623901,0.07193675889328063,0.24055724706094825,0.13728590250329378,0.3062765142867459,0.16166007905138335,0.3142232397509247,translation_sigma0.0010,0.001,translation,crop,original,crop__to__original
45,0.7779973649538866,0.7813670923998931,0.0525691699604743,0.10744635112849492,0.21870882740447956,0.41086134348185477,0.16521739130434782,0.29867573551654114,0.16745718050065875,0.29998164009131917,translation_sigma0.0010,0.001,translation,crop,remesh,crop__to__remesh
45,0.8280632411067192,0.8292428829894174,-0.13860342555994729,-0.09665927339219804,0.024769433465085634,0.21014641108332693,0.1067193675889328,0.2634973120412146,0.08787878787878786,0.2570956636960872,translation_sigma0.0010,0.001,translation,crop,up60k,crop__to__up60k
45,0.5696969696969696,0.6205157552981161,-0.22463768115942026,-0.22421391716492828,0.12911725955204215,0.1574542028644258,-0.0036890645586297754,0.07677619114643681,-0.006851119894598154,0.08203878538312026,translation_sigma0.0010,0.001,translation,down8k,crop,down8k__to__crop
45,0.7934123847167325,0.8330759038817025,0.558498023715415,0.6074530086780366,0.5351778656126482,0.598932918755503,0.4610013175230566,0.5205342268044217,0.4575757575757575,0.5119561295746244,translation_sigma0.0010,0.001,translation,down8k,noisy,down8k__to__noisy
45,0.7836627140974967,0.8271297047689151,0.52266139657444,0.541575359563416,0.5270092226613965,0.5902725547462218,0.4088274044795784,0.477310495091491,0.4025032938076416,0.47251012302527357,translation_sigma0.0010,0.001,translation,down8k,original,down8k__to__original
45,0.8274044795783925,0.8479043768394916,0.43399209486166,0.5130707449875536,0.3662714097496706,0.4239814779037769,0.25296442687747034,0.32087726483086126,0.23913043478260868,0.31112471958918714,translation_sigma0.0010,0.001,translation,down8k,remesh,down8k__to__remesh
45,0.820421607378129,0.8569182241821709,0.6824769433465084,0.7333665862324941,0.5338603425559947,0.6074031030465927,0.3436100131752305,0.43596361480925383,0.33807641633728586,0.4353443390651098,translation_sigma0.0010,0.001,translation,down8k,up60k,down8k__to__up60k
45,0.6552042160737812,0.6795108003221542,-0.1450592885375494,-0.1523530297788777,0.23280632411067192,0.27621769666407653,0.14308300395256918,0.17669736315459023,0.1437417654808959,0.18245195623001986,translation_sigma0.0010,0.001,translation,noisy,crop,noisy__to__crop
45,0.8296442687747034,0.8584210640425353,0.4262187088274045,0.47867692942211987,0.461133069828722,0.5479425750785484,0.32424242424242417,0.4211838146504642,0.3180500658761528,0.40955910666306716,translation_sigma0.0010,0.001,translation,noisy,down8k,noisy__to__down8k
45,0.8237154150197628,0.8660850161831576,0.6839262187088274,0.7435025611572755,0.4909090909090909,0.5839149359672189,0.4044795783926219,0.5147214986287134,0.3906455862977602,0.506753769790957,translation_sigma0.0010,0.001,translation,noisy,original,noisy__to__original
45,0.8023715415019762,0.8275761509313386,0.5270092226613965,0.5780015219428808,0.4347826086956521,0.5065979126703456,0.23926218708827401,0.35573287770230577,0.24980237154150195,0.35509501171410296,translation_sigma0.0010,0.001,translation,noisy,remesh,noisy__to__remesh
45,0.8266139657444004,0.8608740928454685,0.5353096179183136,0.5722296499213059,0.5130434782608695,0.5953275099261944,0.3292490118577075,0.4623603388344479,0.30961791831357044,0.4550844627804,translation_sigma0.0010,0.001,translation,noisy,up60k,noisy__to__up60k
45,0.6816864295125165,0.7214759475613614,-0.08089591567852437,-0.11275522883145202,0.2649538866930171,0.3201003002953441,0.0764163372859025,0.13608322142355725,0.08853754940711463,0.1333998785864467,translation_sigma0.0010,0.001,translation,original,crop,original__to__crop
45,0.8409749670619234,0.8636394837415559,0.34071146245059286,0.4056253126101022,0.44281949934123843,0.5397448821584799,0.2778656126482213,0.3827948844925326,0.2952569169960474,0.3775447773828822,translation_sigma0.0010,0.001,translation,original,down8k,original__to__down8k
45,0.8649538866930171,0.8842814673352809,0.695125164690382,0.7348234051219451,0.5980237154150196,0.6380008018660742,0.4586297760210803,0.5306681269996318,0.43148880105401843,0.5161987379226193,translation_sigma0.0010,0.001,translation,original,noisy,original__to__noisy
45,0.82266139657444,0.8399093715893993,0.5321475625823451,0.592578581537705,0.5093544137022398,0.5979694426258928,0.2963109354413702,0.3728236234965008,0.31436100131752304,0.3743970246696173,translation_sigma0.0010,0.001,translation,original,remesh,original__to__remesh
45,0.8401844532279314,0.8721113607510391,0.4625823451910408,0.5057345600019016,0.5633728590250329,0.6324276140024667,0.38590250329380754,0.48322678331049224,0.3739130434782608,0.48106100590684003,translation_sigma0.0010,0.001,translation,original,up60k,original__to__up60k
45,0.6138339920948617,0.6606766579842054,-0.0678524374176548,-0.0608684955454171,0.4010540184453228,0.5276548747583512,0.1562582345191041,0.22288421155713015,0.18418972332015807,0.2407851387040189,translation_sigma0.0010,0.001,translation,remesh,crop,remesh__to__crop
45,0.809090909090909,0.857615879705058,0.4835309617918313,0.5685140986227641,0.21897233201581026,0.33282866954433693,0.22740447957839258,0.29615694193171394,0.21633728590250328,0.2814593148940859,translation_sigma0.0010,0.001,translation,remesh,down8k,remesh__to__down8k
45,0.7923583662714097,0.8316315264579012,0.6292490118577074,0.7019250404264739,0.36389986824769427,0.4639663188272522,0.2741765480895915,0.32874510754601044,0.30184453227931485,0.3417801925575316,translation_sigma0.0010,0.001,translation,remesh,noisy,remesh__to__noisy
45,0.7909090909090908,0.8293032920745712,0.6284584980237153,0.6859823319308767,0.4284584980237154,0.4982986994415219,0.32266139657444004,0.41284101327244477,0.3345191040843214,0.4027665820483647,translation_sigma0.0010,0.001,translation,remesh,original,remesh__to__original
45,0.8361001317523056,0.8676094015187016,0.6202898550724637,0.6775615846353104,0.38142292490118573,0.4454257373226575,0.22779973649538865,0.31120042849388885,0.21436100131752303,0.3077973132032617,translation_sigma0.0010,0.001,translation,remesh,up60k,remesh__to__up60k
45,0.5931488801054018,0.6365761024887749,-0.186429512516469,-0.1960395819047825,0.2849802371541502,0.31899202808606947,0.09512516469038207,0.15040299115621225,0.11225296442687746,0.1596844781624594,translation_sigma0.0010,0.001,translation,up60k,crop,up60k__to__crop
45,0.8357048748353094,0.8624447769285435,0.7380764163372859,0.7795126390549576,0.5202898550724637,0.6155053737531423,0.3209486166007905,0.3867627730765167,0.30830039525691694,0.3708652194216355,translation_sigma0.0010,0.001,translation,up60k,down8k,up60k__to__down8k
45,0.7986824769433465,0.8356169457542417,0.6333333333333333,0.6991255032639766,0.5905138339920948,0.6491000871667859,0.4679841897233201,0.5590499099826413,0.47694334650856385,0.5528311559259076,translation_sigma0.0010,0.001,translation,up60k,noisy,up60k__to__noisy
45,0.7952569169960473,0.8306181109066245,0.5926218708827404,0.6206119264071375,0.6131752305665348,0.6575894108044074,0.4189723320158103,0.5063284976771906,0.42938076416337284,0.5033490120007348,translation_sigma0.0010,0.001,translation,up60k,original,up60k__to__original
45,0.8494071146245058,0.8542421589748056,0.5478260869565217,0.6181690954069505,0.5316205533596837,0.6065530310375368,0.2507246376811594,0.37841126101545075,0.24835309617918314,0.3786630788108027,translation_sigma0.0010,0.001,translation,up60k,remesh,up60k__to__remesh
45,0.8052700922266138,0.8061277360354606,-0.1131752305665349,-0.07095089938346491,-0.04018445322793148,0.10473217969612383,0.008563899868247694,0.1597437316771049,-0.00039525691699604737,0.1549742238639388,rotation_sigma0.0010,0.001,rotation,crop,down8k,crop__to__down8k
45,0.861133069828722,0.8626007370813492,-0.10158102766798419,-0.018670192423202992,0.04400527009222661,0.18075990864013877,0.11133069828722002,0.24082381223633356,0.10118577075098813,0.23906673860340588,rotation_sigma0.0010,0.001,rotation,crop,noisy,crop__to__noisy
45,0.852832674571805,0.8642094546694468,-0.08010540184453227,0.005041428466767484,0.04347826086956521,0.19869886019618352,0.15125164690382079,0.22295191737138514,0.1507246376811594,0.22173655189488964,rotation_sigma0.0010,0.001,rotation,crop,original,crop__to__original
45,0.7769433465085639,0.7854131102823189,0.05006587615283267,0.10390634700087342,0.19341238471673253,0.38771276016676076,0.1590250329380764,0.3077472855994911,0.1549407114624506,0.3118166073121323,rotation_sigma0.0010,0.001,rotation,crop,remesh,crop__to__remesh
45,0.8251646903820816,0.8337234367682139,-0.12160737812911723,-0.09535299321669025,-0.02015810276679842,0.16751118750615765,0.09710144927536231,0.2608797282797723,0.09828722002635044,0.25695376433270367,rotation_sigma0.0010,0.001,rotation,crop,up60k,crop__to__up60k
45,0.5815546772068511,0.6298960243095333,-0.23214756258234515,-0.21936540829330306,0.11897233201581027,0.15719850575282984,0.0764163372859025,0.1305403809145497,0.08603425559947299,0.12909168783735261,rotation_sigma0.0010,0.001,rotation,down8k,crop,down8k__to__crop
45,0.8007905138339919,0.8378915566992738,0.5732542819499341,0.6045766743357301,0.5972332015810277,0.6486856968934431,0.4706192358366271,0.5656958111406714,0.4923583662714097,0.5700475238447538,rotation_sigma0.0010,0.001,rotation,down8k,noisy,down8k__to__noisy
45,0.7822134387351778,0.8269937734229752,0.5292490118577075,0.5464226050174302,0.5740447957839262,0.6367378037017113,0.4571805006587614,0.5293973803820432,0.4739130434782608,0.5379660665912576,rotation_sigma0.0010,0.001,rotation,down8k,original,down8k__to__original
45,0.8376811594202898,0.8550699403251854,0.41146245059288533,0.5121026425974603,0.39591567852437415,0.4494783733873323,0.3295125164690382,0.37300487350776973,0.33860342555994727,0.36992008576044677,rotation_sigma0.0010,0.001,rotation,down8k,remesh,down8k__to__remesh
45,0.8061923583662712,0.8531697148738207,0.7051383399209485,0.7465404461935886,0.55098814229249,0.6257130223798586,0.35322793148880105,0.43141871487441064,0.33899868247694326,0.4309939754052268,rotation_sigma0.0010,0.001,rotation,down8k,up60k,down8k__to__up60k
45,0.6548089591567852,0.6931125896610243,-0.15586297760210802,-0.15277664675310643,0.29552042160737807,0.3494003542809319,0.15059288537549406,0.18544110019899457,0.15612648221343875,0.19122020662199227,rotation_sigma0.0010,0.001,rotation,noisy,crop,noisy__to__crop
45,0.839262187088274,0.8555364957702368,0.4275362318840579,0.4649910059172134,0.4520421607378129,0.554915810722757,0.26890645586297757,0.3999885456863379,0.27180500658761525,0.38968037928680876,rotation_sigma0.0010,0.001,rotation,noisy,down8k,noisy__to__down8k
45,0.8358366271409748,0.8732938589688942,0.6853754940711462,0.7416327317365848,0.5482213438735177,0.6001172248488277,0.3202898550724637,0.4366969945012083,0.3198945981554677,0.438099171850936,rotation_sigma0.0010,0.001,rotation,noisy,original,noisy__to__original
45,0.8152832674571805,0.8320130276038974,0.5093544137022398,0.571811170001206,0.5422924901185769,0.5985987008316462,0.2722002635046113,0.3890734733242658,0.2707509881422924,0.3902349369110831,rotation_sigma0.0010,0.001,rotation,noisy,remesh,noisy__to__remesh
45,0.8308300395256916,0.8617920635198419,0.5689064558629776,0.5870761854902492,0.4857707509881422,0.5838287412195569,0.3231884057971014,0.4536085907131192,0.341897233201581,0.45223497999478984,rotation_sigma0.0010,0.001,rotation,noisy,up60k,noisy__to__up60k
45,0.672859025032938,0.7228775698639134,-0.08300395256916995,-0.10542588614380823,0.31422924901185767,0.3533484254004972,0.14229249011857706,0.21267891462269148,0.1405797101449275,0.21643903508703594,rotation_sigma0.0010,0.001,rotation,original,crop,original__to__crop
45,0.8383399209486165,0.8556330411347314,0.3544137022397892,0.39867399357506617,0.46363636363636357,0.5493763307529324,0.35691699604743077,0.415745128329996,0.3447957839262187,0.39740294172100293,rotation_sigma0.0010,0.001,rotation,original,down8k,original__to__down8k
45,0.8783926218708826,0.893792369283185,0.6942028985507246,0.7356619441262197,0.5303030303030303,0.5961189593623261,0.4778656126482213,0.5285670572661668,0.4619235836627141,0.5140622891059107,rotation_sigma0.0010,0.001,rotation,original,noisy,original__to__noisy
45,0.8256916996047431,0.8388757330775772,0.5490118577075098,0.5890394147769255,0.553227931488801,0.6012949775962321,0.3484848484848485,0.419009122299782,0.33886693017127795,0.41499987308165087,rotation_sigma0.0010,0.001,rotation,original,remesh,original__to__remesh
45,0.8425559947299076,0.867904670048137,0.4610013175230566,0.5043977875551184,0.5798418972332016,0.6269234743192171,0.42951251646903815,0.5056918883327982,0.42450592885375493,0.4998272525518369,rotation_sigma0.0010,0.001,rotation,original,up60k,original__to__up60k
45,0.6152832674571804,0.6650342684640258,-0.04519104084321475,-0.05429908859690135,0.44598155467720685,0.5470755894264177,0.18735177865612648,0.2213397724594248,0.2051383399209486,0.2343655749657077,rotation_sigma0.0010,0.001,rotation,remesh,crop,remesh__to__crop
45,0.8083003952569169,0.8521159949419417,0.4848484848484848,0.5685998843180314,0.18471673254281945,0.35167072279725214,0.275494071146245,0.3671110007895562,0.2574440052700922,0.3542005138618325,rotation_sigma0.0010,0.001,rotation,remesh,down8k,remesh__to__down8k
45,0.8010540184453228,0.8426940688710705,0.6525691699604743,0.7195538950335213,0.40790513833992087,0.4628368516289357,0.25783926218708825,0.37820021202173915,0.27444005270092225,0.37672978228482085,rotation_sigma0.0010,0.001,rotation,remesh,noisy,remesh__to__noisy
45,0.7899868247694334,0.830625551683118,0.6341238471673254,0.7069031141889934,0.42832674571805,0.4957199158225039,0.3080368906455863,0.39168831197561105,0.32068511198945976,0.37579852676021924,rotation_sigma0.0010,0.001,rotation,remesh,original,remesh__to__original
45,0.8187088274044795,0.8630909655946897,0.6322793148880105,0.6849704431621318,0.41752305665349143,0.5191467434494623,0.31040843214756253,0.35816800941686416,0.3043478260869565,0.34254476923217814,rotation_sigma0.0010,0.001,rotation,remesh,up60k,remesh__to__up60k
45,0.6144927536231883,0.6359169617876296,-0.18945981554677202,-0.19842471300007802,0.2743083003952569,0.31138728379612296,0.10276679841897231,0.12505834762185095,0.11198945981554678,0.1349851458858587,rotation_sigma0.0010,0.001,rotation,up60k,crop,up60k__to__crop
45,0.8143610013175229,0.8488651633308643,0.7378129117259552,0.7803615187391503,0.5700922266139656,0.6455284810685934,0.36495388669301704,0.44926239888419633,0.3703557312252964,0.4436079293357084,rotation_sigma0.0010,0.001,rotation,up60k,down8k,up60k__to__down8k
45,0.7916996047430829,0.8397529468026322,0.6301712779973648,0.6880881973137706,0.5690382081686428,0.6542418229224615,0.45177865612648216,0.5414647576862054,0.4681159420289855,0.542391847465043,rotation_sigma0.0010,0.001,rotation,up60k,noisy,up60k__to__noisy
45,0.7915678524374176,0.8275151907553864,0.5976284584980236,0.6230486359182422,0.5818181818181818,0.6646395719368279,0.38629776021080364,0.5040010997207732,0.38932806324110664,0.5013030696860212,rotation_sigma0.0010,0.001,rotation,up60k,original,up60k__to__original
45,0.8501976284584979,0.8546381300449485,0.5247694334650856,0.59510758105334,0.49209486166007904,0.594664277573533,0.3111989459815546,0.4131173427213125,0.31317523056653485,0.4009708427703057,rotation_sigma0.0010,0.001,rotation,up60k,remesh,up60k__to__remesh
45,0.8067193675889326,0.8058807779121513,-0.10447957839262186,-0.06369996211556506,-0.03952569169960474,0.1212848201153538,0.09354413702239787,0.20643597970488323,0.09999999999999998,0.2058888079316144,jitter_sigma0.0010,0.001,jitter,crop,down8k,crop__to__down8k
45,0.8444005270092225,0.8473784807391495,-0.0963109354413702,-0.01537186986379229,0.015415019762845848,0.21016476324632674,0.12266139657444006,0.26256630654998725,0.12714097496706192,0.26048320304858436,jitter_sigma0.0010,0.001,jitter,crop,noisy,crop__to__noisy
45,0.8457180500658761,0.8563371298392314,-0.08089591567852437,0.009027394126482203,0.020289855072463767,0.2202247951794035,0.1926218708827404,0.33317197322440145,0.20131752305665346,0.3277184492338991,jitter_sigma0.0010,0.001,jitter,crop,original,crop__to__original
45,0.7678524374176549,0.774066198087273,0.054808959156785235,0.11019916297818107,0.264163372859025,0.4257617458647474,0.23359683794466402,0.3533903531797587,0.23280632411067192,0.3553942591825371,jitter_sigma0.0010,0.001,jitter,crop,remesh,crop__to__remesh
45,0.8280632411067192,0.8302864041841796,-0.12081686429512514,-0.08605574047210356,-0.017259552042160738,0.18599163776007752,0.11106719367588931,0.19702075222001314,0.10974967061923584,0.1919554361526849,jitter_sigma0.0010,0.001,jitter,crop,up60k,crop__to__up60k
45,0.5737812911725955,0.6238544961815957,-0.22424242424242422,-0.2232064480862216,0.13768115942028983,0.1516973711617822,0.0380764163372859,0.0922232322032967,0.04795783926218709,0.09537667610009518,jitter_sigma0.0010,0.001,jitter,down8k,crop,down8k__to__crop
45,0.7956521739130434,0.8367474486074047,0.5696969696969696,0.6062981585005977,0.5938076416337286,0.6347339172360074,0.458893280632411,0.5490608101170974,0.44374176548089583,0.5445643698117799,jitter_sigma0.0010,0.001,jitter,down8k,noisy,down8k__to__noisy
45,0.7823451910408431,0.8266104456081055,0.530566534914361,0.5446765437171585,0.5756258234519104,0.6110985797060202,0.40289855072463765,0.49309985264614187,0.4025032938076416,0.49115514606972804,jitter_sigma0.0010,0.001,jitter,down8k,original,down8k__to__original
45,0.8367588932806324,0.849114385237064,0.44044795783926216,0.5275306395758073,0.40777338603425556,0.4599854277022639,0.2563899868247694,0.3435125009235743,0.26469038208168644,0.34157709910482026,jitter_sigma0.0010,0.001,jitter,down8k,remesh,down8k__to__remesh
45,0.8154150197628457,0.8565561057954258,0.6898550724637681,0.7407223935362531,0.5990777338603425,0.6329587826465081,0.38682476943346505,0.4627117778862738,0.3635046113306982,0.4581650001089437,jitter_sigma0.0010,0.001,jitter,down8k,up60k,down8k__to__up60k
45,0.6470355731225296,0.6848848671461994,-0.1544137022397892,-0.1546747213009184,0.27180500658761525,0.34971525484099447,0.08339920948616601,0.1441516373491011,0.07048748353096179,0.14459526762911376,jitter_sigma0.0010,0.001,jitter,noisy,crop,noisy__to__crop
45,0.8296442687747034,0.8573855344418412,0.42964426877470346,0.47827074279380677,0.46047430830039526,0.5521144890506604,0.3284584980237154,0.4536771359232838,0.33847167325428196,0.4507085665152941,jitter_sigma0.0010,0.001,jitter,noisy,down8k,noisy__to__down8k
45,0.8297760210803689,0.8669163023639892,0.6895915678524374,0.7431254690710952,0.592094861660079,0.6366740321001622,0.4067193675889328,0.5150332044232603,0.42173913043478256,0.5084556409377374,jitter_sigma0.0010,0.001,jitter,noisy,original,noisy__to__original
45,0.8064558629776021,0.8280706209260826,0.5250329380764164,0.581936519846715,0.5101449275362319,0.5788949604008458,0.3201581027667984,0.4052363112648887,0.32147562582345185,0.3988768400369509,jitter_sigma0.0010,0.001,jitter,noisy,remesh,noisy__to__remesh
45,0.8320158102766797,0.8629262230962145,0.5595520421607377,0.5869357013429164,0.5662714097496705,0.6141089880616483,0.38115942028985506,0.4540440410000094,0.3722002635046113,0.44787494602882266,jitter_sigma0.0010,0.001,jitter,noisy,up60k,noisy__to__up60k
45,0.6708827404479578,0.7236333071620668,-0.08537549407114624,-0.09247364706229877,0.30184453227931485,0.38284698720787486,0.0903820816864295,0.16132922697166827,0.08880105401844532,0.17159843336716438,jitter_sigma0.0010,0.001,jitter,original,crop,original__to__crop
45,0.8362318840579709,0.861188160137129,0.3459815546772068,0.4054961458805792,0.3752305665349143,0.476662612008021,0.4067193675889328,0.4742715699488711,0.3891963109354414,0.46449994356459645,jitter_sigma0.0010,0.001,jitter,original,down8k,original__to__down8k
45,0.8707509881422923,0.8901701455668101,0.6932806324110671,0.7397131607355847,0.5542819499341237,0.5976967771894499,0.4413702239789196,0.5212095048889791,0.4595520421607378,0.5247891361688214,jitter_sigma0.0010,0.001,jitter,original,noisy,original__to__noisy
45,0.8255599472990777,0.83783491770655,0.5387351778656126,0.5888904321872708,0.5735177865612647,0.6190560744720999,0.33886693017127795,0.4186302834755545,0.3623188405797101,0.42799286172121415,jitter_sigma0.0010,0.001,jitter,original,remesh,original__to__remesh
45,0.8401844532279314,0.8721289792557518,0.47562582345191035,0.5094735923592331,0.5519104084321474,0.6087591538035522,0.3152832674571805,0.4357105887960282,0.30447957839262185,0.4327983484487461,jitter_sigma0.0010,0.001,jitter,original,up60k,original__to__up60k
