F1,F2,wbse,within_mean,between_mean,n_subjects
1,3,2.043238282198719,0.05508871456964607,0.12095629939721048,99
1,5,2.041920160499178,0.05449112791441209,0.1198302087033167,99
1,10,2.071648227560129,0.05086409553699112,0.11822907863079644,99
1,15,2.086680251393843,0.050388121406511395,0.1181060383051508,99
3,5,2.4943063806849626,0.03174504205832233,0.1112877037510143,99
3,10,2.5265592187956445,0.02711457664989854,0.10944933431119755,99
3,15,2.5773156320930877,0.025438638911929025,0.10929249202355802,99
5,10,2.5689202032841063,0.024198150963653815,0.10800945188268908,99
5,15,2.654469602203004,0.021425666970567886,0.1078478784595732,99
10,15,2.8735352382121375,0.011416797684076217,0.10591606335273737,99
