scenario,sigma,jitter_sigma,rotation_sigma,translation_sigma,rotation_angle_max_deg,translation_axis_std,latent_spearman,chamfer_spearman,delta_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,clean_latent_spearman,clean_chamfer_spearman,latent_drop_vs_clean,chamfer_drop_vs_clean,n_subjects,n_samples,n_pairs,n_mesh_pairs,n_subject_pairs,output_dir,output_json,output_csv,output_md
translation,0.150000,0.000000,0.000000,0.150000,0.000000,0.009500,0.108252,0.599712,-0.491459,0.111292,0.593733,-0.482442,0,0.114807,0.598032,0.006555,-0.001679,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p15,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p15/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p15/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p15/ranking_summary.md
translation,0.200000,0.000000,0.000000,0.200000,0.000000,0.012000,0.104315,0.599966,-0.495650,0.106588,0.592898,-0.486309,0,0.114807,0.598032,0.010492,-0.001933,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p20,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p20/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p20/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p20/ranking_summary.md
rotation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.114807,0.598032,-0.483225,0.124456,0.591699,-0.467243,0,0.114807,0.598032,0.000000,0.000000,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p00,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p00/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p00/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p00/ranking_summary.md
rotation,0.020000,0.000000,0.020000,0.000000,1.400000,0.000000,0.118565,0.600166,-0.481601,0.129084,0.599787,-0.470703,0,0.114807,0.598032,-0.003758,-0.002133,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p02,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p02/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p02/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p02/ranking_summary.md
rotation,0.050000,0.000000,0.050000,0.000000,2.000000,0.000000,0.120113,0.598910,-0.478797,0.130958,0.598361,-0.467402,0,0.114807,0.598032,-0.005305,-0.000878,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p05,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p05/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p05/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p05/ranking_summary.md
rotation,0.100000,0.000000,0.100000,0.000000,3.000000,0.000000,0.122408,0.599011,-0.476603,0.133701,0.598939,-0.465238,0,0.114807,0.598032,-0.007600,-0.000979,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p10,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p10/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p10/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p10/ranking_summary.md
rotation,0.150000,0.000000,0.150000,0.000000,4.000000,0.000000,0.125858,0.598584,-0.472726,0.137578,0.598812,-0.461234,0,0.114807,0.598032,-0.011051,-0.000552,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p15,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p15/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p15/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p15/ranking_summary.md
rotation,0.200000,0.000000,0.200000,0.000000,5.000000,0.000000,0.128483,0.597731,-0.469248,0.140482,0.599090,-0.458608,0,0.114807,0.598032,-0.013676,0.000301,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p20,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p20/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p20/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/rotation_sigma0p20/ranking_summary.md
mixed,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.114807,0.598032,-0.483225,0.124456,0.591699,-0.467243,0,0.114807,0.598032,0.000000,0.000000,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p00,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p00/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p00/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p00/ranking_summary.md
mixed,0.020000,0.020000,0.020000,0.020000,1.400000,0.003000,0.127789,0.625891,-0.498102,0.138107,0.630013,-0.491906,0,0.114807,0.598032,-0.012982,-0.027859,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p02,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p02/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p02/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p02/ranking_summary.md
mixed,0.050000,0.050000,0.050000,0.050000,2.000000,0.004500,0.132258,0.598688,-0.466430,0.144418,0.636562,-0.492144,0,0.114807,0.598032,-0.017451,-0.000656,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p05,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p05/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p05/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p05/ranking_summary.md
mixed,0.100000,0.100000,0.100000,0.100000,3.000000,0.007000,0.111027,0.500287,-0.389259,0.121947,0.558799,-0.436852,0,0.114807,0.598032,0.003780,0.097746,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p10,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p10/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p10/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p10/ranking_summary.md
mixed,0.150000,0.150000,0.150000,0.150000,4.000000,0.009500,0.088543,0.393866,-0.305323,0.094315,0.442556,-0.348242,0,0.114807,0.598032,0.026264,0.204166,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p15,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p15/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p15/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p15/ranking_summary.md
mixed,0.200000,0.200000,0.200000,0.200000,5.000000,0.012000,0.079921,0.314631,-0.234710,0.081493,0.343771,-0.262277,0,0.114807,0.598032,0.034887,0.283401,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p20,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p20/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p20/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/mixed_sigma0p20/ranking_summary.md
