scenario,reference_metric,jitter_sigma,rotation_sigma,translation_sigma,rotation_angle_max_deg,translation_axis_std,latent_spearman,chamfer_spearman,delta_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,n_subjects,n_samples,n_pairs,n_mesh_pairs,n_subject_pairs
clean,gt_vertex_mean_l2,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000,0.121101,0.598907,-0.477807,0.121568,0.590748,-0.469180,0,100,200,4950,9900,4950
rotation,gt_vertex_mean_l2,0.000000e+00,1.000000e-01,0.000000e+00,1.700000,0.000000,0.122895,0.601115,-0.478220,0.123407,0.597810,-0.474402,0,100,200,4950,9900,4950
