file,centroid_shift,scale_ratio,orientation_diff_deg
id0000_GTready.obj,0.0,1.0,8.537736462515939e-07
id0001_GTready.obj,7.147685774381884e-06,1.0174342989852712,1.304198529376224
id0002_GTready.obj,1.038377235688265e-05,1.033385547041443,0.5842157566187484
id0003_GTready.obj,9.086224968081265e-06,1.019630063489933,0.7345742113681607
id0004_GTready.obj,2.7096790558352457e-06,1.000779486829079,0.7184428691624761
id0005_GTready.obj,7.99460071233783e-06,1.0151500040966763,1.4760984141570896
id0006_GTready.obj,1.6192793221647563e-05,1.0662858473854104,2.631676941245348
id0007_GTready.obj,1.6038978099483427e-05,1.0146663996210643,1.5191497473796245
id0008_GTready.obj,6.494913075492981e-06,1.0154885801442717,1.3897578091437353
id0009_GTready.obj,1.1542872974913412e-05,1.0148131863971492,1.5912526572714367
id0010_GTready.obj,8.27900327415188e-06,1.023269467147318,0.616819783299578
id0011_GTready.obj,1.3293402743221427e-05,1.0494926804347136,1.9550653600069687
id0012_GTready.obj,6.13926258552622e-06,1.052968912682407,1.1992335829465677
id0013_GTready.obj,3.9607064956282075e-06,1.0333251013343767,2.0079448546793937
id0014_GTready.obj,4.117063994707846e-06,1.0444096424501554,1.6877585843150824
id0015_GTready.obj,8.69075054526767e-06,1.054412214602643,3.5633726678336104
id0016_GTready.obj,2.7518892085959407e-06,1.0138882425023004,0.9841772571376854
id0017_GTready.obj,1.0776589631922433e-05,1.0153558919261256,1.8420894724368937
id0018_GTready.obj,7.646080147941594e-06,0.9992845595964492,1.9313376113871183
id0019_GTready.obj,9.875708931757456e-06,1.0336766767645138,0.6002999516181907
id0020_GTready.obj,1.0200189702907594e-05,1.0245846696486969,2.158135833679234
id0021_GTready.obj,1.2865501710528424e-05,1.0194925900569431,1.4672084082041559
id0022_GTready.obj,4.165320567117111e-06,1.03575786320017,1.3942891819701282
id0023_GTready.obj,1.6722416979678423e-05,1.057063761321693,1.9354642258191481
id0024_GTready.obj,9.058064806719155e-06,1.00328634055024,1.3053336104490407
id0025_GTready.obj,8.686211905638434e-06,1.0520179326554369,0.67291189926478
id0026_GTready.obj,8.571575009006914e-06,1.0335101434698024,4.500377956436096
id0027_GTready.obj,1.0882039628100155e-05,1.012886372764018,2.8602161607782297
id0028_GTready.obj,1.1141524781171555e-05,1.001545400248895,1.832822967370157
id0029_GTready.obj,1.6079130353972367e-05,1.0555976659221702,2.4497551442965646
id0030_GTready.obj,7.012003656269196e-06,1.0224863252293055,1.1080603363436194
id0031_GTready.obj,7.473878459317142e-06,1.0334464397923941,2.677854604999782
id0032_GTready.obj,7.17024965240682e-06,1.0298652319001844,1.0207388443333936
id0033_GTready.obj,1.3416454796781596e-05,1.0378756886004779,1.1544102302611443
id0034_GTready.obj,1.0010373160262482e-05,1.0104414683098362,1.8640421504273046
id0035_GTready.obj,7.10467123118719e-06,1.0050141568083577,0.44169899008163016
