scenario,metric,same_mean,same_median,different_mean,different_median,gap_diff_minus_same,same_vs_diff_auc,different_only_spearman_vs_gt,different_only_pearson_vs_gt
clean,latent_distance,0.16599190295156505,0.14908016473054886,0.5127561740080515,0.4958103150129318,0.34676427105648644,0.9977407407407407,0.8482717699995701,0.8539384256851981
clean,raw_chamfer,0.0032151349531583644,0.0010625279392115772,0.006793070090158532,0.004838539287447929,0.0035779351370001673,0.7720370370370371,0.24315470392130578,0.23796358915654006
clean,rigid_registered_chamfer,0.002916970837921124,0.0007639605610165745,0.00956245523741624,0.004308034898713231,0.006645484399495116,0.7820555555555555,0.23596074620496268,-0.04629823247960764
clean,nicp_correspondence,0.09253676745172197,0.08770158619395149,0.10400076666193546,0.09839787760162656,0.011463999210213488,0.6970185185185185,0.16118901773393607,0.01303013561455451
clean,cpd_registered_chamfer,nan,nan,nan,nan,nan,nan,nan,nan
