scenario,reference_metric,jitter_sigma,rotation_sigma,translation_sigma,rotation_angle_max_deg,translation_axis_std,latent_spearman,chamfer_spearman,delta_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,n_subjects,n_samples,n_pairs,n_mesh_pairs,n_subject_pairs
clean,gt_vertex_mean_l2,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000,0.527009,0.570883,-0.043874,0.532420,0.543788,-0.011368,0,10,20,45,90,45
mixed,gt_vertex_mean_l2,2.000000e-01,2.000000e-01,2.000000e-01,2.900000,0.007000,0.336100,0.289723,0.046377,0.333274,0.347600,-0.014326,1,10,20,45,90,45
