n_pairs,spearman_latent_distance,pearson_latent_distance,spearman_raw_chamfer,pearson_raw_chamfer,spearman_rigid_p2p,pearson_rigid_p2p,spearman_nicp_p2p,pearson_nicp_p2p,spearman_nicp_p2tri,pearson_nicp_p2tri,topology_a,topology_b,pair_label
148500,0.836515735676632,0.8603167533012277,0.2988391342108089,0.25418112582701985,0.3414753723118568,0.31865435244506307,0.3035305191228732,0.30608350791987904,0.3172896214906245,0.32001967704402706,all,all,overall
4950,0.7794308631507272,0.8081222732338376,0.059870877168543446,0.09065995929683178,0.10623219576222803,0.1697402709570545,0.27420799809522495,0.30117372896538214,0.28484589004994315,0.3127752892805182,crop,down8k,crop__to__down8k
4950,0.8181154377080062,0.844902137783416,0.11724117812795666,0.18089287501687465,0.14974016294863537,0.22277510346987636,0.2739251634193015,0.30971272750294876,0.29304825316193983,0.3293861394716795,crop,noisy,crop__to__noisy
4950,0.8298591830168742,0.8535520216660543,0.13884772552897054,0.20569704876024175,0.1650917744257787,0.2335493818163904,0.31157279903332713,0.3473475675954489,0.3265511007587331,0.3622262136755122,crop,original,crop__to__original
4950,0.7428731560222815,0.778002904008045,0.09966224504344401,0.14980439595744496,0.24202508216107654,0.29871304321344316,0.32755072990359807,0.36505175946576335,0.33997622139090855,0.3769098053431962,crop,remesh,crop__to__remesh
4950,0.7817436508512675,0.811770348977704,0.07095305335483872,0.11532921194158549,0.1468293069059005,0.21933484696226896,0.31328387343394043,0.3467553889657775,0.3265315995691274,0.3602649410229391,crop,up60k,crop__to__up60k
4950,0.7766581812942023,0.8010143959163291,-0.04225205744127281,-0.017420176126047068,0.08400949782573058,0.12017571571847105,0.10588385533746102,0.16420454359746067,0.10849637362262994,0.16759206171087485,down8k,crop,down8k__to__crop
4950,0.8692253186426344,0.8873089400421316,0.41078864681397,0.46827836259325895,0.5265831220911983,0.5570107611765795,0.3978598105515369,0.4407706316011681,0.4139218395599429,0.45661461250755137,down8k,noisy,down8k__to__noisy
4950,0.8616966485800238,0.880368800770774,0.32454681421255926,0.39569011654297914,0.507011963122718,0.5340884586969913,0.3863480045201794,0.43087177967352625,0.40015070949591336,0.4448315379304344,down8k,original,down8k__to__original
4950,0.8709824876431049,0.8947762897216487,0.4627483646124,0.5165431884008078,0.376214098907797,0.39827120555319806,0.34975168767045506,0.39888550764745667,0.36068507072195444,0.4106101019298429,down8k,remesh,down8k__to__remesh
4950,0.8818692804687193,0.9023702162219587,0.6487978557986118,0.683643165575274,0.5419581193338913,0.5681609113998471,0.40956783478757114,0.44832312390934287,0.42504998918929304,0.46410909084099217,down8k,up60k,down8k__to__up60k
4950,0.8231515331050655,0.8483154847275441,0.02512261503316136,0.07839859947384319,0.15710202344306343,0.19300112802030253,0.15248696141478352,0.21180760186690759,0.15770774768272125,0.21801366102572298,noisy,crop,noisy__to__crop
4950,0.8754515932046879,0.8958557786660801,0.48219675980098614,0.5431344885655612,0.4828482763766307,0.5181624666328163,0.44310682543865276,0.4835332815369506,0.4607334993060508,0.5010953571959766,noisy,down8k,noisy__to__down8k
4950,0.8989464973842399,0.9147110000633737,0.7118056947782818,0.7470373077073604,0.5830251832350465,0.6103652855950763,0.4438397425920856,0.47881636952746387,0.46460968421985877,0.49906084527099775,noisy,original,noisy__to__original
4950,0.8509336567076926,0.8775331964005656,0.6484721819548664,0.6920189848295588,0.5268786249122009,0.5546213266345746,0.4281650023177247,0.46950833308985745,0.44639884379023503,0.48752167693613635,noisy,remesh,noisy__to__remesh
4950,0.8776104393506523,0.8995817203722919,0.622237564575945,0.6559661999054243,0.5789717872069057,0.6019480496381765,0.44177798208141345,0.47810124335643195,0.46229234161528215,0.49795231858063316,noisy,up60k,noisy__to__up60k
4950,0.8356139771539828,0.85752434405241,0.04192567499942714,0.09979322671113257,0.16396867641523905,0.198349359885358,0.15802256103868856,0.21800829487515208,0.1645284141024803,0.22542844965490122,original,crop,original__to__crop
4950,0.871311388940681,0.8925740749568921,0.41795146539668665,0.49171694805280847,0.4753619193909808,0.5127656679027083,0.4486039067898118,0.48926871523389104,0.4642491160750953,0.5049205443542628,original,down8k,original__to__down8k
4950,0.8988420417925703,0.9154026985385205,0.730220665580186,0.7604314167044796,0.5842929585849795,0.6080766914103891,0.45952222604695786,0.492771417907134,0.482386008425898,0.5154582750567053,original,noisy,original__to__noisy
4950,0.8447759736964356,0.8727174546510361,0.6267717040481795,0.6667130503924271,0.5370677476506334,0.5650215847270968,0.43850491007188774,0.47915427692671403,0.45546847215797803,0.4962791751854165,original,remesh,original__to__remesh
4950,0.8736099969533677,0.8964910327067341,0.5641700411772183,0.6060139368823884,0.5807155988496453,0.6021946368842839,0.4541922686262842,0.48943273028637796,0.47256009831202817,0.5075791252624134,original,up60k,original__to__up60k
4950,0.7514147856548622,0.7787581252035048,0.01354389139944306,0.05341112219359029,0.2616295259472466,0.29356653974917485,0.17389872952433919,0.2317592341212627,0.18415177910030794,0.24187244784906753,remesh,crop,remesh__to__crop
4950,0.8736185878396211,0.894870294346646,0.5129105422224253,0.5775922200528649,0.36747795286377277,0.43231217979560427,0.3988679215028721,0.4473756096584104,0.4151160901892331,0.46315157463732815,remesh,down8k,remesh__to__down8k
4950,0.850521400597017,0.8712730088732187,0.6362860317443061,0.6761702764405703,0.5091208189409885,0.5455810289052414,0.4101602998725501,0.4479697524233863,0.43198902468569056,0.4691506179006139,remesh,noisy,remesh__to__noisy
4950,0.8408150184271171,0.8625679323628112,0.5931979867969706,0.6309884799373654,0.5272136543879432,0.559461529770685,0.4187821658724529,0.45880132482893654,0.43774933276844097,0.4764657097515691,remesh,original,remesh__to__original
4950,0.8756016618061743,0.8967226705528981,0.656279628613628,0.6987142113983156,0.5048810115990249,0.5407823495554053,0.4167622728538219,0.45785946300395997,0.4366104645420964,0.47697922219700495,remesh,up60k,remesh__to__up60k
4950,0.785974821943744,0.8100087507324789,-0.0333627210857325,0.005341365715838413,0.16090015467332164,0.19522642941318522,0.14492468856092197,0.2059387723505045,0.14887900373673962,0.21093101617381213,up60k,crop,up60k__to__crop
4950,0.8836964790791361,0.9024071850897564,0.6844225914032548,0.7188975404756618,0.5164844888241428,0.5470837217017905,0.45946611139959154,0.49802033084092273,0.4749174664691272,0.5129507763661088,up60k,down8k,up60k__to__down8k
4950,0.8746782845032763,0.8922538936737934,0.5815330773221692,0.6169517724433659,0.5929352578253683,0.61930617505141,0.44798944023840614,0.483605871167731,0.4669405469296153,0.5024575446801696,up60k,noisy,up60k__to__noisy
4950,0.868373414745465,0.8862392910155074,0.49994853106306336,0.542962769729419,0.592993480260214,0.6200976881588995,0.44119083598389175,0.47721393974422754,0.45834090203978356,0.4941063135346895,up60k,original,up60k__to__original
4950,0.875224128740611,0.897091606941524,0.6288264241390643,0.6718582674880712,0.5278225296729231,0.5530225620599459,0.42761840871959533,0.4704756305734426,0.4421539262706844,0.48480442592455525,up60k,remesh,up60k__to__remesh
