scenario,sigma,jitter_sigma,rotation_sigma,translation_sigma,rotation_angle_max_deg,translation_axis_std,latent_spearman,chamfer_spearman,delta_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,clean_latent_spearman,clean_chamfer_spearman,latent_drop_vs_clean,chamfer_drop_vs_clean,n_subjects,n_samples,n_pairs,n_mesh_pairs,n_subject_pairs,output_dir,output_json,output_csv,output_md
translation,0.150000,0.000000,0.000000,0.150000,0.000000,0.005500,0.554897,0.531604,0.023293,0.579913,0.565907,0.014006,1,0.575031,0.514582,0.020134,-0.017021,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/translation_sigma0p15,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/translation_sigma0p15/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/translation_sigma0p15/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/translation_sigma0p15/ranking_summary.md
translation,0.200000,0.000000,0.000000,0.200000,0.000000,0.007000,0.541251,0.535723,0.005528,0.568429,0.570346,-0.001917,1,0.575031,0.514582,0.033780,-0.021141,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/translation_sigma0p20,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/translation_sigma0p20/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/translation_sigma0p20/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/translation_sigma0p20/ranking_summary.md
rotation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.575031,0.514582,0.060448,0.597241,0.549931,0.047310,1,0.575031,0.514582,0.000000,0.000000,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p00,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p00/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p00/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p00/ranking_summary.md
rotation,0.020000,0.000000,0.020000,0.000000,0.740000,0.000000,0.570207,0.527269,0.042938,0.595425,0.567813,0.027612,1,0.575031,0.514582,0.004824,-0.012686,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p02,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p02/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p02/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p02/ranking_summary.md
rotation,0.050000,0.000000,0.050000,0.000000,1.100000,0.000000,0.566975,0.531130,0.035846,0.594047,0.570598,0.023449,1,0.575031,0.514582,0.008056,-0.016547,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p05,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p05/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p05/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p05/ranking_summary.md
rotation,0.100000,0.000000,0.100000,0.000000,1.700000,0.000000,0.562096,0.524618,0.037478,0.591050,0.564308,0.026743,1,0.575031,0.514582,0.012935,-0.010036,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p10,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p10/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p10/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p10/ranking_summary.md
rotation,0.150000,0.000000,0.150000,0.000000,2.300000,0.000000,0.555500,0.524401,0.031099,0.586849,0.566426,0.020423,1,0.575031,0.514582,0.019531,-0.009819,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p15,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p15/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p15/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p15/ranking_summary.md
rotation,0.200000,0.000000,0.200000,0.000000,2.900000,0.000000,0.549539,0.523984,0.025555,0.581438,0.567634,0.013805,1,0.575031,0.514582,0.025492,-0.009401,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p20,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p20/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p20/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/rotation_sigma0p20/ranking_summary.md
mixed,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.575031,0.514582,0.060448,0.597241,0.549931,0.047310,1,0.575031,0.514582,0.000000,0.000000,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p00,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p00/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p00/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p00/ranking_summary.md
mixed,0.020000,0.020000,0.020000,0.020000,0.740000,0.001600,0.586028,0.576094,0.009934,0.605407,0.605562,-0.000156,1,0.575031,0.514582,-0.010998,-0.061512,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p02,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p02/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p02/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p02/ranking_summary.md
mixed,0.050000,0.050000,0.050000,0.050000,1.100000,0.002500,0.599385,0.608408,-0.009023,0.615568,0.632144,-0.016576,0,0.575031,0.514582,-0.024354,-0.093826,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p05,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p05/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p05/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p05/ranking_summary.md
mixed,0.100000,0.100000,0.100000,0.100000,1.700000,0.004000,0.543548,0.592841,-0.049294,0.574743,0.624116,-0.049373,0,0.575031,0.514582,0.031483,-0.078259,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p10,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p10/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p10/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p10/ranking_summary.md
mixed,0.150000,0.150000,0.150000,0.150000,2.300000,0.005500,0.448787,0.532973,-0.084187,0.486443,0.571631,-0.085188,0,0.575031,0.514582,0.126244,-0.018391,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p15,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p15/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p15/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p15/ranking_summary.md
mixed,0.200000,0.200000,0.200000,0.200000,2.900000,0.007000,0.363560,0.491948,-0.128388,0.398820,0.530674,-0.131855,0,0.575031,0.514582,0.211471,0.022634,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p20,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p20/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p20/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_cleanbias/shot75_heldout_xtopo10k_pnoise0.3_id0.5_best_by_clean_postperturb_icp/mixed_sigma0p20/ranking_summary.md
