scenario,pair_index,pair_type,subject_a,subject_b,topology_a,topology_b,sample_name_a,sample_name_b,gt_distance,raw_chamfer,rigid_chamfer,mean_icp_chamfer,rotation_angle_deg,translation_x,translation_y,translation_z,translation_norm
clean,0,same_subject,id0478,id0478,crop,down8k,id0478_GTready_crop,id0478_GTready_down8k,0.0,0.012639177031815052,0.00794912502169609,0.012639177963137627,5.198178448262069,-0.021323928609490395,0.001257115975022316,0.04298553615808487,0.04800048531749779
clean,1,same_subject,id0478,id0478,crop,noisy,id0478_GTready_crop,id0478_GTready_noisy,0.0,0.004730615299195051,0.00653022900223732,0.0047306157648563385,4.176193536474553,0.023699326440691948,0.00866516213864088,0.005387068726122379,0.025802395588227493
clean,2,same_subject,id0478,id0478,crop,original,id0478_GTready_crop,id0478_GTready_original,0.0,0.005423284135758877,0.0037259752862155437,0.005423282273113728,1.8166616537689255,-0.005722512025386095,0.005776713136583567,0.03665337339043617,0.03754447148971204
clean,3,same_subject,id0478,id0478,crop,remesh,id0478_GTready_crop,id0478_GTready_remesh,0.0,0.006503614131361246,0.006442626006901264,0.006503614131361246,6.970997816060927,-0.025304511189460754,0.04401751607656479,0.03320508077740669,0.0606666085876101
clean,4,same_subject,id0478,id0478,crop,up60k,id0478_GTready_crop,id0478_GTready_up60k,0.0,0.009309071116149426,0.005026431754231453,0.009309072978794575,1.583688276330431,0.014178250916302204,-0.01568376086652279,0.043746545910835266,0.048587688081372156
clean,5,same_subject,id0478,id0478,down8k,noisy,id0478_GTready_down8k,id0478_GTready_noisy,0.0,0.0017052999464794993,0.0009472091915085912,0.0017053018091246486,2.454473899701492,0.001751828589476645,0.017488881945610046,-0.01586594432592392,0.023678219622000937
clean,6,same_subject,id0478,id0478,down8k,original,id0478_GTready_down8k,id0478_GTready_original,0.0,0.0020421536173671484,0.0006261251983232796,0.002042153850197792,2.686349964441699,-0.0025273296050727367,0.031286586076021194,-0.028475778177380562,0.04238051210205397
clean,7,same_subject,id0478,id0478,down8k,remesh,id0478_GTready_down8k,id0478_GTready_remesh,0.0,0.0021515381522476673,0.003122373018413782,0.0021515395492315292,3.307158882115313,-0.005216214340180159,-0.0032457816414535046,0.010753520764410496,0.012384756733069303
clean,8,same_subject,id0478,id0478,down8k,up60k,id0478_GTready_down8k,id0478_GTready_up60k,0.0,0.0005161893786862493,0.00048546920879743993,0.0005161896115168929,2.1342336692632182,0.0011528998147696257,0.0013744396856054664,-0.004615028388798237,0.004951439130361671
clean,9,same_subject,id0478,id0478,noisy,original,id0478_GTready_noisy,id0478_GTready_original,0.0,0.00015083368634805083,0.00035594229120761156,0.0001508329005446285,1.408754859424502,-0.0073579829186201096,0.0056289127096533775,0.013378593139350414,0.0162730244672549
clean,10,same_subject,id0478,id0478,noisy,remesh,id0478_GTready_noisy,id0478_GTready_remesh,0.0,0.0006738602533005178,0.0003524168860167265,0.0006738598458468914,1.4879316283014896,-0.007876474410295486,0.012177465483546257,0.018775051459670067,0.023724082111901804
clean,11,same_subject,id0478,id0478,noisy,up60k,id0478_GTready_noisy,id0478_GTready_up60k,0.0,0.0007275327225215733,0.00026797575992532074,0.0007275326643139124,1.95469619368374,-0.004450793843716383,-0.007089003920555115,0.02484632469713688,0.026218378923580754
clean,12,same_subject,id0478,id0478,original,remesh,id0478_GTready_original,id0478_GTready_remesh,0.0,0.0007634804933331907,0.0004444329533725977,0.0007634795038029552,2.246637569987734,0.0011871516471728683,0.010745958425104618,0.018816865980625153,0.02170159894662765
clean,13,same_subject,id0478,id0478,original,up60k,id0478_GTready_original,id0478_GTready_up60k,0.0,0.0008619797881692648,0.0002277531602885574,0.0008619780419394374,2.082435058902398,-0.011264658533036709,-0.0046071805991232395,0.025144090875983238,0.027934637118075437
clean,14,same_subject,id0478,id0478,remesh,up60k,id0478_GTready_remesh,id0478_GTready_up60k,0.0,0.0007045179372653365,0.0005749498377554119,0.0007045168313197792,1.0334401665362474,-0.0022612984757870436,-0.007931957021355629,-0.0007782390457578003,0.008284628476737606
clean,15,same_subject,id0485,id0485,crop,down8k,id0485_GTready_crop,id0485_GTready_down8k,0.0,0.011868814006447792,0.011081782169640064,0.011868814006447792,2.679930135642426,0.028517000377178192,0.00318108219653368,0.024824773892760277,0.037942166428391474
clean,16,same_subject,id0485,id0485,crop,noisy,id0485_GTready_crop,id0485_GTready_noisy,0.0,0.006189817562699318,0.0042653558775782585,0.006189819425344467,1.221412475906456,0.0012554442510008812,-0.008319586515426636,0.03567267581820488,0.036651486464886786
clean,17,same_subject,id0485,id0485,crop,original,id0485_GTready_crop,id0485_GTready_original,0.0,0.006491942331194878,0.005262957885861397,0.006491944193840027,1.3545080707143797,-0.004601562861353159,-0.0030687686521559954,0.012875501066446304,0.014013216958268359
clean,18,same_subject,id0485,id0485,crop,remesh,id0485_GTready_crop,id0485_GTready_remesh,0.0,0.006968933157622814,0.0033089322969317436,0.006968934088945389,4.270675871622104,-0.013208319433033466,-0.03363283723592758,0.05245184525847435,0.06369319833233675
