scenario,pair_index,pair_type,subject_a,subject_b,topology_a,topology_b,sample_name_a,sample_name_b,gt_distance,raw_chamfer,rigid_chamfer,mean_icp_chamfer,rotation_angle_deg,translation_x,translation_y,translation_z,translation_norm
translation,0,same_subject,id0478,id0478,crop,down8k,id0478_GTready_crop,id0478_GTready_down8k,0.0,0.011638574302196503,0.01091515738517046,0.011638574302196503,1.3415155092163704,-0.0021817651577293873,-0.0033934374805539846,0.00632184324786067,0.007499414589715124
translation,1,same_subject,id0478,id0478,crop,noisy,id0478_GTready_crop,id0478_GTready_noisy,0.0,0.004438714124262333,0.0044430457055568695,0.00443871458992362,2.4563471769471,0.021939128637313843,0.0023689267691224813,0.006192649248987436,0.022919120491917966
translation,2,same_subject,id0478,id0478,crop,original,id0478_GTready_crop,id0478_GTready_original,0.0,0.005373059306293726,0.0037259734235703945,0.005373059771955013,1.8166616537689255,0.0006604436784982681,0.00023003162641543895,0.0335671491920948,0.033574433804399006
translation,3,same_subject,id0478,id0478,crop,remesh,id0478_GTready_crop,id0478_GTready_remesh,0.0,0.0055320365354418755,0.002913914155215025,0.0055320365354418755,2.9671551141858847,-0.010154107585549355,0.0003459033614490181,0.041328199207782745,0.0425587311811871
translation,4,same_subject,id0478,id0478,crop,up60k,id0478_GTready_crop,id0478_GTready_up60k,0.0,0.008515385910868645,0.004519799258559942,0.00851538497954607,1.3673772076820372,0.005931416992098093,-0.014486848376691341,0.045424722135066986,0.04804639283516962
translation,5,same_subject,id0478,id0478,down8k,noisy,id0478_GTready_down8k,id0478_GTready_noisy,0.0,0.0015294598415493965,0.001128974137827754,0.0015294612385332584,1.978134503464429,0.003316003130748868,0.000996020738966763,-0.013682113960385323,0.014113404142890513
translation,6,same_subject,id0478,id0478,down8k,original,id0478_GTready_down8k,id0478_GTready_original,0.0,0.0015523249749094248,0.0006261242087930441,0.0015523252077400684,2.686349964441699,-0.001207431429065764,0.023104194551706314,-0.023178739473223686,0.032749284879315596
translation,7,same_subject,id0478,id0478,down8k,remesh,id0478_GTready_down8k,id0478_GTready_remesh,0.0,0.002108948538079858,0.0022673667408525944,0.002108949236571789,1.179436624217651,0.007709322031587362,-0.005261531099677086,0.0018219337798655033,0.00950982641260094
translation,8,same_subject,id0478,id0478,down8k,up60k,id0478_GTready_down8k,id0478_GTready_up60k,0.0,0.0004480959032662213,0.00048546912148594856,0.0004480958159547299,2.1342336692632182,0.004740518983453512,-0.0010384658817201853,-0.004402755293995142,0.006552494624094113
translation,9,same_subject,id0478,id0478,noisy,original,id0478_GTready_noisy,id0478_GTready_original,0.0,0.0001804424391593784,0.00026554320356808603,0.00018044211901724339,1.0860649750169258,-0.006113351322710514,0.00583881139755249,0.015577232465147972,0.017723288470380863
translation,10,same_subject,id0478,id0478,noisy,remesh,id0478_GTready_noisy,id0478_GTready_remesh,0.0,0.0006239111535251141,0.0003524164203554392,0.000623912550508976,1.4879316283014896,0.0019403442274779081,0.017223622649908066,0.014545640908181667,0.022627279605319347
translation,11,same_subject,id0478,id0478,noisy,up60k,id0478_GTready_noisy,id0478_GTready_up60k,0.0,0.0006992608541622758,0.0002679753233678639,0.0006992617854848504,1.95469619368374,-0.006709374953061342,-0.004417372401803732,0.025086572393774986,0.026341317462592818
translation,12,same_subject,id0478,id0478,original,remesh,id0478_GTready_original,id0478_GTready_remesh,0.0,0.0006525532808154821,0.0004444330697879195,0.0006525549106299877,2.246637569987734,0.01577167771756649,0.019090116024017334,0.009463204070925713,0.026509065979872088
translation,13,same_subject,id0478,id0478,original,up60k,id0478_GTready_original,id0478_GTready_up60k,0.0,0.0005993738886900246,0.00022775375691708177,0.0005993738304823637,2.082435058902398,-0.0090074697509408,0.0011880367528647184,0.020070280879735947,0.02203093545975216
translation,14,same_subject,id0478,id0478,remesh,up60k,id0478_GTready_remesh,id0478_GTready_up60k,0.0,0.0008007668657228351,0.0004739547148346901,0.0008007677388377488,0.9263011708189243,-0.006196634843945503,-0.015905173495411873,0.004045001231133938,0.01754237333624578
translation,15,same_subject,id0485,id0485,crop,down8k,id0485_GTready_crop,id0485_GTready_down8k,0.0,0.012703013606369495,0.014778181910514832,0.01270301453769207,2.5377505415161448,-0.011952653527259827,-0.009778784587979317,-0.006316200364381075,0.016684871632824335
translation,16,same_subject,id0485,id0485,crop,noisy,id0485_GTready_crop,id0485_GTready_noisy,0.0,0.006622929126024246,0.005404831375926733,0.006622930057346821,1.5986314778668524,-0.01800154335796833,-0.0014697695150971413,0.02733810804784298,0.0327656517916531
translation,17,same_subject,id0485,id0485,crop,original,id0485_GTready_crop,id0485_GTready_original,0.0,0.006948623340576887,0.005457712337374687,0.006948624271899462,2.1474894663520585,0.0005231116665527225,-0.00415361812338233,0.014329894445836544,0.014928900299733759
translation,18,same_subject,id0485,id0485,crop,remesh,id0485_GTready_crop,id0485_GTready_remesh,0.0,0.008486337959766388,0.004447299055755138,0.008486337959766388,5.213741608548179,0.008219156414270401,-0.05789768323302269,0.04418569430708885,0.07329441886878689
translation,19,same_subject,id0485,id0485,crop,up60k,id0485_GTready_crop,id0485_GTready_up60k,0.0,0.01048099435865879,0.00645464938133955,0.01048099435865879,2.2623941074363696,0.03547174856066704,0.010775209404528141,0.05195268988609314,0.06382344451738076
translation,20,same_subject,id0485,id0485,down8k,noisy,id0485_GTready_down8k,id0485_GTready_noisy,0.0,0.001014087931253016,0.000572020304389298,0.0010140889789909124,2.236552917126173,0.017669951543211937,0.006649205926805735,-0.03382183983922005,0.03873442883413125
translation,21,same_subject,id0485,id0485,down8k,original,id0485_GTready_down8k,id0485_GTready_original,0.0,0.0015271931188181043,0.00040433736285194755,0.001527193235233426,1.0131703829199157,0.00384505745023489,0.022159188985824585,-0.030890299007296562,0.03821026951050311
translation,22,same_subject,id0485,id0485,down8k,remesh,id0485_GTready_down8k,id0485_GTready_remesh,0.0,0.0017852126620709896,0.001959498506039381,0.0017852128949016333,4.454367854274942,-0.006626172922551632,0.01753288321197033,0.007816840894520283,0.020307908875469974
translation,23,same_subject,id0485,id0485,down8k,up60k,id0485_GTready_down8k,id0485_GTready_up60k,0.0,0.000522050482686609,0.0005438275402411819,0.0005220490274950862,1.632068329797753,0.007329093758016825,-0.002043055836111307,-0.006010809447616339,0.009696366467848844
translation,24,same_subject,id0485,id0485,noisy,original,id0485_GTready_noisy,id0485_GTready_original,0.0,0.0001603925775270909,0.00023181637516245246,0.00016039283946156502,1.4959982362644066,-0.006300702691078186,0.005634537898004055,0.004626733250916004,0.009636053772189922
translation,25,same_subject,id0485,id0485,noisy,remesh,id0485_GTready_noisy,id0485_GTready_remesh,0.0,0.0009536684374324977,0.0006127237575128675,0.000953668961301446,2.762260627250831,0.0010827998630702496,0.007586771622300148,0.013754083774983883,0.015745043019365766
translation,26,same_subject,id0485,id0485,noisy,up60k,id0485_GTready_noisy,id0485_GTready_up60k,0.0,0.0007119975634850562,0.0004176209622528404,0.0007119973888620734,3.507047601301103,0.0014973299112170935,-0.00977253820747137,0.032553836703300476,0.034022004408686246
translation,27,same_subject,id0485,id0485,original,remesh,id0485_GTready_original,id0485_GTready_remesh,0.0,0.0011042591650038958,0.0011463124537840486,0.0011042586993426085,4.277640873232582,0.008618641644716263,-0.015580839477479458,0.014664798974990845,0.023067290079242346
translation,28,same_subject,id0485,id0485,original,up60k,id0485_GTready_original,id0485_GTready_up60k,0.0,0.0010378442239016294,0.00014914339408278465,0.0010378434089943767,1.5550076743420762,-0.006501477677375078,-0.0022371846716850996,0.030746344476938248,0.03150574401500749
translation,29,same_subject,id0485,id0485,remesh,up60k,id0485_GTready_remesh,id0485_GTready_up60k,0.0,0.0006858463166281581,0.0005181908491067588,0.0006858462002128363,0.36126535972037926,-0.0032162857241928577,-0.007044890895485878,-0.00021307510905899107,0.007747282271290177
translation,30,same_subject,id0489,id0489,crop,down8k,id0489_GTready_crop,id0489_GTready_down8k,0.0,0.014856848865747452,0.010956106707453728,0.014856848865747452,2.321277386655362,-0.03323131427168846,0.0005125803290866315,0.0416070930659771,0.05325160260704246
translation,31,same_subject,id0489,id0489,crop,noisy,id0489_GTready_crop,id0489_GTready_noisy,0.0,0.008248033933341503,0.009921902790665627,0.008248033002018929,4.909536111776247,-0.03358667716383934,-0.005941657815128565,0.028196988627314568,0.04425424666796343
translation,32,same_subject,id0489,id0489,crop,original,id0489_GTready_crop,id0489_GTready_original,0.0,0.008360468782484531,0.0062346505001187325,0.008360467851161957,4.35329693141678,0.012494554743170738,-0.0005567723419517279,0.037073805928230286,0.039126601943881296
translation,33,same_subject,id0489,id0489,crop,remesh,id0489_GTready_crop,id0489_GTready_remesh,0.0,0.007337993010878563,0.003548779059201479,0.007337993010878563,2.4008994533147203,-0.015693165361881256,-0.012475035153329372,0.06922278553247452,0.07206730172572799
