F1,F2,wbse,within_mean,between_mean,n_subjects
1,3,1.631832938535274,0.06568410018378681,0.15812652567467383,99
1,5,1.6824287062851848,0.061957971849263126,0.15673864077864214,99
1,10,1.7521933956518465,0.058706149510173694,0.15478018468499768,99
1,15,1.7273504597782232,0.05897240374795404,0.15450267540030266,99
3,5,2.0073191845774057,0.03736178502413511,0.15055928037661723,99
3,10,2.1316987083866517,0.03148214617451656,0.1484889784941389,99
3,15,2.138173097993766,0.029760949933764165,0.148206219214791,99
5,10,2.2335764558706637,0.025475692611191657,0.14745099533673334,99
5,15,2.252743934558343,0.022906136953762802,0.14715180257461014,99
10,15,2.461999485644456,0.013354488626703494,0.14444131111452818,99
