dataset,setting,method,spearman,ci_low,ci_high,n_subjects,n_pairs,n_bootstrap
REMESH,Original-to-original,Latent distance,0.9020125270835493,0.8748234043247622,0.9241716049006413,100,4950,1000
REMESH,Original-to-original,Chamfer,0.7294732466529957,0.666824436180173,0.7875288555976286,100,4950,1000
REMESH,Original-to-original,ICP + Chamfer,0.5995448701016439,0.5277511781605705,0.662729047298414,100,4950,1000
REMESH,Original-to-original,ICP + NICP + P2P,0.4560884499344993,0.35667422976271934,0.5440202763323276,100,4950,1000
REMESH,Original-to-original,ICP + NICP + P2Tri,0.4675545999672314,0.3728255492856196,0.5516495978244011,100,4950,1000
REMESH,No-crop cross-topology,Latent distance,0.8684744817648062,0.8331718791938676,0.8943799768580699,100,99000,1000
REMESH,No-crop cross-topology,Chamfer,0.552454774661696,0.4877439360896879,0.605792949712974,100,99000,1000
REMESH,No-crop cross-topology,ICP + Chamfer,0.5143829980461031,0.44919634239141065,0.5726742277060463,100,99000,1000
REMESH,No-crop cross-topology,ICP + NICP + P2P,0.4140045117256586,0.3264465571933833,0.49943962116684837,100,99000,1000
REMESH,No-crop cross-topology,ICP + NICP + P2Tri,0.4327228430169905,0.34950703507208836,0.5143561311003965,100,99000,1000
REMESH,crop -> crop,Chamfer,0.5575545327552869,0.4797785132498842,0.6323946211507245,100,4950,1000
REMESH,crop -> crop,Latent distance,0.8306894836118693,0.7893162458172777,0.8661389180767924,100,4950,1000
REMESH,crop -> down8k,Chamfer,-0.09307793737483172,-0.21224488038978181,0.03364405706626065,100,4950,1000
REMESH,crop -> down8k,Latent distance,0.6676363951567919,0.6032136816430577,0.7299365036784918,100,4950,1000
REMESH,crop -> noisy,Chamfer,-0.04767495136607389,-0.16451926899209238,0.07154019488951902,100,4950,1000
REMESH,crop -> noisy,Latent distance,0.736931357285176,0.6718617027390725,0.7909926743339117,100,4950,1000
REMESH,crop -> original,Chamfer,-0.03467621384768993,-0.14596342137234702,0.09096013754859376,100,4950,1000
REMESH,crop -> original,Latent distance,0.7598139767753291,0.6964965680429196,0.8105808710459975,100,4950,1000
REMESH,crop -> remesh,Chamfer,-0.00846112268739136,-0.1316223463313689,0.1116921307179341,100,4950,1000
REMESH,crop -> remesh,Latent distance,0.6583477193137349,0.5905826971548825,0.720382097507273,100,4950,1000
REMESH,crop -> up60k,Chamfer,-0.07407727567890371,-0.19791920853731032,0.04862985045331671,100,4950,1000
REMESH,crop -> up60k,Latent distance,0.6866640032679926,0.615059176574111,0.7469720686776691,100,4950,1000
REMESH,down8k -> crop,Chamfer,0.03687378146363805,-0.09485173984449725,0.17426226487439345,100,4950,1000
REMESH,down8k -> crop,Latent distance,0.6922480912758984,0.6185688230393211,0.7511969948507565,100,4950,1000
REMESH,down8k -> down8k,Chamfer,0.7429225240790645,0.6869824036566303,0.792443632443356,100,4950,1000
REMESH,down8k -> down8k,Latent distance,0.8830534185859154,0.8472879040907796,0.9087622367429637,100,4950,1000
REMESH,down8k -> noisy,Chamfer,0.4718822193199559,0.3929358364970401,0.5505308879016982,100,4950,1000
REMESH,down8k -> noisy,Latent distance,0.7932173205593537,0.7406221622756765,0.8387232129250818,100,4950,1000
REMESH,down8k -> original,Chamfer,0.406847092994399,0.3103315701713448,0.4912859978230776,100,4950,1000
REMESH,down8k -> original,Latent distance,0.7808792257186575,0.72389888871882,0.8294001946451557,100,4950,1000
REMESH,down8k -> remesh,Chamfer,0.43644415129301917,0.3443516170258206,0.5191540112929474,100,4950,1000
REMESH,down8k -> remesh,Latent distance,0.7952546941540443,0.7457741477786579,0.8360519414807994,100,4950,1000
REMESH,down8k -> up60k,Chamfer,0.6112787837810836,0.5282239196943855,0.6816660976917579,100,4950,1000
REMESH,down8k -> up60k,Latent distance,0.8037065997550908,0.7464545248815535,0.8472405118626801,100,4950,1000
REMESH,noisy -> crop,Chamfer,0.0833861401621302,-0.030295844388338784,0.20389179295329096,100,4950,1000
REMESH,noisy -> crop,Latent distance,0.7474717457184904,0.683954986379624,0.8016173539345486,100,4950,1000
REMESH,noisy -> down8k,Chamfer,0.3131114033282533,0.21587748371508292,0.40114506512300524,100,4950,1000
REMESH,noisy -> down8k,Latent distance,0.779346649941803,0.7222119509220387,0.8254832304408749,100,4950,1000
REMESH,noisy -> noisy,Chamfer,0.7393124380343167,0.6736074668676223,0.7938987366501123,100,4950,1000
REMESH,noisy -> noisy,Latent distance,0.900260469058644,0.8736024600038987,0.9234869548748882,100,4950,1000
REMESH,noisy -> original,Chamfer,0.6589291702407882,0.5864551784086,0.7241309372736481,100,4950,1000
REMESH,noisy -> original,Latent distance,0.820523137889339,0.7708222250075524,0.8639048624287868,100,4950,1000
REMESH,noisy -> remesh,Chamfer,0.5788566081049925,0.4978252534780896,0.6486466268842557,100,4950,1000
REMESH,noisy -> remesh,Latent distance,0.7705757909812535,0.7196999916358439,0.8162141677155105,100,4950,1000
REMESH,noisy -> up60k,Chamfer,0.4893881005052769,0.4057202980044989,0.5674868117146412,100,4950,1000
REMESH,noisy -> up60k,Latent distance,0.7909809192863334,0.7370220962350935,0.8365589795525964,100,4950,1000
REMESH,original -> crop,Chamfer,0.09285974664126287,-0.013965090451470104,0.2110420311742279,100,4950,1000
REMESH,original -> crop,Latent distance,0.7708348834318747,0.7151445018899019,0.82071307649724,100,4950,1000
REMESH,original -> down8k,Chamfer,0.24026498930878148,0.15359583909590108,0.32755795368897045,100,4950,1000
REMESH,original -> down8k,Latent distance,0.7723408551399595,0.7170457325481684,0.8156113157563143,100,4950,1000
REMESH,original -> noisy,Chamfer,0.6273571884462772,0.5514147410175453,0.6981598637749478,100,4950,1000
REMESH,original -> noisy,Latent distance,0.8223880496206483,0.7744612481321563,0.8652279996550631,100,4950,1000
REMESH,original -> original,Chamfer,0.7294732466529957,0.6674371024562592,0.7901101950556624,100,4950,1000
REMESH,original -> original,Latent distance,0.9020125270835493,0.8730205477188608,0.9245825495502263,100,4950,1000
REMESH,original -> remesh,Chamfer,0.5531538139144857,0.47183425388674477,0.6243675659207126,100,4950,1000
REMESH,original -> remesh,Latent distance,0.7618428852146235,0.7118911059263281,0.8056278625780536,100,4950,1000
REMESH,original -> up60k,Chamfer,0.4139596214569888,0.3267205351748028,0.4961287160457061,100,4950,1000
REMESH,original -> up60k,Latent distance,0.7866722380269903,0.741461487173306,0.8286081117821652,100,4950,1000
REMESH,remesh -> crop,Chamfer,0.1018493116670051,-0.005328187745957509,0.21789887262960356,100,4950,1000
REMESH,remesh -> crop,Latent distance,0.6848971862090252,0.6145739163611519,0.7404736878621048,100,4950,1000
REMESH,remesh -> down8k,Chamfer,0.3383414387979571,0.2546664552197256,0.43069227167119845,100,4950,1000
REMESH,remesh -> down8k,Latent distance,0.7957335014694884,0.7417384928475205,0.8398599204949112,100,4950,1000
REMESH,remesh -> noisy,Chamfer,0.6210394565723586,0.5413571186832588,0.6908198684181189,100,4950,1000
REMESH,remesh -> noisy,Latent distance,0.784482969389075,0.7286355303546923,0.8325605804860016,100,4950,1000
REMESH,remesh -> original,Chamfer,0.6223303745952864,0.5442528133775908,0.6913980778281158,100,4950,1000
REMESH,remesh -> original,Latent distance,0.7706687999747625,0.7157859839898352,0.8178583921396496,100,4950,1000
REMESH,remesh -> remesh,Chamfer,0.7093871624950475,0.6472452435587713,0.7630144314776912,100,4950,1000
REMESH,remesh -> remesh,Latent distance,0.8728445655437562,0.8383880613920449,0.900188959288822,100,4950,1000
REMESH,remesh -> up60k,Chamfer,0.525402534881715,0.4436283340196982,0.604831471926294,100,4950,1000
REMESH,remesh -> up60k,Latent distance,0.8056209135603767,0.7510850195803486,0.8476391202165505,100,4950,1000
REMESH,up60k -> crop,Chamfer,0.06110332703820103,-0.06670138766264234,0.18403434203463448,100,4950,1000
REMESH,up60k -> crop,Latent distance,0.7052190004119278,0.6311743581193145,0.7659735150662204,100,4950,1000
REMESH,up60k -> down8k,Chamfer,0.5638029977948051,0.479396264968283,0.6444889237640455,100,4950,1000
REMESH,up60k -> down8k,Latent distance,0.7984184854620151,0.7441730102422683,0.8444479496321536,100,4950,1000
REMESH,up60k -> noisy,Chamfer,0.5968826052055517,0.518220002427229,0.6685870476145044,100,4950,1000
REMESH,up60k -> noisy,Latent distance,0.7979306107522809,0.7444214057257884,0.8431413414258933,100,4950,1000
REMESH,up60k -> original,Chamfer,0.5393041892783491,0.4627739339556915,0.6082405217202153,100,4950,1000
REMESH,up60k -> original,Latent distance,0.7884127074115704,0.7275728457374548,0.8343477645257249,100,4950,1000
REMESH,up60k -> remesh,Chamfer,0.5733962677979505,0.49656103019208975,0.6427030994024668,100,4950,1000
REMESH,up60k -> remesh,Latent distance,0.8007627309549809,0.7546336937411665,0.8445064575285416,100,4950,1000
REMESH,up60k -> up60k,Chamfer,0.7348997121766627,0.673944334503649,0.7913917912426962,100,4950,1000
REMESH,up60k -> up60k,Latent distance,0.8901545622227908,0.8603371022356453,0.9165233061977838,100,4950,1000
