F,wbse,within_mean,within_std,within_cv,between_mean,n_subjects,type,compare,F1,F2
1.0,0.699402935293957,2.075071913828262,0.7869737382023091,2.636774028277445,2.5886384995064575,99,inter,F,,
3.0,1.1048322465220644,1.3033829062178377,0.4488354092283321,2.90392174819429,1.9412465605178775,99,inter,F,,
5.0,1.4380883597537915,0.9470872238555854,0.30597681149685735,3.095290846461131,1.7148740325617067,99,inter,F,,
10.0,1.7438049170819685,0.6558650067903238,0.2072832237230427,3.1641007651764648,1.5781158167609386,99,inter,F,,
15.0,1.8505228382187477,0.5495086216105723,0.20195985936008481,2.7208803935183212,1.531289508183366,99,inter,F,,
,1.4776691868194975,0.9821587147885145,,,1.7710436729771133,99,intra,F1_vs_F2,1.0,3.0
,1.5601553443538547,0.9217962305223647,,,1.7388459713851856,99,intra,F1_vs_F2,1.0,5.0
,1.6241194769166836,0.8803153731689577,,,1.7259546147940177,99,intra,F1_vs_F2,1.0,10.0
,1.622874844060083,0.870777554367236,,,1.7143282149412187,99,intra,F1_vs_F2,1.0,15.0
,1.9065195709103606,0.5367371983806558,,,1.5567565621475101,99,intra,F1_vs_F2,3.0,5.0
,2.0212803058121556,0.4545041846062025,,,1.5401318155322623,99,intra,F1_vs_F2,3.0,10.0
,2.022468838532952,0.44289420693641357,,,1.5271428136801874,99,intra,F1_vs_F2,3.0,15.0
,2.1532376441387946,0.36392547949155185,,,1.4954491597632658,99,intra,F1_vs_F2,5.0,10.0
,2.2205716645119122,0.3162642052553387,,,1.4820825161786855,99,intra,F1_vs_F2,5.0,15.0
,2.365981168599531,0.19358329322552,,,1.4574894776690321,99,intra,F1_vs_F2,10.0,15.0
