scenario,metric,same_mean,same_median,different_mean,different_median,gap_diff_minus_same,same_vs_diff_auc,different_only_spearman_vs_gt,different_only_pearson_vs_gt
clean,latent_distance,0.16857710629701614,0.1469917595386505,0.426232483320766,0.4141089916229248,0.25765537702374985,0.9977777777777778,0.8789617984506727,0.8701886242684058
clean,raw_chamfer,0.003569152904674411,0.000963284051977098,0.005236191834167888,0.003265659906901419,0.001667038929493477,0.6891358024691357,0.2530027107578515,0.1486417736946544
clean,rigid_registered_chamfer,0.0030189728018336203,0.0007064156234264374,0.005284921334047492,0.0026901412056759,0.0022659485322138713,0.7014814814814815,0.3252891995458091,0.1723923552753488
clean,nicp_correspondence,0.09185002946712412,0.08502289279712587,0.0981240666230542,0.09256954754600002,0.0062740371559300845,0.6535802469135803,0.23362155072050061,0.17170262568057107
clean,cpd_registered_chamfer,nan,nan,nan,nan,nan,nan,nan,nan
translation,latent_distance,0.17714501519997913,0.17678363621234894,0.43381496005588105,0.42229481041431427,0.2566699448559019,0.9940740740740741,0.8621997140940447,0.8571831611136547
translation,raw_chamfer,0.0035427164619452217,0.0009943366749212146,0.0052915375996639745,0.0033317022025585175,0.0017488211377187529,0.6935802469135802,0.22733576908676512,0.1361554831183069
translation,rigid_registered_chamfer,0.002977009928306668,0.0007371567189693451,0.005210439044620014,0.0025995877804234624,0.002233429116313346,0.7079012345679012,0.32371775413737525,0.15001978820399622
translation,nicp_correspondence,0.09148531864424753,0.08502289170845263,0.09797262590078147,0.09322036601886954,0.006487307256533945,0.6575308641975308,0.2414787777626699,0.17612145029261503
translation,cpd_registered_chamfer,nan,nan,nan,nan,nan,nan,nan,nan
rotation,latent_distance,0.1742792699072096,0.15219247341156006,0.42981209887398614,0.42017124593257904,0.25553282896677654,0.9960493827160494,0.8711045714085033,0.8618397653347871
rotation,raw_chamfer,0.003590559217910696,0.0009748589945957065,0.005259566141628764,0.0033190203830599785,0.0016690069237180675,0.6888888888888889,0.25876467725544233,0.15155456111618995
rotation,rigid_registered_chamfer,0.0030592125968218575,0.0007064164965413511,0.0053771512524690476,0.002610952127724886,0.00231793865564719,0.7007407407407408,0.3430989141747262,0.18616145956690028
rotation,nicp_correspondence,0.09198476815798168,0.08635924458675326,0.09839047812587719,0.09227829337246563,0.006405709967895509,0.6538271604938272,0.25876467725544233,0.19957009894696182
rotation,cpd_registered_chamfer,nan,nan,nan,nan,nan,nan,nan,nan
mixed,latent_distance,0.17829591333866118,0.17426665127277374,0.41290467696057426,0.3994574248790741,0.23460876362191307,0.9990123456790123,0.8946762525350113,0.8945031471154469
mixed,raw_chamfer,0.0019106045223048164,0.0008063695859164,0.0026395394059363754,0.0015973433619365096,0.0007289348836315591,0.6590123456790123,0.2346691809927898,0.1282128742224252
mixed,rigid_registered_chamfer,0.001920131308078352,0.0008870159508660436,0.00272188125592139,0.001594880479387939,0.0008017499478430383,0.6498765432098765,0.18281148251447243,0.1411758855580955
mixed,nicp_correspondence,0.09667527505863548,0.0913841708889577,0.10176696049496883,0.09667966949366583,0.005091685436333357,0.6266666666666667,0.20376408796025722,0.14931437218301155
mixed,cpd_registered_chamfer,nan,nan,nan,nan,nan,nan,nan,nan
