method,F,cosine_corr,l2_corr,complex_corr,n_comparisons
3DDFAV2_23470_neutral,1,0.3052231574960493,0.20430800701245325,0.3362663739318054,4851
3DDFAV2_23470_neutral,3,0.3679422926224457,0.25675550990505613,0.41443656659218303,4851
3DDFAV2_23470_neutral,5,0.47042145078030306,0.32976948044068827,0.5353649315070693,4851
3DDFAV2_23470_neutral,10,0.47922841330194665,0.2949904293195592,0.5040340939874662,4851
3DDFAV2_23470_neutral,15,0.4833500761739701,0.3040411545480013,0.5173085439899352,4851
3DDFAV3_neutral,1,0.7275920690177101,0.3850473740296822,0.7282111957014648,4851
3DDFAV3_neutral,3,0.8240407509582099,0.48894490155746084,0.8710623164447271,4851
3DDFAV3_neutral,5,0.8201686637149198,0.5015604678412112,0.8788631975683696,4851
3DDFAV3_neutral,10,0.8339057419730872,0.530401636884115,0.9140300584424941,4851
3DDFAV3_neutral,15,0.8336638919916288,0.5266353858306954,0.9105861634763166,4851
Deep3DFace_23470_neutral,1,0.7150817427587071,0.41111566245278036,0.7462959941356748,4851
Deep3DFace_23470_neutral,3,0.7476199727983435,0.4027345603515128,0.7500983456697888,4851
Deep3DFace_23470_neutral,5,0.753548813406779,0.42759899719075956,0.7746783337641913,4851
Deep3DFace_23470_neutral,10,0.7623199322715252,0.4410218092702413,0.7956311852174751,4851
Deep3DFace_23470_neutral,15,0.7750683684817545,0.4438399527558537,0.8037800767990371,4851
SynergyNet_neutral,1,0.4216083595844161,0.17901325803736046,0.3874422112423288,4851
SynergyNet_neutral,3,0.5171251323231312,0.21892534121081833,0.4705765450250009,4851
SynergyNet_neutral,5,0.5956680302916957,0.31031779808381127,0.5942440259276787,4851
SynergyNet_neutral,10,0.639951381250348,0.3135516364079994,0.6169713064364858,4851
SynergyNet_neutral,15,0.6282389200252858,0.30716477392638647,0.6067289229822128,4851
INORig_23470_neutral,1,0.48025948310099903,0.28414111507370654,0.4905854492736015,4851
INORig_23470_neutral,2,0.4525925764919096,0.2838447731998646,0.47549746028421586,4851
INORig_23470_neutral,3,0.46027699698367497,0.2895687846885103,0.48331987681079547,4851
3DI_neutral,1,0.8632669408747619,0.4566619976659186,0.8517691929226006,4851
