n_pairs,spearman_latent_distance,pearson_latent_distance,spearman_raw_chamfer,pearson_raw_chamfer,spearman_rigid_p2p,pearson_rigid_p2p,spearman_nicp_p2p,pearson_nicp_p2p,spearman_nicp_p2tri,pearson_nicp_p2tri,topology_a,topology_b,pair_label
148500,0.586280705616936,0.6202468606745013,0.6941498193919026,0.6984062617690862,0.3541200804520044,0.32849704840593025,nan,nan,nan,nan,all,all,overall
4950,0.5470684130749062,0.5656285475767051,0.6979784932041063,0.7027315909464993,0.10151873036354217,0.16522501879441664,nan,nan,nan,nan,crop,down8k,crop__to__down8k
4950,0.582276118938629,0.5942516933752262,0.6975885236303342,0.7011352217288626,0.17692688205058132,0.2662082224871233,nan,nan,nan,nan,crop,noisy,crop__to__noisy
4950,0.5871336190563577,0.5977815684913658,0.6961416384852747,0.6997978453770336,0.1925373648346761,0.2807326848786139,nan,nan,nan,nan,crop,original,crop__to__original
4950,0.49652851720795604,0.5074765656486925,0.6985463715575988,0.7021479942131224,0.18551634794156457,0.1914975722771555,nan,nan,nan,nan,crop,remesh,crop__to__remesh
4950,0.6378926224367802,0.6523071210191723,0.7007576106990089,0.7046406974923412,0.12346223768037562,0.19726366412564297,nan,nan,nan,nan,crop,up60k,crop__to__up60k
4950,0.5075444777367446,0.5489844845078913,0.679741591314012,0.6872282624337587,0.04712239559590264,0.06754688317415225,nan,nan,nan,nan,down8k,crop,down8k__to__crop
4950,0.6441701874123951,0.6870501328116114,0.7198299482652437,0.7193388029815114,0.4892054236683915,0.527427237961717,nan,nan,nan,nan,down8k,noisy,down8k__to__noisy
4950,0.6418025807589224,0.6854361666517483,0.7169096932059451,0.7174059877653348,0.4265640022801317,0.472086306167788,nan,nan,nan,nan,down8k,original,down8k__to__original
4950,0.4603946912403575,0.5319651896281682,0.7187361466109423,0.7190644580815942,0.4720121590502907,0.5189594125654201,nan,nan,nan,nan,down8k,remesh,down8k__to__remesh
4950,0.7360148846628906,0.7747991511734456,0.7193341155995822,0.7190362781043359,0.6260612152811401,0.6686338031664787,nan,nan,nan,nan,down8k,up60k,down8k__to__up60k
4950,0.5451065129940674,0.566166172950998,0.6827573730550729,0.6893552335611477,0.15645573176428793,0.2052973443077204,nan,nan,nan,nan,noisy,crop,noisy__to__crop
4950,0.6516264536800765,0.6839033042179998,0.7220228372684723,0.7215779533960102,0.43085009932231677,0.48526838683475565,nan,nan,nan,nan,noisy,down8k,noisy__to__down8k
4950,0.8404510775077751,0.8637563393349534,0.7213336013985735,0.7204526253129885,0.6702773259945186,0.7004014727698402,nan,nan,nan,nan,noisy,original,noisy__to__original
4950,0.6479530452789748,0.7028403162165595,0.7231863255686044,0.7226838585048533,0.6077925543546464,0.6334876799076208,nan,nan,nan,nan,noisy,remesh,noisy__to__remesh
4950,0.7547618778079146,0.7793845962801162,0.72489834928488,0.7236067912241555,0.5802674656105431,0.5952878423971852,nan,nan,nan,nan,noisy,up60k,noisy__to__up60k
4950,0.5476766970670174,0.5678579025301909,0.6829180342681319,0.6891374438905467,0.1643221325086843,0.2153230160012657,nan,nan,nan,nan,original,crop,original__to__crop
4950,0.6443445565160563,0.6778698523053023,0.7188487236747788,0.7195450031798124,0.40276418545705434,0.4661779276628598,nan,nan,nan,nan,original,down8k,original__to__down8k
4950,0.8388241320022993,0.861112469857433,0.7211975911281389,0.7203788534962124,0.6694248020922978,0.6896012063467876,nan,nan,nan,nan,original,noisy,original__to__noisy
4950,0.6592311291849391,0.7123636656858795,0.7199229068972589,0.7207340843049318,0.589907922729663,0.617726365679982,nan,nan,nan,nan,original,remesh,original__to__remesh
4950,0.7564362397748925,0.779830260144497,0.7214152270121589,0.7214114172420284,0.5491091992005366,0.5453986662333131,nan,nan,nan,nan,original,up60k,original__to__up60k
4950,0.4489394917784127,0.4616668277956524,0.6843213486440497,0.6897624970936571,0.2036675552700881,0.22754014323675886,nan,nan,nan,nan,remesh,crop,remesh__to__crop
4950,0.42551086766767704,0.4805173801046991,0.7196075587288046,0.7195134924142012,0.43163977768672734,0.4984761453812946,nan,nan,nan,nan,remesh,down8k,remesh__to__down8k
4950,0.625041645609911,0.6638952112229868,0.7215738949096738,0.7207488305870612,0.6339803501890168,0.6696767537676562,nan,nan,nan,nan,remesh,noisy,remesh__to__noisy
4950,0.6392987175983026,0.67715988457867,0.7188265452072349,0.7191217943171822,0.6265280955010629,0.6599734605847759,nan,nan,nan,nan,remesh,original,remesh__to__original
4950,0.5845326517367848,0.6207113968809039,0.7203326303992358,0.7192499042519467,0.5755534720282551,0.6094415633886732,nan,nan,nan,nan,remesh,up60k,remesh__to__up60k
4950,0.5864227792202595,0.6128775442099359,0.6842539628643346,0.6899118626691619,0.07649745984791417,0.1174754190461834,nan,nan,nan,nan,up60k,crop,up60k__to__crop
4950,0.7260154792393747,0.7573201568683732,0.7189806949756172,0.7185058763945824,0.5923422521399955,0.6158470493932864,nan,nan,nan,nan,up60k,down8k,up60k__to__down8k
4950,0.736105182688118,0.768865570910281,0.7219169748196836,0.7205405743645337,0.6435330945974386,0.6804054974703846,nan,nan,nan,nan,up60k,noisy,up60k__to__noisy
4950,0.7421398036196665,0.7738145759036448,0.7191301607938094,0.7187703430197088,0.6063457044811902,0.6001256067030694,nan,nan,nan,nan,up60k,original,up60k__to__original
4950,0.6082275466706714,0.658289084568281,0.7189978928751121,0.7181805248870083,0.6150681649452617,0.657787163972023,nan,nan,nan,nan,up60k,remesh,up60k__to__remesh
