comparison,n_subjects,n_pairs,pearson,spearman,mae
raw_original_vs_gt,80,3160,0.9999999999999735,1.0,0.07121739233540376
per_mesh_normalized_original_vs_gt,80,3160,0.8033945994674918,0.8145854839224854,0.08689482278580249
raw_original_vs_per_mesh_normalized_original,80,3160,0.8033946002870094,0.8145854839224854,0.05343413125981293
