scenario,sigma,b725f567_latent_spearman,mixed_xtopo_9a81466d_latent_spearman,delta_latent_spearman,b725f567_chamfer_spearman,mixed_xtopo_9a81466d_chamfer_spearman,delta_chamfer_spearman,b725f567_delta_spearman,mixed_xtopo_9a81466d_delta_spearman,delta_delta_spearman,b725f567_latent_pearson,mixed_xtopo_9a81466d_latent_pearson,delta_latent_pearson,b725f567_chamfer_pearson,mixed_xtopo_9a81466d_chamfer_pearson,delta_chamfer_pearson,b725f567_delta_pearson,mixed_xtopo_9a81466d_delta_pearson,delta_delta_pearson,b725f567_latent_drop_vs_clean,mixed_xtopo_9a81466d_latent_drop_vs_clean,delta_latent_drop_vs_clean,b725f567_chamfer_drop_vs_clean,mixed_xtopo_9a81466d_chamfer_drop_vs_clean,delta_chamfer_drop_vs_clean,b725f567_beats_chamfer,mixed_xtopo_9a81466d_beats_chamfer,n_subjects,n_samples,n_pairs,n_mesh_pairs,n_subject_pairs
jitter,0.000000,0.545040,0.531864,-0.013176,0.639175,0.639175,0.000000,-0.094135,-0.107311,-0.013176,0.539079,0.527528,-0.011551,0.633116,0.633116,0.000000,-0.094037,-0.105588,-0.011551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,110,110,5995,5995,5995
jitter,0.020000,0.543898,0.530048,-0.013850,0.649154,0.649154,0.000000,-0.105256,-0.119105,-0.013849,0.538632,0.529520,-0.009112,0.630484,0.630484,0.000000,-0.091852,-0.100964,-0.009112,0.001142,0.001816,0.000674,-0.009979,-0.009979,0.000000,0,0,110,110,5995,5995,5995
jitter,0.050000,0.541008,0.492245,-0.048763,0.647659,0.647659,0.000000,-0.106651,-0.155414,-0.048763,0.537570,0.501052,-0.036518,0.635451,0.635451,0.000000,-0.097880,-0.134399,-0.036519,0.004032,0.039620,0.035588,-0.008484,-0.008484,0.000000,0,0,110,110,5995,5995,5995
jitter,0.100000,0.534321,0.373459,-0.160862,0.580648,0.580648,0.000000,-0.046327,-0.207189,-0.160862,0.534629,0.402692,-0.131937,0.613865,0.613865,0.000000,-0.079235,-0.211173,-0.131938,0.010719,0.158406,0.147687,0.058527,0.058527,0.000000,0,0,110,110,5995,5995,5995
jitter,0.150000,0.524983,0.253985,-0.270998,0.483139,0.483139,0.000000,0.041844,-0.229154,-0.270998,0.530397,0.276211,-0.254186,0.539580,0.539580,0.000000,-0.009183,-0.263369,-0.254186,0.020057,0.277879,0.257822,0.156036,0.156036,0.000000,1,0,110,110,5995,5995,5995
jitter,0.200000,0.509699,0.165452,-0.344247,0.380618,0.380618,0.000000,0.129082,-0.215166,-0.344248,0.522330,0.173905,-0.348425,0.432822,0.432822,0.000000,0.089509,-0.258917,-0.348426,0.035341,0.366412,0.331071,0.258557,0.258557,0.000000,1,0,110,110,5995,5995,5995
mixed,0.000000,0.545040,0.531864,-0.013176,0.639175,0.639175,0.000000,-0.094135,-0.107311,-0.013176,0.539079,0.527528,-0.011551,0.633116,0.633116,0.000000,-0.094037,-0.105588,-0.011551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,110,110,5995,5995,5995
mixed,0.020000,0.497424,0.510694,0.013270,0.639612,0.639612,0.000000,-0.142188,-0.128917,0.013271,0.503567,0.512433,0.008866,0.626612,0.626612,0.000000,-0.123044,-0.114178,0.008866,0.047616,0.021170,-0.026446,-0.000437,-0.000437,0.000000,0,0,110,110,5995,5995,5995
mixed,0.050000,0.428430,0.476996,0.048566,0.627053,0.627053,0.000000,-0.198623,-0.150057,0.048566,0.446805,0.486990,0.040185,0.626425,0.626425,0.000000,-0.179620,-0.139435,0.040185,0.116610,0.054868,-0.061742,0.012122,0.012122,0.000000,0,0,110,110,5995,5995,5995
mixed,0.100000,0.307708,0.377992,0.070284,0.555300,0.555300,0.000000,-0.247591,-0.177307,0.070284,0.323446,0.389001,0.065555,0.598607,0.598607,0.000000,-0.275161,-0.209606,0.065555,0.237332,0.153872,-0.083460,0.083875,0.083875,0.000000,0,0,110,110,5995,5995,5995
