scenario,topology_a,topology_b,ordered_pair_label,ordered_topology_pairs,mesh_pair_level,latent_spearman,chamfer_spearman,delta_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,n_subjects,n_subject_pairs,n_mesh_pairs,n_observations,chamfer_seconds_mean,chamfer_seconds_median,total_pair_seconds_mean,total_pair_seconds_median,output_dir,output_json,output_csv,output_md,method,gt_reference,metric_spearman,metric_column,registered_chamfer_spearman,registered_chamfer_pearson,model_beats_registered_chamfer,rigid_icp_seconds_mean,rigid_icp_seconds_median,nonrigid_cpd_seconds_mean,nonrigid_cpd_seconds_median,warp_seconds_mean,warp_seconds_median,registration_seconds_mean,registration_seconds_median,nicp_correspondence_spearman,nicp_correspondence_pearson,model_beats_nicp_correspondence,nonrigid_nicp_seconds_mean,nonrigid_nicp_seconds_median,metric_seconds_mean,metric_seconds_median
clean,all,all,all_pairs,0,1,0.750596,,0.589193,0.779831,,0.690693,,100,4950,148500,148500,,,0.009752,0.009647,/deck/datasets/WBES-FaceEmbedding/face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_nicp_correspondence_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_icp128_nicp128_iter8/clean,,,,nicp_corr,original_gt,0.161403,nicp_correspondence_spearman,,,,0.000661,0.000455,,,,,,,0.161403,0.089138,1.0,0.00899,0.008976,0.0001,0.0001
clean,all,all,all_pairs,0,1,0.750596,0.237341,0.513256,0.779831,0.157133,0.622698,1.0,100,4950,148500,148500,0.025258,0.025258,0.025258,0.025258,/deck/datasets/WBES-FaceEmbedding/face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_noicp/clean,,,,raw_noicp,original_gt,0.237341,chamfer_spearman,,,,,,,,,,,,,,,,,,
clean,all,all,all_pairs,0,1,0.750596,,0.739444,0.779831,,0.769866,,100,4950,148500,148500,0.014377,0.007053,0.0253,0.018091,/deck/datasets/WBES-FaceEmbedding/face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_registered_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_icp128_cpd64/clean,,,,rigid_cpd,original_gt,0.011153,registered_chamfer_spearman,0.011153,0.009966,1.0,0.000876,0.000875,0.00982,0.010601,0.000227,0.000205,0.010696,0.011537,,,,,,,
clean,all,all,all_pairs,0,1,0.750596,,0.522643,0.779831,,0.732498,,100,4950,148500,148500,0.014384,0.007056,0.015234,0.007817,/deck/datasets/WBES-FaceEmbedding/face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_registered_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_icp128_rigidonly/clean,,,,rigid_only,original_gt,0.227953,registered_chamfer_spearman,0.227953,0.047334,1.0,0.000806,0.000805,0.0,0.0,4.3e-05,3.9e-05,0.000806,0.000805,,,,,,,
jitter,all,all,all_pairs,0,1,0.675193,,0.564424,0.706396,,0.626481,,100,4950,148500,148500,,,0.009671,0.009556,/deck/datasets/WBES-FaceEmbedding/face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_nicp_correspondence_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_icp128_nicp128_iter8/jitter,,,,nicp_corr,original_gt,0.110768,nicp_correspondence_spearman,,,,0.000573,0.000362,,,,,,,0.110768,0.079915,1.0,0.008997,0.008963,0.000101,0.000101
jitter,all,all,all_pairs,0,1,0.675193,0.142173,0.53302,0.706396,0.138322,0.568074,1.0,100,4950,148500,148500,0.03004,0.03004,0.03004,0.03004,/deck/datasets/WBES-FaceEmbedding/face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_noicp/jitter,,,,raw_noicp,original_gt,0.142173,chamfer_spearman,,,,,,,,,,,,,,,,,,
jitter,all,all,all_pairs,0,1,0.675193,,0.667234,0.706396,,0.704384,,100,4950,148500,148500,0.014382,0.007053,0.02557,0.018396,/deck/datasets/WBES-FaceEmbedding/face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_registered_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_icp128_cpd64/jitter,,,,rigid_cpd,original_gt,0.007958,registered_chamfer_spearman,0.007958,0.002012,1.0,0.000738,0.000725,0.010221,0.011055,0.000229,0.000207,0.010959,0.011844,,,,,,,
jitter,all,all,all_pairs,0,1,0.675193,,0.544378,0.706396,,0.686946,,100,4950,148500,148500,0.014382,0.007057,0.015097,0.007707,/deck/datasets/WBES-FaceEmbedding/face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_registered_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_icp128_rigidonly/jitter,,,,rigid_only,original_gt,0.130815,registered_chamfer_spearman,0.130815,0.01945,1.0,0.000672,0.000662,0.0,0.0,4.3e-05,3.9e-05,0.000672,0.000662,,,,,,,
mixed,all,all,all_pairs,0,1,0.664809,,0.558552,0.697496,,0.617599,,100,4950,148500,148500,,,0.00965,0.009547,/deck/datasets/WBES-FaceEmbedding/face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_nicp_correspondence_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_icp128_nicp128_iter8/mixed,,,,nicp_corr,original_gt,0.106257,nicp_correspondence_spearman,,,,0.000573,0.000362,,,,,,,0.106257,0.079897,1.0,0.008975,0.008955,0.000102,0.000102
mixed,all,all,all_pairs,0,1,0.635421,0.138115,0.497306,0.672192,0.134414,0.537778,1.0,100,4950,148500,148500,0.025252,0.025252,0.025252,0.025252,/deck/datasets/WBES-FaceEmbedding/face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_noicp/mixed,,,,raw_noicp,original_gt,0.138115,chamfer_spearman,,,,,,,,,,,,,,,,,,
mixed,all,all,all_pairs,0,1,0.664809,,0.652935,0.697496,,0.685227,,100,4950,148500,148500,0.014383,0.007051,0.025566,0.01836,/deck/datasets/WBES-FaceEmbedding/face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_registered_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_icp128_cpd64/mixed,,,,rigid_cpd,original_gt,0.011874,registered_chamfer_spearman,0.011874,0.012269,1.0,0.000742,0.00073,0.010212,0.011047,0.000229,0.000206,0.010954,0.011838,,,,,,,
mixed,all,all,all_pairs,0,1,0.664809,,0.536003,0.697496,,0.675329,,100,4950,148500,148500,0.014388,0.007056,0.015106,0.007712,/deck/datasets/WBES-FaceEmbedding/face_embedding/gt_encdec/remeshing/intrinsic/newdata/dn_mixed_topology_v1/perturbation_ranking_vs_registered_chamfer_topology_breakdown/best_by_xtopo_mesh_clean_split-eval_pairs-cross_topology_topopairs-cross_only_ordered-1_subjects-100_meshes-10_scenarios-clean-jitter-translation-rotation-mixed_icp128_rigidonly/mixed,,,,rigid_only,original_gt,0.128806,registered_chamfer_spearman,0.128806,0.022167,1.0,0.000674,0.000666,0.0,0.0,4.3e-05,3.9e-05,0.000674,0.000666,,,,,,,
