scenario,topology_a,topology_b,ordered_pair_label,nicp_corr,raw_noicp_original_gt,rigid_cpd,rigid_only_original_gt,raw_noicp_surrogate_gt,rigid_only_surrogate_gt,raw_minus_rigid_original_gt,raw_minus_rigid_surrogate_gt,winner_original_gt,winner_surrogate_gt,winner_flips
translation,down8k,remesh,down8k__to__remesh,0.282728,0.415417,-0.024386,0.33112,0.453684,0.34026,0.08429699999999996,0.11342399999999997,raw_noicp,raw_noicp,False
translation,original,remesh,original__to__remesh,0.357082,0.546077,0.007143,0.478981,0.705409,0.584328,0.06709600000000004,0.121081,raw_noicp,raw_noicp,False
translation,noisy,crop,noisy__to__crop,0.047453,0.084034,0.015266,0.071027,0.018996,-0.002252,0.01300699999999999,0.021248,raw_noicp,raw_noicp,False
translation,up60k,crop,up60k__to__crop,0.048593,0.064728,0.017708,0.058845,0.000799,-0.008132,0.005882999999999992,0.008931,raw_noicp,raw_noicp,False
translation,original,crop,original__to__crop,0.08322,0.090111,0.00193,0.087867,0.020461,0.007601,0.002243999999999996,0.01286,raw_noicp,raw_noicp,False
translation,down8k,crop,down8k__to__crop,0.035248,0.03358,-0.034142,0.033073,-0.01969,-0.022789,0.0005070000000000005,0.003099000000000001,raw_noicp,raw_noicp,False
translation,crop,original,crop__to__original,-0.041654,-0.03346,0.055243,-0.025271,-0.064634,-0.047074,-0.008188999999999998,-0.01756,rigid_only,rigid_only,False
translation,remesh,crop,remesh__to__crop,0.09634,0.107728,0.016767,0.11836,0.053365,0.062526,-0.010632000000000003,-0.009160999999999996,rigid_only,rigid_only,False
translation,down8k,noisy,down8k__to__noisy,0.32592,0.452615,-0.01876,0.465385,0.488378,0.549385,-0.012770000000000004,-0.06100700000000003,rigid_only,rigid_only,False
translation,noisy,up60k,noisy__to__up60k,0.311306,0.483797,0.017818,0.497639,0.659694,0.669856,-0.013842000000000021,-0.010162000000000004,rigid_only,rigid_only,False
translation,crop,noisy,crop__to__noisy,-0.051197,-0.040296,0.010814,-0.02628,-0.072877,-0.058958,-0.014015999999999997,-0.013918999999999994,rigid_only,rigid_only,False
translation,crop,down8k,crop__to__down8k,-0.084509,-0.092306,0.017591,-0.076499,-0.110169,-0.084486,-0.015807,-0.025682999999999997,rigid_only,rigid_only,False
translation,crop,up60k,crop__to__up60k,-0.055708,-0.069297,0.001173,-0.037173,-0.095914,-0.068484,-0.032124,-0.027429999999999996,rigid_only,rigid_only,False
translation,down8k,original,down8k__to__original,0.352733,0.401637,-0.006727,0.439101,0.414192,0.48355,-0.037464,-0.06935799999999998,rigid_only,rigid_only,False
translation,crop,remesh,crop__to__remesh,0.018481,0.005154,0.019735,0.043703,-0.033852,0.003943,-0.038549,-0.037795,rigid_only,rigid_only,False
translation,noisy,down8k,noisy__to__down8k,0.227748,0.302419,0.014529,0.362,0.429792,0.507446,-0.059580999999999995,-0.07765399999999995,rigid_only,rigid_only,False
translation,original,up60k,original__to__up60k,0.317979,0.416535,0.033344,0.476182,0.576482,0.65321,-0.059647000000000006,-0.07672799999999991,rigid_only,rigid_only,False
translation,original,down8k,original__to__down8k,0.240031,0.239275,0.001543,0.321241,0.349867,0.450937,-0.08196600000000001,-0.10107,rigid_only,rigid_only,False
