pair_key,Ec,gt_distance,pair_type,Ep,scenario,D,D_abs_delta,Ec_rank,Ep_rank,rank_abs_change
id0478_GTready_crop||id0478_GTready_down8k||crop||down8k,0.012639177031815,0.0,same_subject,0.0120601709932088,translation,-0.0005790060386061998,0.0005790060386061998,125.0,123.0,2.0
id0478_GTready_crop||id0478_GTready_noisy||crop||noisy,0.004730615299195,0.0,same_subject,0.0045323045924305,translation,-0.00019831070676450038,0.00019831070676450038,91.0,88.0,3.0
id0478_GTready_crop||id0478_GTready_original||crop||original,0.0054232841357588,0.0,same_subject,0.0053839739412069,translation,-3.931019455189963e-05,3.931019455189963e-05,95.0,95.0,0.0
id0478_GTready_crop||id0478_GTready_remesh||crop||remesh,0.0065036141313612,0.0,same_subject,0.0058406549505889,translation,-0.0006629591807723002,0.0006629591807723002,101.0,96.0,5.0
id0478_GTready_crop||id0478_GTready_up60k||crop||up60k,0.0093090711161494,0.0,same_subject,0.0088375825434923,translation,-0.00047148857265709963,0.00047148857265709963,113.0,113.0,0.0
id0478_GTready_down8k||id0478_GTready_noisy||down8k||noisy,0.0017052999464794,0.0,same_subject,0.001600265270099,translation,-0.00010503467638039998,0.00010503467638039998,45.0,45.0,0.0
id0478_GTready_down8k||id0478_GTready_original||down8k||original,0.0020421536173671,0.0,same_subject,0.0017596982652321,translation,-0.0002824553521349998,0.0002824553521349998,56.0,47.0,9.0
id0478_GTready_down8k||id0478_GTready_remesh||down8k||remesh,0.0021515381522476,0.0,same_subject,0.0020783317741006,translation,-7.320637814699996e-05,7.320637814699996e-05,62.0,59.0,3.0
id0478_GTready_down8k||id0478_GTready_up60k||down8k||up60k,0.0005161893786862,0.0,same_subject,0.0004756934358738,translation,-4.049594281240002e-05,4.049594281240002e-05,8.0,6.0,2.0
id0478_GTready_noisy||id0478_GTready_original||noisy||original,0.000150833686348,0.0,same_subject,0.0001593748893355,translation,8.541202987499976e-06,8.541202987499976e-06,1.0,2.0,1.0
id0478_GTready_noisy||id0478_GTready_remesh||noisy||remesh,0.0006738602533005,0.0,same_subject,0.000627365137916,translation,-4.6495115384500045e-05,4.6495115384500045e-05,12.0,9.0,3.0
id0478_GTready_noisy||id0478_GTready_up60k||noisy||up60k,0.0007275327225215,0.0,same_subject,0.0007104999385774,translation,-1.7032783944100007e-05,1.7032783944100007e-05,16.0,14.0,2.0
id0478_GTready_original||id0478_GTready_remesh||original||remesh,0.0007634804933331,0.0,same_subject,0.0006375307566486,translation,-0.00012594973668450006,0.00012594973668450006,17.0,10.0,7.0
id0478_GTready_original||id0478_GTready_up60k||original||up60k,0.0008619797881692,0.0,same_subject,0.0007066499092616,translation,-0.00015532987890759997,0.00015532987890759997,22.0,13.0,9.0
id0478_GTready_remesh||id0478_GTready_up60k||remesh||up60k,0.0007045179372653,0.0,same_subject,0.0007259933045133,translation,2.147536724799999e-05,2.147536724799999e-05,14.0,15.0,1.0
id0485_GTready_crop||id0485_GTready_down8k||crop||down8k,0.0118688140064477,0.0,same_subject,0.0122979748994112,translation,0.00042916089296349963,0.00042916089296349963,123.0,124.0,1.0
id0485_GTready_crop||id0485_GTready_noisy||crop||noisy,0.0061898175626993,0.0,same_subject,0.0064084455370903,translation,0.00021862797439100006,0.00021862797439100006,99.0,101.0,2.0
id0485_GTready_crop||id0485_GTready_original||crop||original,0.0064919423311948,0.0,same_subject,0.006713974289596,translation,0.00022203195840119969,0.00022203195840119969,100.0,103.0,3.0
id0485_GTready_crop||id0485_GTready_remesh||crop||remesh,0.0069689331576228,0.0,same_subject,0.007774100638926,translation,0.0008051674813031994,0.0008051674813031994,105.0,106.0,1.0
id0485_GTready_crop||id0485_GTready_up60k||crop||up60k,0.0095061603933572,0.0,same_subject,0.0100360084325075,translation,0.0005298480391502988,0.0005298480391502988,115.0,116.0,1.0
id0485_GTready_down8k||id0485_GTready_noisy||down8k||noisy,0.0009412839426659,0.0,same_subject,0.0009804420405998,translation,3.91580979339e-05,3.91580979339e-05,27.0,27.0,0.0
id0485_GTready_down8k||id0485_GTready_original||down8k||original,0.0013041314668953,0.0,same_subject,0.0014257715083658,translation,0.0001216400414704999,0.0001216400414704999,36.0,38.0,2.0
id0485_GTready_down8k||id0485_GTready_remesh||down8k||remesh,0.0017770861741155,0.0,same_subject,0.0017734400462359,translation,-3.6461278796000827e-06,3.6461278796000827e-06,47.0,48.0,1.0
id0485_GTready_down8k||id0485_GTready_up60k||down8k||up60k,0.0004106975684408,0.0,same_subject,0.0004421417834237,translation,3.144421498290002e-05,3.144421498290002e-05,6.0,5.0,1.0
id0485_GTready_noisy||id0485_GTready_original||noisy||original,0.0001528632710687,0.0,same_subject,0.0001552902394905,translation,2.426968421800007e-06,2.426968421800007e-06,2.0,1.0,1.0
id0485_GTready_noisy||id0485_GTready_remesh||noisy||remesh,0.0007057409966364,0.0,same_subject,0.0008323870133608,translation,0.00012664601672439998,0.00012664601672439998,15.0,20.0,5.0
id0485_GTready_noisy||id0485_GTready_up60k||noisy||up60k,0.0004476653703022,0.0,same_subject,0.0005718609318137,translation,0.00012419556151149996,0.00012419556151149996,7.0,7.0,0.0
id0485_GTready_original||id0485_GTready_remesh||original||remesh,0.000794559251517,0.0,same_subject,0.0009518119040876,translation,0.00015725265257060007,0.00015725265257060007,20.0,25.0,5.0
id0485_GTready_original||id0485_GTready_up60k||original||up60k,0.0006090970709919,0.0,same_subject,0.0008129029884003,translation,0.00020380591740839994,0.00020380591740839994,9.0,18.0,9.0
id0485_GTready_remesh||id0485_GTready_up60k||remesh||up60k,0.0006315873470157,0.0,same_subject,0.0006453618989326,translation,1.377455191690002e-05,1.377455191690002e-05,11.0,11.0,0.0
id0489_GTready_crop||id0489_GTready_down8k||crop||down8k,0.0150178950279951,0.0,same_subject,0.0149176139384508,translation,-0.00010028108954429973,0.00010028108954429973,128.0,128.0,0.0
id0489_GTready_crop||id0489_GTready_noisy||crop||noisy,0.0094781834632158,0.0,same_subject,0.0087492205202579,translation,-0.0007289629429579007,0.0007289629429579007,114.0,112.0,2.0
id0489_GTready_crop||id0489_GTready_original||crop||original,0.0089377705007791,0.0,same_subject,0.0086100064218044,translation,-0.00032776407897469953,0.00032776407897469953,112.0,111.0,1.0
id0489_GTready_crop||id0489_GTready_remesh||crop||remesh,0.0087173487991094,0.0,same_subject,0.0079225059598684,translation,-0.0007948428392410001,0.0007948428392410001,110.0,108.0,2.0
