scenario,count,D_abs_mean,D_abs_median,D_abs_std,D_abs_q10,D_abs_q90,Ec_mean,Ep_mean,Ec_vs_Ep_pearson,Ec_vs_Ep_spearman,rank_abs_change_mean
translation,135,0.000230886332186246,0.00013215420767660052,0.00025231452583362513,1.7096346709860014e-05,0.00057517820969224,0.0046805121910033455,0.004708597220424344,0.9975515086878733,0.9966734952687544,2.251851851851852
rotation,135,5.0255742368150364e-05,3.4862197935598555e-05,5.219882551461991e-05,5.177210550759968e-06,0.0001123606692999219,0.0046805121910033455,0.004703230500389362,0.9999052929048504,0.9994829772705104,0.7555555555555555
mixed,135,0.002300872494621824,0.001346105360426,0.002426928786505328,0.00017763409996407998,0.005762846581637841,0.0046805121910033455,0.0023965611113924714,0.9883785915783923,0.9754365427763146,6.266666666666667
