scenario,reference_metric,jitter_sigma,rotation_sigma,translation_sigma,rotation_angle_max_deg,translation_axis_std,latent_spearman,chamfer_spearman,delta_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,n_subjects,n_samples,n_pairs,n_mesh_pairs,n_subject_pairs
clean,gt_vertex_mean_l2,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000,0.585670,0.639175,-0.053504,0.600368,0.633116,-0.032748,0,110,110,5995,5995,5995
mixed,gt_vertex_mean_l2,2.000000e-02,2.000000e-02,2.000000e-02,1.400000,0.003000,0.552906,0.639612,-0.086706,0.578271,0.626612,-0.048340,0,110,110,5995,5995,5995
