scenario,metric,same_mean,same_median,different_mean,different_median,gap_diff_minus_same,same_vs_diff_auc,different_only_spearman_vs_gt,different_only_pearson_vs_gt
clean,latent_distance,0.16857710629701614,0.1469917595386505,0.426232483320766,0.4141089916229248,0.25765537702374985,0.9977777777777778,0.8789617984506727,0.8701886242684058
clean,raw_chamfer,0.003569152904674411,0.000963284051977098,0.005236191834167888,0.003265659906901419,0.001667038929493477,0.6891358024691357,0.2530027107578515,0.1486417736946544
clean,template_icp_chamfer,0.0036028085625730453,0.002593776909634471,0.005276277471178522,0.004127840977162123,0.0016734689086054765,0.6693827160493827,0.05395295902289588,0.07124683947686321
translation,latent_distance,0.19071469224161572,0.1814916878938675,0.44284010661972895,0.43697282671928406,0.2521254143781132,0.9891358024691358,0.8464852600097061,0.8367353832684462
translation,raw_chamfer,0.003564895340241492,0.0011049475288018584,0.0053838155833849065,0.0035067510325461626,0.0018189202431434146,0.6918518518518518,0.20900223932170345,0.12566716802022918
translation,template_icp_chamfer,0.0036543271588420287,0.002270582364872098,0.005169777268181659,0.0038111222675070167,0.00151545010933963,0.6622222222222223,0.039809950346991134,0.05536998418160994
rotation,latent_distance,0.19903243399328654,0.18507002294063568,0.44182788994577193,0.43167489767074585,0.2427954559524854,0.9920987654320987,0.8370565875591028,0.8292947111622395
rotation,raw_chamfer,0.003685597969322569,0.0010996157070621848,0.005358288832940161,0.0035581939155235887,0.0016726908636175925,0.685679012345679,0.24828837453254993,0.15642314505172805
rotation,template_icp_chamfer,0.0033672564113253933,0.002350324997678399,0.004651436919812113,0.0034433690598234534,0.0012841805084867195,0.6464197530864197,0.014666823812049362,0.04032243494398107
mixed,latent_distance,0.25630461507373387,0.2570336163043976,0.43064485159185195,0.4365716278553009,0.17434023651811809,0.9782716049382716,0.806675309662715,0.7929615509789731
mixed,raw_chamfer,0.0014624775245061351,0.0011809405405074358,0.0016953194067658235,0.00136047339765355,0.0002328418822596884,0.5809876543209876,0.14509679271205977,0.110865813955806
mixed,template_icp_chamfer,0.001566096298241367,0.0013667680323123932,0.0018658457970660593,0.0015447093173861504,0.00029974949882469225,0.6246913580246913,0.1430015321674813,0.13006787389328425
