scenario,reference_metric,jitter_sigma,rotation_sigma,translation_sigma,rotation_angle_max_deg,translation_axis_std,latent_spearman,chamfer_spearman,delta_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,n_subjects,n_samples,n_pairs,n_mesh_pairs,n_subject_pairs
clean,gt_vertex_mean_l2,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000,0.111549,0.597833,-0.486284,0.115549,0.586700,-0.471151,0,104,208,5356,10712,5356
mixed,gt_vertex_mean_l2,5.000000e-02,5.000000e-02,5.000000e-02,1.100000,0.002500,0.133815,0.616692,-0.482877,0.142710,0.642467,-0.499757,0,104,208,5356,10712,5356
