scenario,reference_metric,jitter_sigma,rotation_sigma,translation_sigma,rotation_angle_max_deg,translation_axis_std,latent_spearman,chamfer_spearman,delta_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,n_subjects,n_samples,n_pairs,n_mesh_pairs,n_subject_pairs
clean,gt_vertex_mean_l2,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000,0.511733,0.403222,0.108511,0.520214,0.406753,0.113461,1,35,70,1190,1190,595
mixed,gt_vertex_mean_l2,2.000000e-02,2.000000e-02,2.000000e-02,1.400000,0.003000,0.493609,0.463925,0.029685,0.506744,0.486240,0.020504,1,35,70,1190,1190,595
