F,wbse,within_mean,between_mean,n_subjects,type,compare,F1,F2
1.0,0.9730618099250488,0.02201527050153301,0.030980089276085483,99,inter,F,,
3.0,1.4912151372515856,0.013660954997996862,0.0240664386141935,99,inter,F,,
5.0,1.8473141173058543,0.010388248303523195,0.022769459214807386,99,inter,F,,
10.0,2.1702625084999725,0.007122035734368363,0.021381324078916127,99,inter,F,,
15.0,2.301009715051218,0.006051426552247549,0.020795143826216618,99,inter,F,,
,1.8277342786146955,0.010800403552874637,0.02328012364388929,99,intra,F1_vs_F2,1.0,3.0
,1.919993830177788,0.009906969932607493,0.023122442235086266,99,intra,F1_vs_F2,1.0,5.0
,1.9834688505819382,0.009454840292698406,0.022953430636637868,99,intra,F1_vs_F2,1.0,10.0
,1.9875546311312555,0.009387607507539326,0.02282352637694994,99,intra,F1_vs_F2,1.0,15.0
,2.3448110292765514,0.005816814443502268,0.02088290632044791,99,intra,F1_vs_F2,3.0,5.0
,2.428763814947516,0.005161765641676249,0.020690874174511,99,intra,F1_vs_F2,3.0,10.0
,2.475710123974521,0.004857469053828832,0.020547696749683455,99,intra,F1_vs_F2,3.0,15.0
,2.5681924657352404,0.00398023137100769,0.020739690032132847,99,intra,F1_vs_F2,5.0,10.0
,2.5967898027873546,0.0037962210770399116,0.020597920177847104,99,intra,F1_vs_F2,5.0,15.0
,2.8609174183437127,0.0019852555689162817,0.020324522212886914,99,intra,F1_vs_F2,10.0,15.0
