F1,F2,wbse,within_mean,between_mean,n_subjects
1,3,1.8277342786146955,0.010800403552874637,0.02328012364388929,99
1,5,1.919993830177788,0.009906969932607493,0.023122442235086266,99
1,10,1.9834688505819382,0.009454840292698406,0.022953430636637868,99
1,15,1.9875546311312555,0.009387607507539326,0.02282352637694994,99
3,5,2.3448110292765514,0.005816814443502268,0.02088290632044791,99
3,10,2.428763814947516,0.005161765641676249,0.020690874174511,99
3,15,2.475710123974521,0.004857469053828832,0.020547696749683455,99
5,10,2.5681924657352404,0.00398023137100769,0.020739690032132847,99
5,15,2.5967898027873546,0.0037962210770399116,0.020597920177847104,99
10,15,2.8609174183437127,0.0019852555689162817,0.020324522212886914,99
