scenario,reference_metric,jitter_sigma,rotation_sigma,translation_sigma,rotation_angle_max_deg,translation_axis_std,latent_spearman,chamfer_spearman,delta_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,n_subjects,n_samples,n_pairs,n_mesh_pairs,n_subject_pairs
clean,gt_vertex_mean_l2,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000,0.590774,0.514582,0.076192,0.616605,0.549931,0.066674,1,35,70,595,1190,595
rotation,gt_vertex_mean_l2,0.000000e+00,1.500000e-01,0.000000e+00,4.000000,0.000000,0.534911,0.530706,0.004205,0.572766,0.572820,-0.000054,1,35,70,595,1190,595
