scenario,sample_name,subject_id,topology_label,template_sample_name,rotation_angle_deg,rotation_axis_x,rotation_axis_y,rotation_axis_z,translation_x,translation_y,translation_z,translation_norm
clean,id0478_GTready_crop,id0478,crop,id0478_GTready_original,2.8543392149495688,0.3602618223587815,-0.13377029534417678,0.9232101209552793,0.010507303290069103,-0.012126842513680458,0.013917659409344196,0.021240644416203852
clean,id0478_GTready_down8k,id0478,down8k,id0478_GTready_original,3.032800437496742,-0.0905297946683701,-0.0941018133075165,0.9914379481387325,-0.010301230475306511,0.03007850982248783,-0.015083701349794865,0.03519019961376582
clean,id0478_GTready_noisy,id0478,noisy,id0478_GTready_original,1.062936455131831,-0.5943659805186997,0.7694011048397768,0.23398936102604231,-0.011020519770681858,-0.0031988341361284256,-0.0031357440166175365,0.011896103832104144
clean,id0478_GTready_original,id0478,original,id0478_GTready_original,2.8400731792291976,-0.1610935407866718,0.679959966766157,0.7153344076109994,-0.012677071616053581,-0.030138535425066948,-0.004589528776705265,0.03301671147644435
clean,id0478_GTready_remesh,id0478,remesh,id0478_GTready_original,1.4451650550749018,0.8760685541720539,0.276281890433488,-0.39518629203122063,-0.0008296326268464327,-0.007117078173905611,-0.00997474417090416,0.012281555817729212
clean,id0478_GTready_up60k,id0478,up60k,id0478_GTready_original,2.2721057310751553,-0.4504191743758233,-0.04531454888302104,0.8916665066122704,-0.004563842434436083,-0.0038384469226002693,-0.010008135810494423,0.01165011222887058
clean,id0485_GTready_crop,id0485,crop,id0478_GTready_original,2.1746138592736823,-0.7469768648928689,0.022931013531008012,0.6644544618958184,-0.0049000149592757225,0.021710282191634178,0.018554195761680603,0.02897593276849393
clean,id0485_GTready_down8k,id0485,down8k,id0478_GTready_original,4.513883011326357,0.8454018462097739,-0.533517408751368,0.025590876974650966,-0.002111241454258561,-0.016259847208857536,-0.003894585184752941,0.016852529943449712
clean,id0485_GTready_noisy,id0485,noisy,id0478_GTready_original,4.6883034384089735,-0.8017662251950656,0.3135549097114877,0.5087771995011925,-0.0017821835353970528,0.04331649839878082,0.007055683061480522,0.04392354579436279
clean,id0485_GTready_original,id0485,original,id0478_GTready_original,4.306320871411501,-0.7723722648378549,-0.43197669268312733,-0.46565783735248095,0.022201398387551308,0.025817183777689934,-0.01413800846785307,0.03686885341329273
clean,id0485_GTready_remesh,id0485,remesh,id0478_GTready_original,3.1852441773816595,-0.8660062554068417,-0.43306400463667016,0.2499774659529743,0.01582091860473156,0.0029539475217461586,-0.02557949721813202,0.030221481588287413
clean,id0485_GTready_up60k,id0485,up60k,id0478_GTready_original,3.4793029497345973,-0.9288417831758716,-0.37033443484817186,0.010263926751124646,0.020245540887117386,0.005869708955287933,-0.03218913823366165,0.038476954521603025
clean,id0489_GTready_crop,id0489,crop,id0478_GTready_original,1.9619915052502592,0.9566381608369862,-0.14389544146808722,0.25325388675227267,-0.009744279086589813,-0.0012281188974156976,0.020769983530044556,0.02297501831951094
clean,id0489_GTready_down8k,id0489,down8k,id0478_GTready_original,4.63214643532419,-0.47251689019147697,0.5623393142904993,-0.6786031860277895,0.02867000363767147,0.0013139531947672367,-0.024758026003837585,0.03790323776656596
clean,id0489_GTready_noisy,id0489,noisy,id0478_GTready_original,2.9781197073713646,-0.2091868400296655,-0.6317866084782305,0.7463823063993266,0.008211221545934677,0.008659111335873604,-0.00286254589445889,0.01227185957389344
