scenario,pair_index,pair_type,subject_a,topology_a,sample_name_a,subject_b,topology_b,sample_name_b,gt_distance,latent_distance,raw_chamfer,rigid_registered_chamfer,cpd_registered_chamfer
translation,20,same_subject,id0485,down8k,id0485_GTready_down8k,id0485,noisy,id0485_GTready_noisy,0.0,0.14553555846214294,0.0009804420405998826,0.0005272265989333391,0.009494155645370483
translation,21,same_subject,id0485,down8k,id0485_GTready_down8k,id0485,original,id0485_GTready_original,0.0,0.11780594289302826,0.0014257715083658695,0.0008661610772833228,0.009333550930023193
translation,22,same_subject,id0485,down8k,id0485_GTready_down8k,id0485,remesh,id0485_GTready_remesh,0.0,0.1518237292766571,0.001773440046235919,0.0014547735918313265,0.012786107137799263
translation,23,same_subject,id0485,down8k,id0485_GTready_down8k,id0485,up60k,id0485_GTready_up60k,0.0,0.07771824300289154,0.0004421417834237218,0.0004914073506370187,0.005606174003332853
translation,24,same_subject,id0485,noisy,id0485_GTready_noisy,id0485,original,id0485_GTready_original,0.0,0.08081839233636856,0.00015529023949056864,0.0003607524558901787,0.010730561800301075
translation,25,same_subject,id0485,noisy,id0485_GTready_noisy,id0485,remesh,id0485_GTready_remesh,0.0,0.1961398422718048,0.000832387013360858,0.0006364189321175218,0.008613470941781998
translation,26,same_subject,id0485,noisy,id0485_GTready_noisy,id0485,up60k,id0485_GTready_up60k,0.0,0.15885968506336212,0.0005718609318137169,0.0002682464837562293,0.007910983636975288
translation,27,same_subject,id0485,original,id0485_GTready_original,id0485,remesh,id0485_GTready_remesh,0.0,0.1778542548418045,0.0009518119040876627,0.0005273436545394361,0.011179329827427864
translation,28,same_subject,id0485,original,id0485_GTready_original,id0485,up60k,id0485_GTready_up60k,0.0,0.13120590150356293,0.0008129029884003103,0.00041468668496236205,0.01997464895248413
translation,29,same_subject,id0485,remesh,id0485_GTready_remesh,id0485,up60k,id0485_GTready_up60k,0.0,0.09939819574356079,0.000645361898932606,0.0005843144608661532,0.004505876451730728
translation,30,same_subject,id0489,crop,id0489_GTready_crop,id0489,down8k,id0489_GTready_down8k,0.0,0.23909246921539307,0.014917613938450813,0.015299716964364052,0.015082404017448425
translation,31,same_subject,id0489,crop,id0489_GTready_crop,id0489,noisy,id0489_GTready_noisy,0.0,0.303539901971817,0.00874922052025795,0.011545870453119278,0.007049816660583019
translation,32,same_subject,id0489,crop,id0489_GTready_crop,id0489,original,id0489_GTready_original,0.0,0.24136094748973846,0.008610006421804428,0.006526934914290905,0.006155653856694698
translation,33,same_subject,id0489,crop,id0489_GTready_crop,id0489,remesh,id0489_GTready_remesh,0.0,0.2526775002479553,0.007922505959868431,0.004510830156505108,0.008658798411488533
translation,34,same_subject,id0489,crop,id0489_GTready_crop,id0489,up60k,id0489_GTready_up60k,0.0,0.2464842051267624,0.01256178505718708,0.01457215379923582,0.020637841895222664
translation,35,same_subject,id0489,down8k,id0489_GTready_down8k,id0489,noisy,id0489_GTready_noisy,0.0,0.18025244772434235,0.0008307264070026577,0.0003953773993998766,0.008490541018545628
translation,36,same_subject,id0489,down8k,id0489_GTready_down8k,id0489,original,id0489_GTready_original,0.0,0.12538489699363708,0.0013246963499113917,0.0003471607342362404,0.006066703237593174
translation,37,same_subject,id0489,down8k,id0489_GTready_down8k,id0489,remesh,id0489_GTready_remesh,0.0,0.14026187360286713,0.00206607673317194,0.001690434291958809,0.005985668860375881
translation,38,same_subject,id0489,down8k,id0489_GTready_down8k,id0489,up60k,id0489_GTready_up60k,0.0,0.06335090845823288,0.0003138402826152742,0.00024149184173438698,0.009191634133458138
translation,39,same_subject,id0489,noisy,id0489_GTready_noisy,id0489,original,id0489_GTready_original,0.0,0.10424702614545822,0.0001839703181758523,0.00047609058674424887,0.003798090387135744
translation,40,same_subject,id0489,noisy,id0489_GTready_noisy,id0489,remesh,id0489_GTready_remesh,0.0,0.17678363621234894,0.0009501560125499964,0.0011767077958211303,0.006130250170826912
translation,41,same_subject,id0489,noisy,id0489_GTready_noisy,id0489,up60k,id0489_GTready_up60k,0.0,0.18385019898414612,0.0005736807361245155,0.0002954511728603393,0.0070753018371760845
translation,42,same_subject,id0489,original,id0489_GTready_original,id0489,remesh,id0489_GTready_remesh,0.0,0.13303597271442413,0.0007012540590949357,0.0007371567189693451,0.019340205937623978
translation,43,same_subject,id0489,original,id0489_GTready_original,id0489,up60k,id0489_GTready_up60k,0.0,0.13182410597801208,0.0007643674616701901,8.838571375235915e-05,0.004187333397567272
translation,44,same_subject,id0489,remesh,id0489_GTready_remesh,id0489,up60k,id0489_GTready_up60k,0.0,0.10284128785133362,0.0009943366749212146,0.0006568154785782099,0.003915054257959127
translation,45,different_subject,id0478,crop,id0478_GTready_crop,id0485,down8k,id0485_GTready_down8k,0.34237438440322876,0.4695044755935669,0.017314083874225616,0.05947083979845047,0.006974771153181791
translation,46,different_subject,id0478,crop,id0478_GTready_crop,id0485,noisy,id0485_GTready_noisy,0.34237438440322876,0.4573661684989929,0.010140319354832172,0.012004312127828598,0.008173121139407158
translation,47,different_subject,id0478,crop,id0478_GTready_crop,id0485,original,id0485_GTready_original,0.34237438440322876,0.47111254930496216,0.01072754431515932,0.00845327042043209,0.0062259892001748085
translation,48,different_subject,id0478,crop,id0478_GTready_crop,id0485,remesh,id0485_GTready_remesh,0.34237438440322876,0.5119596719741821,0.011761513538658619,0.00886213593184948,0.014794813469052315
translation,49,different_subject,id0478,crop,id0478_GTready_crop,id0485,up60k,id0485_GTready_up60k,0.34237438440322876,0.48931124806404114,0.014368143863976002,0.013340801000595093,0.0071589089930057526
