epoch,batch,geo,rank,var,smooth,total,latent_w,rank_w,lambda_smooth,L_lat
1,0,1.803600,0.035207,1.787054,0.000000,1.988838,0.1000,0.00100,0.0300,1.787089
1,1,1.800961,0.030789,1.689170,0.000000,1.974744,0.1000,0.00100,0.0300,1.689201
1,2,1.817699,0.015625,1.846145,0.000000,1.993034,0.1000,0.00100,0.0300,1.846161
1,3,1.805485,0.018564,1.764872,0.000000,1.979425,0.1000,0.00100,0.0300,1.764890
1,4,1.801588,0.012017,1.536888,0.000000,1.957368,0.1000,0.00100,0.0300,1.536900
1,5,1.795291,0.007145,1.713052,0.000000,1.973844,0.1000,0.00100,0.0300,1.713059
1,6,1.793119,0.009906,1.616295,0.000000,1.962166,0.1000,0.00100,0.0300,1.616305
1,7,1.804035,0.017044,1.662231,0.000000,1.967795,0.1000,0.00100,0.0300,1.662248
1,8,1.794697,0.021619,1.651278,0.000000,1.963642,0.1000,0.00100,0.0300,1.651299
1,9,1.790333,0.010886,1.615227,0.000000,1.953820,0.1000,0.00100,0.0300,1.615238
1,10,1.783616,0.024466,1.520244,0.000000,1.937785,0.1000,0.00100,0.0300,1.520268
1,11,1.784849,0.042285,1.665783,0.000000,1.954239,0.1000,0.00100,0.0300,1.665825
1,12,1.782550,0.019318,1.536929,0.000000,1.936525,0.1000,0.00100,0.0300,1.536948
1,13,1.782510,0.009336,1.715273,0.000000,1.948412,0.1000,0.00100,0.0300,1.715282
1,14,1.772283,0.027394,1.625447,0.000000,1.931877,0.1000,0.00100,0.0300,1.625475
1,15,1.756887,0.015052,1.721315,0.000000,1.934216,0.1000,0.00100,0.0300,1.721330
1,16,1.755193,0.022050,1.589633,0.000000,1.913402,0.1000,0.00100,0.0300,1.589655
1,17,1.748521,0.018427,1.616830,0.000000,1.904887,0.1000,0.00100,0.0300,1.616848
1,18,1.728870,0.026565,1.707037,0.000000,1.901240,0.1000,0.00100,0.0300,1.707064
1,19,1.718356,0.035402,1.654168,0.000000,1.880577,0.1000,0.00100,0.0300,1.654203
1,20,1.702390,0.026484,1.504437,0.000000,1.850365,0.1000,0.00100,0.0300,1.504463
1,21,1.682628,0.031463,1.657066,0.000000,1.845507,0.1000,0.00100,0.0300,1.657098
1,22,1.664094,0.023932,1.530415,0.000000,1.812198,0.1000,0.00100,0.0300,1.530439
