F,wbse,within_mean,within_std,within_cv,between_mean,n_subjects,type,compare,F1,F2
1.0,1.6877790465725058,89329.37446740129,22125.24751370234,4.037440684542801,174305.58449027248,99,inter,F,,
2.0,1.8919743007718341,63362.72239955748,14750.992018683753,4.295488894530051,162918.627361539,99,inter,F,,
3.0,2.020005596200308,52296.15843141039,14260.274698616957,3.6672616437383474,158437.56238209442,99,inter,F,,
,2.328523457059752,35070.073889908905,,,155648.89552353363,99,intra,F1_vs_F2,1.0,2.0
,2.3681358765394602,32047.929784184576,,,154854.26388281328,99,intra,F1_vs_F2,1.0,3.0
,2.5474738880138155,17631.482013501136,,,152905.44556296812,99,intra,F1_vs_F2,2.0,3.0
