scenario,pair_index,pair_type,subject_a,topology_a,sample_name_a,subject_b,topology_b,sample_name_b,gt_distance,latent_distance,raw_chamfer,rigid_registered_chamfer,nicp_correspondence,cpd_registered_chamfer
translation,0,same_subject,id0051,crop,id0051_GTready_crop,id0051,down8k,id0051_GTready_down8k,0.0,0.23146632313728333,0.005399825982749462,0.003925413824617863,0.10266645654188704,nan
translation,1,same_subject,id0051,crop,id0051_GTready_crop,id0051,noisy,id0051_GTready_noisy,0.0,0.22590741515159607,0.0015244977548718452,0.0008079414837993681,0.08795449410769623,nan
translation,2,same_subject,id0051,crop,id0051_GTready_crop,id0051,original,id0051_GTready_original,0.0,0.232702374458313,0.0017436787020415068,0.0012115121353417635,0.08363745423384167,nan
translation,3,same_subject,id0051,crop,id0051_GTready_crop,id0051,remesh,id0051_GTready_remesh,0.0,0.21461038291454315,0.003123864997178316,0.0026781305205076933,0.0982915219281838,nan
translation,4,same_subject,id0051,crop,id0051_GTready_crop,id0051,up60k,id0051_GTready_up60k,0.0,0.2282053679227829,0.003242362989112735,0.0021567069925367832,0.09959788311129017,nan
translation,5,same_subject,id0051,down8k,id0051_GTready_down8k,id0051,noisy,id0051_GTready_noisy,0.0,0.166563019156456,0.0018474676180630922,0.0015163386706262827,0.09520421285798689,nan
translation,6,same_subject,id0051,down8k,id0051_GTready_down8k,id0051,original,id0051_GTready_original,0.0,0.15679802000522614,0.0026472476311028004,0.001443278044462204,0.09132581428386691,nan
translation,7,same_subject,id0051,down8k,id0051_GTready_down8k,id0051,remesh,id0051_GTready_remesh,0.0,0.17592032253742218,0.0016028499230742455,0.001217242912389338,0.09193810219807397,nan
translation,8,same_subject,id0051,down8k,id0051_GTready_down8k,id0051,up60k,id0051_GTready_up60k,0.0,0.07245630770921707,0.000728757819160819,0.0008716639713384211,0.09374697925491071,nan
translation,9,same_subject,id0051,noisy,id0051_GTready_noisy,id0051,original,id0051_GTready_original,0.0,0.10421338677406311,0.00020764369401149452,0.00023958463862072676,0.08607335558882002,nan
translation,10,same_subject,id0051,noisy,id0051_GTready_noisy,id0051,remesh,id0051_GTready_remesh,0.0,0.2152193933725357,0.0014723541680723429,0.00048740056809037924,0.09387542333778222,nan
translation,11,same_subject,id0051,noisy,id0051_GTready_noisy,id0051,up60k,id0051_GTready_up60k,0.0,0.153253972530365,0.0007460956694558263,0.00022561452351510525,0.08614519921827607,nan
translation,12,same_subject,id0051,original,id0051_GTready_original,id0051,remesh,id0051_GTready_remesh,0.0,0.2375166118144989,0.0022619832307100296,0.00038201926508918405,0.08760473860118367,nan
translation,13,same_subject,id0051,original,id0051_GTready_original,id0051,up60k,id0051_GTready_up60k,0.0,0.15916216373443604,0.0011813505552709103,0.0006569368997588754,0.08819813081814724,nan
translation,14,same_subject,id0051,remesh,id0051_GTready_remesh,id0051,up60k,id0051_GTready_up60k,0.0,0.1533229798078537,0.0005898823728784919,0.0003287959552835673,0.09348163244919447,nan
translation,15,same_subject,id0059,crop,id0059_GTready_crop,id0059,down8k,id0059_GTready_down8k,0.0,0.25418439507484436,0.012799570336937904,0.010690657421946526,0.11797418191647246,nan
translation,16,same_subject,id0059,crop,id0059_GTready_crop,id0059,noisy,id0059_GTready_noisy,0.0,0.23903898894786835,0.0070039075799286366,0.006412949413061142,0.10098608646615469,nan
translation,17,same_subject,id0059,crop,id0059_GTready_crop,id0059,original,id0059_GTready_original,0.0,0.240553617477417,0.0067621441558003426,0.005580432713031769,0.10904489794286934,nan
translation,18,same_subject,id0059,crop,id0059_GTready_crop,id0059,remesh,id0059_GTready_remesh,0.0,0.28423190116882324,0.007062483578920364,0.009543659165501595,0.11234441620862709,nan
translation,19,same_subject,id0059,crop,id0059_GTready_crop,id0059,up60k,id0059_GTready_up60k,0.0,0.2647015452384949,0.00986137893050909,0.00673314742743969,0.12139722159468058,nan
translation,20,same_subject,id0059,down8k,id0059_GTready_down8k,id0059,noisy,id0059_GTready_noisy,0.0,0.11937283724546432,0.0009152244892902672,0.0006890511722303927,0.08681756795440831,nan
translation,21,same_subject,id0059,down8k,id0059_GTready_down8k,id0059,original,id0059_GTready_original,0.0,0.11741629987955093,0.0015268053393810987,0.000371214235201478,0.07452503611698705,nan
translation,22,same_subject,id0059,down8k,id0059_GTready_down8k,id0059,remesh,id0059_GTready_remesh,0.0,0.14069640636444092,0.0021561533212661743,0.0016836212016642094,0.08774764798666487,nan
translation,23,same_subject,id0059,down8k,id0059_GTready_down8k,id0059,up60k,id0059_GTready_up60k,0.0,0.07496102899312973,0.0005370485596358776,0.0003495448618195951,0.08114282978322054,nan
translation,24,same_subject,id0059,noisy,id0059_GTready_noisy,id0059,original,id0059_GTready_original,0.0,0.05637182667851448,0.000200927461264655,0.0002114449453074485,0.07882643976950479,nan
translation,25,same_subject,id0059,noisy,id0059_GTready_noisy,id0059,remesh,id0059_GTready_remesh,0.0,0.13951215147972107,0.0008142206352204084,0.0006302904803305864,0.08117654513555257,nan
translation,26,same_subject,id0059,noisy,id0059_GTready_noisy,id0059,up60k,id0059_GTready_up60k,0.0,0.10569976270198822,0.0003410865319892764,0.00020701233006548136,0.08760855186532854,nan
translation,27,same_subject,id0059,original,id0059_GTready_original,id0059,remesh,id0059_GTready_remesh,0.0,0.1590936779975891,0.0010849772952497005,0.00104491354431957,0.08456815159385576,nan
translation,28,same_subject,id0059,original,id0059_GTready_original,id0059,up60k,id0059_GTready_up60k,0.0,0.11306315660476685,0.0006652235751971602,0.00043716569780372083,0.08401715321720553,nan
translation,29,same_subject,id0059,remesh,id0059_GTready_remesh,id0059,up60k,id0059_GTready_up60k,0.0,0.09869862347841263,0.0007362422766163945,0.0008384992834180593,0.08810537549625437,nan
translation,30,same_subject,id0068,crop,id0068_GTready_crop,id0068,down8k,id0068_GTready_down8k,0.0,0.2865406274795532,0.014747505076229572,0.011184513568878174,0.11821392010382767,nan
translation,31,same_subject,id0068,crop,id0068_GTready_crop,id0068,noisy,id0068_GTready_noisy,0.0,0.28578826785087585,0.009085923433303833,0.012944702059030533,0.12516742406521006,nan
translation,32,same_subject,id0068,crop,id0068_GTready_crop,id0068,original,id0068_GTready_original,0.0,0.27055200934410095,0.009607534855604172,0.008363872766494751,0.10740374775589456,nan
translation,33,same_subject,id0068,crop,id0068_GTready_crop,id0068,remesh,id0068_GTready_remesh,0.0,0.3287409842014313,0.009334314614534378,0.011678424663841724,0.11136224188319119,nan
translation,34,same_subject,id0068,crop,id0068_GTready_crop,id0068,up60k,id0068_GTready_up60k,0.0,0.2904701232910156,0.012799825519323349,0.015978077426552773,0.12459627771187166,nan
translation,35,same_subject,id0068,down8k,id0068_GTready_down8k,id0068,noisy,id0068_GTready_noisy,0.0,0.10846995562314987,0.0006474572001025081,0.0005892173503525555,0.08209445941960519,nan
translation,36,same_subject,id0068,down8k,id0068_GTready_down8k,id0068,original,id0068_GTready_original,0.0,0.11125870048999786,0.000984648708254099,0.00045091327046975493,0.08616097653833216,nan
translation,37,same_subject,id0068,down8k,id0068_GTready_down8k,id0068,remesh,id0068_GTready_remesh,0.0,0.13726277649402618,0.002031729556620121,0.0017179336864501238,0.09507584738248628,nan
translation,38,same_subject,id0068,down8k,id0068_GTready_down8k,id0068,up60k,id0068_GTready_up60k,0.0,0.08857995271682739,0.0004836682346649468,0.00022870971588417888,0.08543408100412567,nan
translation,39,same_subject,id0068,noisy,id0068_GTready_noisy,id0068,original,id0068_GTready_original,0.0,0.0710143893957138,0.00017837106133811176,0.0002488704049028456,0.08490047695819794,nan
translation,40,same_subject,id0068,noisy,id0068_GTready_noisy,id0068,remesh,id0068_GTready_remesh,0.0,0.14137360453605652,0.0009244803222827613,0.0007655728259123862,0.09084497793343298,nan
translation,41,same_subject,id0068,noisy,id0068_GTready_noisy,id0068,up60k,id0068_GTready_up60k,0.0,0.12289576977491379,0.00045312909060157835,0.0001778162259142846,0.07979346306342001,nan
translation,42,same_subject,id0068,original,id0068_GTready_original,id0068,remesh,id0068_GTready_remesh,0.0,0.14924529194831848,0.0008619003929197788,0.0007826813380233943,0.08511633533806384,nan
translation,43,same_subject,id0068,original,id0068_GTready_original,id0068,up60k,id0068_GTready_up60k,0.0,0.11234714090824127,0.0005551064386963844,0.00010030690464191139,0.08738017953332435,nan
translation,44,same_subject,id0068,remesh,id0068_GTready_remesh,id0068,up60k,id0068_GTready_up60k,0.0,0.09095893800258636,0.0007445826195180416,0.0006280477391555905,0.08729493548007954,nan
translation,45,same_subject,id0084,crop,id0084_GTready_crop,id0084,down8k,id0084_GTready_down8k,0.0,0.20402252674102783,0.012738221324980259,0.008429078385233879,0.10903370279020533,nan
translation,46,same_subject,id0084,crop,id0084_GTready_crop,id0084,noisy,id0084_GTready_noisy,0.0,0.22708295285701752,0.007724827155470848,0.00579864252358675,0.11279510652635275,nan
translation,47,same_subject,id0084,crop,id0084_GTready_crop,id0084,original,id0084_GTready_original,0.0,0.1991482973098755,0.007773043587803841,0.011571456678211689,0.12148322238429071,nan
translation,48,same_subject,id0084,crop,id0084_GTready_crop,id0084,remesh,id0084_GTready_remesh,0.0,0.19252866506576538,0.007364447228610516,0.009142639115452766,0.12200908788601811,nan
translation,49,same_subject,id0084,crop,id0084_GTready_crop,id0084,up60k,id0084_GTready_up60k,0.0,0.19908052682876587,0.010342232882976532,0.008013474754989147,0.12035584679347844,nan
translation,50,same_subject,id0084,down8k,id0084_GTready_down8k,id0084,noisy,id0084_GTready_noisy,0.0,0.17628565430641174,0.0006064159097149968,0.0003117427695542574,0.07447888334576189,nan
translation,51,same_subject,id0084,down8k,id0084_GTready_down8k,id0084,original,id0084_GTready_original,0.0,0.14713726937770844,0.001035767956636846,0.00041579885873943567,0.0786662868433855,nan
translation,52,same_subject,id0084,down8k,id0084_GTready_down8k,id0084,remesh,id0084_GTready_remesh,0.0,0.14194883406162262,0.0018070118967443705,0.0017681850586086512,0.09475703784305406,nan
translation,53,same_subject,id0084,down8k,id0084_GTready_down8k,id0084,up60k,id0084_GTready_up60k,0.0,0.06834764778614044,0.0003765615401789546,0.00029925067792646587,0.08402567653891227,nan
translation,54,same_subject,id0084,noisy,id0084_GTready_noisy,id0084,original,id0084_GTready_original,0.0,0.10484394431114197,0.00017546059098094702,0.00017395944450981915,0.07570324045878365,nan
translation,55,same_subject,id0084,noisy,id0084_GTready_noisy,id0084,remesh,id0084_GTready_remesh,0.0,0.15175659954547882,0.0008026740979403257,0.0008795421454124153,0.08838810749126369,nan
translation,56,same_subject,id0084,noisy,id0084_GTready_noisy,id0084,up60k,id0084_GTready_up60k,0.0,0.1510305106639862,0.00031442538602277637,0.0002525574527680874,0.07929902504172273,nan
translation,57,same_subject,id0084,original,id0084_GTready_original,id0084,remesh,id0084_GTready_remesh,0.0,0.13164319097995758,0.0008280178299173713,0.0008385051041841507,0.07802685850105129,nan
translation,58,same_subject,id0084,original,id0084_GTready_original,id0084,up60k,id0084_GTready_up60k,0.0,0.12014850229024887,0.0004934410098940134,0.00015096573042683303,0.07726869438413665,nan
