epoch,train_loss,val_loss,train_l1,val_l1,train_normal,val_normal,train_laplacian,current_lr
1,0.736301,0.273002,0.161695,0.016209,0.378468,0.064096,0.980688,0.963488,1.0e-04
2,0.244587,0.231600,0.007952,0.007539,0.045258,0.033716,0.956887,0.951725,1.0e-04
3,0.226155,0.221362,0.008512,0.008120,0.028135,0.024366,0.947541,0.944382,1.0e-04
4,0.215641,0.213152,0.005951,0.006186,0.021496,0.019356,0.940968,0.938049,1.0e-04
5,0.210242,0.208706,0.005966,0.006487,0.017424,0.015923,0.934259,0.931482,1.0e-04
6,0.208446,0.207873,0.008331,0.009197,0.014608,0.013682,0.927531,0.924971,1.0e-04
7,0.204649,0.203018,0.007848,0.007448,0.012629,0.011915,0.920861,0.918273,1.0e-04
8,0.201395,0.199171,0.007513,0.006430,0.011088,0.010535,0.913967,0.911031,1.0e-04
9,0.197963,0.197345,0.006781,0.007212,0.009787,0.009346,0.906978,0.903937,1.0e-04
10,0.194474,0.195024,0.005769,0.007407,0.008754,0.008435,0.899755,0.895911,1.0e-04
11,0.192469,0.191130,0.006289,0.005977,0.007844,0.007547,0.891680,0.888030,1.0e-04
12,0.190404,0.187701,0.006706,0.005109,0.007083,0.006827,0.883073,0.878826,1.0e-04
13,0.187860,0.188697,0.006884,0.008792,0.006396,0.006241,0.872901,0.868318,1.0e-04
14,0.184707,0.185339,0.006595,0.008484,0.005806,0.005605,0.861528,0.856247,1.0e-04
15,0.181584,0.179903,0.006538,0.006248,0.005306,0.005209,0.848700,0.842229,1.0e-04
