scenario,reference_metric,jitter_sigma,rotation_sigma,translation_sigma,rotation_angle_max_deg,translation_axis_std,latent_spearman,chamfer_spearman,delta_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,n_subjects,n_samples,n_pairs,n_mesh_pairs,n_subject_pairs
clean,gt_vertex_mean_l2,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000,0.575031,0.514582,0.060448,0.597241,0.549931,0.047310,1,35,70,595,1190,595
jitter,gt_vertex_mean_l2,2.000000e-01,0.000000e+00,0.000000e+00,0.000000,0.000000,0.326332,0.498846,-0.172514,0.356700,0.554975,-0.198275,0,35,70,595,1190,595
