scenario,reference_metric,jitter_sigma,rotation_sigma,translation_sigma,rotation_angle_max_deg,translation_axis_std,latent_spearman,chamfer_spearman,delta_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,n_subjects,n_samples,n_pairs,n_mesh_pairs,n_subject_pairs
clean,gt_vertex_mean_l2,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000,0.575304,0.514582,0.060722,0.597577,0.549931,0.047646,1,35,70,595,1190,595
mixed,gt_vertex_mean_l2,2.000000e-02,2.000000e-02,2.000000e-02,1.400000,0.003000,0.574915,0.578568,-0.003654,0.594674,0.610466,-0.015792,0,35,70,595,1190,595
