F,wbse,within_mean,between_mean,n_subjects,type,compare,F1,F2
1.0,0.3763226125984841,0.10009141179856568,0.12405713705925918,99,inter,F,,
3.0,0.7481011805761535,0.059348173443083005,0.09622738973230915,99,inter,F,,
5.0,0.9388319138849858,0.045542169924829894,0.08776492072017372,99,inter,F,,
10.0,1.1426946201681956,0.033129720673072516,0.0796199418671461,99,inter,F,,
15.0,1.2562625040037307,0.026991830290336204,0.07672727161912783,99,inter,F,,
,0.9735429284530568,0.04191827279689228,0.08558805757840665,99,intra,F1_vs_F2,1.0,3.0
,1.017221040498264,0.03944403562006987,0.08488265104005956,99,intra,F1_vs_F2,1.0,5.0
,1.0744996044769326,0.03630591236889228,0.08249924071916033,99,intra,F1_vs_F2,1.0,10.0
,1.0865689477012506,0.03563442049463977,0.08221459063331348,99,intra,F1_vs_F2,1.0,15.0
,1.2830984208055394,0.026162035084587282,0.08111788405154123,99,intra,F1_vs_F2,3.0,5.0
,1.3995561502105043,0.02093055281464704,0.07852141280027516,99,intra,F1_vs_F2,3.0,10.0
,1.4124743571141993,0.020365929230156968,0.07825873602834336,99,intra,F1_vs_F2,3.0,15.0
,1.4789623013378361,0.017208761733213167,0.07566598292040393,99,intra,F1_vs_F2,5.0,10.0
,1.524583419165061,0.015480856627078765,0.07540315617857213,99,intra,F1_vs_F2,5.0,15.0
,1.677296291093503,0.009305996562476096,0.07409814806123638,99,intra,F1_vs_F2,10.0,15.0
