F1,F2,wbse,within_mean,between_mean,n_subjects
1,3,0.9735429284530568,0.04191827279689228,0.08558805757840665,99
1,5,1.017221040498264,0.03944403562006987,0.08488265104005956,99
1,10,1.0744996044769326,0.03630591236889228,0.08249924071916033,99
1,15,1.0865689477012506,0.03563442049463977,0.08221459063331348,99
3,5,1.2830984208055394,0.026162035084587282,0.08111788405154123,99
3,10,1.3995561502105043,0.02093055281464704,0.07852141280027516,99
3,15,1.4124743571141993,0.020365929230156968,0.07825873602834336,99
5,10,1.4789623013378361,0.017208761733213167,0.07566598292040393,99
5,15,1.524583419165061,0.015480856627078765,0.07540315617857213,99
10,15,1.677296291093503,0.009305996562476096,0.07409814806123638,99
