epoch,sigma,is_clean,spearman,pearson,ratio,gate_mean,intra_mean,n_eval
2,0.0,1,0.677998,0.688067,1.0,nan,1.409808e-06,16
2,1.00000000e-03,0,0.680337,0.689863,1.003449,nan,1.411166e-06,16
2,2.51188643e-03,0,0.678369,0.687935,1.000546,nan,1.409825e-06,16
2,6.30957344e-03,0,0.678378,0.686983,1.000560,nan,1.407648e-06,16
2,1.58489319e-02,0,0.675755,0.685024,0.996691,nan,1.413001e-06,16
2,3.98107171e-02,0,0.677853,0.690164,0.999785,nan,1.476281e-06,16
2,1.00000000e-01,0,0.615723,0.620746,0.908149,nan,1.913717e-06,16
4,0.0,1,0.698583,0.729245,1.0,nan,1.670305e-06,16
4,1.00000000e-03,0,0.693287,0.725962,0.992418,nan,1.672248e-06,16
4,2.51188643e-03,0,0.698708,0.729350,1.000179,nan,1.674541e-06,16
4,6.30957344e-03,0,0.698303,0.729294,0.999599,nan,1.674808e-06,16
4,1.58489319e-02,0,0.696421,0.726349,0.996905,nan,1.687374e-06,16
4,3.98107171e-02,0,0.683932,0.719637,0.979027,nan,1.769698e-06,16
4,1.00000000e-01,0,0.661356,0.684803,0.946711,nan,2.238213e-06,16
6,0.0,1,0.708980,0.731287,1.0,nan,2.532557e-06,16
6,1.00000000e-03,0,0.710735,0.731849,1.002475,nan,2.537684e-06,16
6,2.51188643e-03,0,0.709533,0.730481,1.000780,nan,2.533590e-06,16
6,6.30957344e-03,0,0.707190,0.729423,0.997476,nan,2.539196e-06,16
6,1.58489319e-02,0,0.711906,0.734597,1.004127,nan,2.544282e-06,16
6,3.98107171e-02,0,0.709521,0.732936,1.000764,nan,2.694375e-06,16
6,1.00000000e-01,0,0.708711,0.731191,0.999621,nan,3.184327e-06,16
8,0.0,1,0.731766,0.759452,1.0,nan,2.627483e-06,16
8,1.00000000e-03,0,0.732255,0.759401,1.000668,nan,2.634051e-06,16
8,2.51188643e-03,0,0.732093,0.760375,1.000446,nan,2.632066e-06,16
8,6.30957344e-03,0,0.730298,0.758594,0.997994,nan,2.625886e-06,16
8,1.58489319e-02,0,0.726655,0.755967,0.993015,nan,2.641273e-06,16
8,3.98107171e-02,0,0.721888,0.747304,0.986501,nan,2.741780e-06,16
8,1.00000000e-01,0,0.679330,0.704749,0.928343,nan,3.490895e-06,16
10,0.0,1,0.710348,0.746024,1.0,nan,3.016211e-06,16
10,1.00000000e-03,0,0.708494,0.744167,0.997390,nan,3.010854e-06,16
10,2.51188643e-03,0,0.709903,0.747102,0.999374,nan,3.011491e-06,16
10,6.30957344e-03,0,0.709058,0.745967,0.998185,nan,3.028884e-06,16
10,1.58489319e-02,0,0.710700,0.744897,1.000495,nan,3.052125e-06,16
10,3.98107171e-02,0,0.702968,0.739991,0.989611,nan,3.150007e-06,16
10,1.00000000e-01,0,0.683427,0.725621,0.962102,nan,3.901840e-06,16
12,0.0,1,0.688694,0.724653,1.0,nan,4.198894e-06,16
12,1.00000000e-03,0,0.690647,0.724771,1.002837,nan,4.203729e-06,16
12,2.51188643e-03,0,0.688620,0.723058,0.999892,nan,4.200528e-06,16
12,6.30957344e-03,0,0.688687,0.724396,0.999990,nan,4.192467e-06,16
12,1.58489319e-02,0,0.688439,0.724059,0.999630,nan,4.247558e-06,16
12,3.98107171e-02,0,0.677350,0.715705,0.983529,nan,4.373789e-06,16
12,1.00000000e-01,0,0.661680,0.686919,0.960776,nan,5.258131e-06,16
14,0.0,1,0.716189,0.748441,1.0,nan,4.627365e-06,16
14,1.00000000e-03,0,0.714943,0.747696,0.998261,nan,4.634794e-06,16
14,2.51188643e-03,0,0.715339,0.749346,0.998814,nan,4.637580e-06,16
14,6.30957344e-03,0,0.714388,0.746964,0.997485,nan,4.642484e-06,16
14,1.58489319e-02,0,0.713124,0.747714,0.995720,nan,4.663563e-06,16
14,3.98107171e-02,0,0.716388,0.749082,1.000278,nan,4.874748e-06,16
14,1.00000000e-01,0,0.682154,0.726835,0.952478,nan,5.790848e-06,16
16,0.0,1,0.721376,0.746667,1.0,nan,5.530948e-06,16
16,1.00000000e-03,0,0.720538,0.745966,0.998838,nan,5.552461e-06,16
16,2.51188643e-03,0,0.721270,0.746854,0.999852,nan,5.553557e-06,16
16,6.30957344e-03,0,0.721930,0.748286,1.000767,nan,5.555570e-06,16
16,1.58489319e-02,0,0.719365,0.744275,0.997211,nan,5.584868e-06,16
16,3.98107171e-02,0,0.718425,0.746215,0.995908,nan,5.772209e-06,16
16,1.00000000e-01,0,0.682767,0.707339,0.946478,nan,6.840458e-06,16
18,0.0,1,0.705348,0.725266,1.0,nan,6.364610e-06,16
18,1.00000000e-03,0,0.705880,0.725228,1.000755,nan,6.369963e-06,16
18,2.51188643e-03,0,0.706551,0.724188,1.001707,nan,6.373219e-06,16
18,6.30957344e-03,0,0.705072,0.723078,0.999609,nan,6.363433e-06,16
18,1.58489319e-02,0,0.697812,0.720796,0.989317,nan,6.358933e-06,16
18,3.98107171e-02,0,0.693435,0.714652,0.983111,nan,6.611102e-06,16
18,1.00000000e-01,0,0.666958,0.689300,0.945574,nan,7.834811e-06,16
20,0.0,1,0.697000,0.718019,1.0,nan,6.843686e-06,16
20,1.00000000e-03,0,0.693437,0.717042,0.994888,nan,6.863989e-06,16
20,2.51188643e-03,0,0.697298,0.718732,1.000428,nan,6.867428e-06,16
20,6.30957344e-03,0,0.693928,0.718589,0.995593,nan,6.874881e-06,16
20,1.58489319e-02,0,0.693643,0.716983,0.995184,nan,6.918895e-06,16
20,3.98107171e-02,0,0.692706,0.713916,0.993839,nan,7.205781e-06,16
20,1.00000000e-01,0,0.657293,0.675697,0.943032,nan,8.453089e-06,16
22,0.0,1,0.681679,0.716801,1.0,nan,7.556440e-06,16
22,1.00000000e-03,0,0.682362,0.717847,1.001002,nan,7.579213e-06,16
22,2.51188643e-03,0,0.682422,0.715909,1.001090,nan,7.573018e-06,16
22,6.30957344e-03,0,0.685543,0.720930,1.005668,nan,7.589416e-06,16
22,1.58489319e-02,0,0.682374,0.716427,1.001019,nan,7.609975e-06,16
22,3.98107171e-02,0,0.671267,0.709568,0.984725,nan,7.861728e-06,16
22,1.00000000e-01,0,0.662044,0.700853,0.971195,nan,9.178297e-06,16
24,0.0,1,0.692798,0.710542,1.0,nan,7.247931e-06,16
24,1.00000000e-03,0,0.691354,0.710445,0.997915,nan,7.288703e-06,16
24,2.51188643e-03,0,0.691854,0.710117,0.998637,nan,7.269830e-06,16
24,6.30957344e-03,0,0.688576,0.708935,0.993905,nan,7.278849e-06,16
24,1.58489319e-02,0,0.687742,0.709125,0.992702,nan,7.363533e-06,16
24,3.98107171e-02,0,0.665252,0.690268,0.960240,nan,7.553092e-06,16
24,1.00000000e-01,0,0.640114,0.664218,0.923954,nan,9.230617e-06,16
26,0.0,1,0.715452,0.752226,1.0,nan,9.567153e-06,16
26,1.00000000e-03,0,0.718237,0.752884,1.003893,nan,9.545718e-06,16
26,2.51188643e-03,0,0.717464,0.753811,1.002812,nan,9.571569e-06,16
26,6.30957344e-03,0,0.716679,0.750920,1.001715,nan,9.567132e-06,16
26,1.58489319e-02,0,0.716957,0.751071,1.002103,nan,9.582204e-06,16
