epoch,loss,stress,rank,id,smooth,teacher,lr,spearman_clean,pearson_clean,auc_r,gate_mean_clean,gate_mean_noisy_max,spearman_noisy_max,ratio_noisy_max,intra_clean,n_eval
34,0.005050,0.005042,0.000000,0.000034,0.000000,0.000000,1.00e-04,0.744524,0.772319,0.992920,nan,nan,0.719557,0.966466,1.176655e-05,16
35,0.005121,0.005112,0.000000,0.000035,0.000000,0.000000,1.00e-04,0.744524,0.772319,0.992920,nan,nan,0.719557,0.966466,1.176655e-05,16
36,0.004921,0.004912,0.000000,0.000036,0.000000,0.000000,1.00e-04,0.741864,0.759639,0.989126,nan,nan,0.670926,0.904379,1.518457e-05,16
37,0.004629,0.004619,0.000000,0.000040,0.000000,0.000000,1.00e-04,0.741864,0.759639,0.989126,nan,nan,0.670926,0.904379,1.518457e-05,16
38,0.004616,0.004606,0.000000,0.000042,0.000000,0.000000,1.00e-04,0.714230,0.731919,0.994202,nan,nan,0.686828,0.961634,1.622845e-05,16
39,0.003859,0.003849,0.000000,0.000042,0.000000,0.000000,1.00e-04,0.714230,0.731919,0.994202,nan,nan,0.686828,0.961634,1.622845e-05,16
40,0.004667,0.004656,0.000000,0.000041,0.000000,0.000000,1.00e-04,0.711195,0.733322,0.995279,nan,nan,0.678955,0.954667,1.647577e-05,16
41,0.004648,0.004637,0.000000,0.000043,0.000000,0.000000,1.00e-04,0.711195,0.733322,0.995279,nan,nan,0.678955,0.954667,1.647577e-05,16
42,0.004858,0.004847,0.000000,0.000046,0.000000,0.000000,1.00e-04,0.727467,0.757844,0.990022,nan,nan,0.685626,0.942484,1.698190e-05,16
43,0.004496,0.004485,0.000000,0.000043,0.000000,0.000000,1.00e-04,0.727467,0.757844,0.990022,nan,nan,0.685626,0.942484,1.698190e-05,16
44,0.005488,0.005477,0.000000,0.000046,0.000000,0.000000,1.00e-04,0.766053,0.798732,0.993351,nan,nan,0.717691,0.936868,1.903439e-05,16
45,0.004828,0.004816,0.000000,0.000048,0.000000,0.000000,1.00e-04,0.766053,0.798732,0.993351,nan,nan,0.717691,0.936868,1.903439e-05,16
46,0.004400,0.004389,0.000000,0.000047,0.000000,0.000000,1.00e-04,0.740510,0.762000,0.992083,nan,nan,0.708841,0.957234,1.636488e-05,16
47,0.004544,0.004532,0.000000,0.000048,0.000000,0.000000,1.00e-04,0.740510,0.762000,0.992083,nan,nan,0.708841,0.957234,1.636488e-05,16
48,0.003946,0.003933,0.000000,0.000052,0.000000,0.000000,5.00e-05,0.726460,0.739597,0.991562,nan,nan,0.708781,0.975664,2.058610e-05,16
49,0.004216,0.004203,0.000000,0.000052,0.000000,0.000000,5.00e-05,0.726460,0.739597,0.991562,nan,nan,0.708781,0.975664,2.058610e-05,16
50,0.004133,0.004119,0.000000,0.000053,0.000000,0.000000,5.00e-05,0.748934,0.774571,0.989258,nan,nan,0.694509,0.927330,1.835154e-05,16
51,0.004098,0.004085,0.000000,0.000052,0.000000,0.000000,5.00e-05,0.748934,0.774571,0.989258,nan,nan,0.694509,0.927330,1.835154e-05,16
52,0.004202,0.004189,0.000000,0.000052,0.000000,0.000000,5.00e-05,0.746427,0.772505,0.993374,nan,nan,0.724742,0.970949,2.029186e-05,16
53,0.003981,0.003968,0.000000,0.000052,0.000000,0.000000,5.00e-05,0.746427,0.772505,0.993374,nan,nan,0.724742,0.970949,2.029186e-05,16
54,0.003873,0.003860,0.000000,0.000051,0.000000,0.000000,5.00e-05,0.763914,0.790645,0.994808,nan,nan,0.725229,0.949359,1.934822e-05,16
55,0.004232,0.004220,0.000000,0.000050,0.000000,0.000000,5.00e-05,0.763914,0.790645,0.994808,nan,nan,0.725229,0.949359,1.934822e-05,16
56,0.004222,0.004209,0.000000,0.000050,0.000000,0.000000,5.00e-05,0.762095,0.779846,0.993152,nan,nan,0.731692,0.960107,2.074569e-05,16
57,0.003586,0.003574,0.000000,0.000049,0.000000,0.000000,5.00e-05,0.762095,0.779846,0.993152,nan,nan,0.731692,0.960107,2.074569e-05,16
58,0.003516,0.003503,0.000000,0.000050,0.000000,0.000000,5.00e-05,0.768005,0.793410,0.997726,nan,nan,0.767333,0.999126,2.114002e-05,16
59,0.003731,0.003719,0.000000,0.000050,0.000000,0.000000,5.00e-05,0.768005,0.793410,0.997726,nan,nan,0.767333,0.999126,2.114002e-05,16
60,0.003509,0.003495,0.000000,0.000053,0.000000,0.000000,5.00e-05,0.756539,0.771028,0.989220,nan,nan,0.722763,0.955355,2.339480e-05,16
61,0.003532,0.003518,0.000000,0.000055,0.000000,0.000000,5.00e-05,0.756539,0.771028,0.989220,nan,nan,0.722763,0.955355,2.339480e-05,16
62,0.003871,0.003857,0.000000,0.000055,0.000000,0.000000,5.00e-05,0.766407,0.782411,0.984446,nan,nan,0.698597,0.911522,2.335406e-05,16
63,0.003766,0.003753,0.000000,0.000054,0.000000,0.000000,5.00e-05,0.766407,0.782411,0.984446,nan,nan,0.698597,0.911522,2.335406e-05,16
64,0.004186,0.004173,0.000000,0.000055,0.000000,0.000000,5.00e-05,0.762122,0.781485,0.989787,nan,nan,0.716029,0.939520,2.373125e-05,16
65,0.003509,0.003495,0.000000,0.000056,0.000000,0.000000,5.00e-05,0.762122,0.781485,0.989787,nan,nan,0.716029,0.939520,2.373125e-05,16
66,0.004431,0.004417,0.000000,0.000056,0.000000,0.000000,5.00e-05,0.771255,0.789614,0.992707,nan,nan,0.735905,0.954166,2.450965e-05,16
67,0.003539,0.003526,0.000000,0.000054,0.000000,0.000000,5.00e-05,0.771255,0.789614,0.992707,nan,nan,0.735905,0.954166,2.450965e-05,16
68,0.003742,0.003729,0.000000,0.000055,0.000000,0.000000,5.00e-05,0.764463,0.784543,0.989224,nan,nan,0.721358,0.943614,2.361810e-05,16
69,0.003876,0.003862,0.000000,0.000056,0.000000,0.000000,2.50e-05,0.764463,0.784543,0.989224,nan,nan,0.721358,0.943614,2.361810e-05,16
70,0.003433,0.003419,0.000000,0.000057,0.000000,0.000000,2.50e-05,0.775005,0.789552,0.989412,nan,nan,0.750469,0.968340,2.346022e-05,16
71,0.003259,0.003245,0.000000,0.000057,0.000000,0.000000,2.50e-05,0.775005,0.789552,0.989412,nan,nan,0.750469,0.968340,2.346022e-05,16
72,0.003416,0.003401,0.000000,0.000058,0.000000,0.000000,2.50e-05,0.788208,0.804437,0.989047,nan,nan,0.743866,0.943744,2.509560e-05,16
73,0.003644,0.003629,0.000000,0.000059,0.000000,0.000000,2.50e-05,0.788208,0.804437,0.989047,nan,nan,0.743866,0.943744,2.509560e-05,16
74,0.003597,0.003582,0.000000,0.000060,0.000000,0.000000,2.50e-05,0.800604,0.814672,0.987229,nan,nan,0.759590,0.948771,2.812763e-05,16
75,0.003631,0.003616,0.000000,0.000060,0.000000,0.000000,2.50e-05,0.800604,0.814672,0.987229,nan,nan,0.759590,0.948771,2.812763e-05,16
76,0.003488,0.003474,0.000000,0.000058,0.000000,0.000000,2.50e-05,0.782013,0.795132,0.984005,nan,nan,0.702141,0.897864,2.569535e-05,16
77,0.003398,0.003384,0.000000,0.000058,0.000000,0.000000,2.50e-05,0.782013,0.795132,0.984005,nan,nan,0.702141,0.897864,2.569535e-05,16
78,0.003778,0.003762,0.000000,0.000060,0.000000,0.000000,2.50e-05,0.759997,0.777493,0.991814,nan,nan,0.717233,0.943731,2.897854e-05,16
79,0.003594,0.003580,0.000000,0.000059,0.000000,0.000000,2.50e-05,0.759997,0.777493,0.991814,nan,nan,0.717233,0.943731,2.897854e-05,16
80,0.003559,0.003544,0.000000,0.000059,0.000000,0.000000,1.25e-05,0.795833,0.810494,0.985377,nan,nan,0.758770,0.953429,2.630180e-05,16
81,0.003112,0.003097,0.000000,0.000058,0.000000,0.000000,1.25e-05,0.795833,0.810494,0.985377,nan,nan,0.758770,0.953429,2.630180e-05,16
82,0.003145,0.003130,0.000000,0.000058,0.000000,0.000000,1.25e-05,0.788131,0.804590,0.992137,nan,nan,0.770801,0.978011,2.575627e-05,16
83,0.003747,0.003733,0.000000,0.000058,0.000000,0.000000,1.25e-05,0.788131,0.804590,0.992137,nan,nan,0.770801,0.978011,2.575627e-05,16
84,0.003328,0.003313,0.000000,0.000058,0.000000,0.000000,1.25e-05,0.792479,0.808007,0.986066,nan,nan,0.714647,0.901787,2.569676e-05,16
85,0.003494,0.003480,0.000000,0.000058,0.000000,0.000000,1.25e-05,0.792479,0.808007,0.986066,nan,nan,0.714647,0.901787,2.569676e-05,16
86,0.003274,0.003260,0.000000,0.000058,0.000000,0.000000,1.25e-05,0.785624,0.800309,0.981312,nan,nan,0.719710,0.916099,2.607921e-05,16
87,0.003204,0.003190,0.000000,0.000058,0.000000,0.000000,1.25e-05,0.785624,0.800309,0.981312,nan,nan,0.719710,0.916099,2.607921e-05,16
88,0.003524,0.003510,0.000000,0.000058,0.000000,0.000000,1.25e-05,0.786305,0.799458,0.986786,nan,nan,0.740938,0.942304,2.639090e-05,16
89,0.003430,0.003415,0.000000,0.000059,0.000000,0.000000,1.25e-05,0.786305,0.799458,0.986786,nan,nan,0.740938,0.942304,2.639090e-05,16
90,0.003558,0.003544,0.000000,0.000059,0.000000,0.000000,6.25e-06,0.793513,0.808667,0.989700,nan,nan,0.749874,0.945005,2.683160e-05,16
91,0.003397,0.003383,0.000000,0.000059,0.000000,0.000000,6.25e-06,0.793513,0.808667,0.989700,nan,nan,0.749874,0.945005,2.683160e-05,16
92,0.003350,0.003336,0.000000,0.000059,0.000000,0.000000,6.25e-06,0.792256,0.808366,0.991590,nan,nan,0.739058,0.932852,2.681202e-05,16
93,0.003524,0.003510,0.000000,0.000058,0.000000,0.000000,6.25e-06,0.792256,0.808366,0.991590,nan,nan,0.739058,0.932852,2.681202e-05,16
94,0.003232,0.003218,0.000000,0.000059,0.000000,0.000000,6.25e-06,0.795583,0.809869,0.986449,nan,nan,0.732248,0.920391,2.717442e-05,16
95,0.003280,0.003265,0.000000,0.000059,0.000000,0.000000,6.25e-06,0.795583,0.809869,0.986449,nan,nan,0.732248,0.920391,2.717442e-05,16
96,0.003492,0.003478,0.000000,0.000059,0.000000,0.000000,6.25e-06,0.788464,0.803176,0.990476,nan,nan,0.760120,0.964051,2.757245e-05,16
97,0.003445,0.003431,0.000000,0.000059,0.000000,0.000000,6.25e-06,0.788464,0.803176,0.990476,nan,nan,0.760120,0.964051,2.757245e-05,16
98,0.003253,0.003239,0.000000,0.000059,0.000000,0.000000,6.25e-06,0.792944,0.809186,0.986296,nan,nan,0.749818,0.945613,2.669510e-05,16
99,0.003562,0.003547,0.000000,0.000058,0.000000,0.000000,3.13e-06,0.792944,0.809186,0.986296,nan,nan,0.749818,0.945613,2.669510e-05,16
100,0.003192,0.003178,0.000000,0.000058,0.000000,0.000000,3.13e-06,0.796055,0.812005,0.990090,nan,nan,0.750175,0.942365,2.653872e-05,16
