epoch,subject_stress,subject_rank,mesh_stress,mesh_rank,lambda_subject,lambda_mesh,train_pair_mode
1,0.012128,0.045667,0.021631,0.048374,1.000000,1.000000,cross_topology
2,0.010380,0.042925,0.020267,0.046345,1.000000,1.000000,cross_topology
3,0.009695,0.041320,0.019040,0.044399,1.000000,1.000000,cross_topology
4,0.009249,0.037823,0.016801,0.041478,1.000000,1.000000,cross_topology
5,0.007971,0.033011,0.015804,0.036887,1.000000,1.000000,cross_topology
6,0.010397,0.029762,0.016177,0.032511,1.000000,1.000000,cross_topology
7,0.009779,0.026661,0.014608,0.030708,1.000000,1.000000,cross_topology
8,0.009251,0.024221,0.013623,0.027079,1.000000,1.000000,cross_topology
9,0.010523,0.022864,0.012455,0.024864,1.000000,1.000000,cross_topology
10,0.009849,0.021720,0.012198,0.023148,1.000000,1.000000,cross_topology
11,0.009081,0.021036,0.012281,0.021473,1.000000,1.000000,cross_topology
12,0.009019,0.019740,0.011837,0.020371,1.000000,1.000000,cross_topology
13,0.008553,0.017385,0.009999,0.017310,1.000000,1.000000,cross_topology
14,0.008381,0.016802,0.011010,0.016936,1.000000,1.000000,cross_topology
15,0.009950,0.018944,0.011061,0.019002,1.000000,1.000000,cross_topology
16,0.008515,0.018873,0.010650,0.018301,1.000000,1.000000,cross_topology
17,0.007609,0.016139,0.010358,0.014514,1.000000,1.000000,cross_topology
18,0.008742,0.017244,0.010171,0.016490,1.000000,1.000000,cross_topology
19,0.008225,0.017611,0.010569,0.016931,1.000000,1.000000,cross_topology
20,0.008238,0.016643,0.009667,0.016436,1.000000,1.000000,cross_topology
21,0.008105,0.016103,0.009554,0.015114,1.000000,1.000000,cross_topology
22,0.007125,0.016931,0.009573,0.015927,1.000000,1.000000,cross_topology
23,0.007875,0.016883,0.008845,0.015263,1.000000,1.000000,cross_topology
24,0.007856,0.015587,0.009789,0.014324,1.000000,1.000000,cross_topology
25,0.007501,0.015399,0.008583,0.013813,1.000000,1.000000,cross_topology
26,0.007169,0.015736,0.009057,0.013936,1.000000,1.000000,cross_topology
27,0.007188,0.015324,0.008669,0.013742,1.000000,1.000000,cross_topology
28,0.007789,0.016644,0.008877,0.014534,1.000000,1.000000,cross_topology
29,0.006503,0.014886,0.008809,0.013091,1.000000,1.000000,cross_topology
30,0.007489,0.018067,0.008488,0.014452,1.000000,1.000000,cross_topology
31,0.006609,0.014655,0.008211,0.011527,1.000000,1.000000,cross_topology
32,0.006688,0.014278,0.008769,0.012068,1.000000,1.000000,cross_topology
33,0.007849,0.016630,0.009032,0.013934,1.000000,1.000000,cross_topology
34,0.005974,0.013381,0.008049,0.013058,1.000000,1.000000,cross_topology
35,0.007116,0.013372,0.008144,0.011460,1.000000,1.000000,cross_topology
36,0.006611,0.017629,0.008203,0.013845,1.000000,1.000000,cross_topology
37,0.007029,0.015959,0.008392,0.013069,1.000000,1.000000,cross_topology
38,0.006609,0.015626,0.008319,0.013425,1.000000,1.000000,cross_topology
39,0.006203,0.014850,0.008172,0.012620,1.000000,1.000000,cross_topology
40,0.006693,0.014103,0.007717,0.011302,1.000000,1.000000,cross_topology
41,0.006055,0.013778,0.007752,0.011002,1.000000,1.000000,cross_topology
42,0.007519,0.013787,0.008613,0.012131,1.000000,1.000000,cross_topology
43,0.006562,0.013405,0.008038,0.011489,1.000000,1.000000,cross_topology
44,0.006396,0.014446,0.007813,0.010966,1.000000,1.000000,cross_topology
45,0.005905,0.013566,0.007929,0.011941,1.000000,1.000000,cross_topology
46,0.007039,0.014093,0.007799,0.010735,1.000000,1.000000,cross_topology
47,0.006600,0.015402,0.008308,0.012335,1.000000,1.000000,cross_topology
48,0.005941,0.012700,0.007281,0.010087,1.000000,1.000000,cross_topology
